date,promo_city,country,venue,long,lat
2023-03-17,Glendale,United States,State Farm Stadium,-112.2,33.58
2023-03-18,Glendale,United States,State Farm Stadium,-112.2,33.58
2023-03-24,Las Vegas,United States,Allegiant Stadium,-115.22,36.21
2023-03-25,Las Vegas,United States,Allegiant Stadium,-115.22,36.21
2023-03-31,Arlington,United States,AT&T Stadium,-97.13,32.69
2023-04-01,Arlington,United States,AT&T Stadium,-97.13,32.69
2023-04-02,Arlington,United States,AT&T Stadium,-97.13,32.69
2023-04-13,Tampa,United States,Raymond James Stadium,-82.48,27.96
2023-04-14,Tampa,United States,Raymond James Stadium,-82.48,27.96
2023-04-15,Tampa,United States,Raymond James Stadium,-82.48,27.96
2023-04-21,Houston,United States,NRG Stadium,-95.39,29.77
2023-04-22,Houston,United States,NRG Stadium,-95.39,29.77
2023-04-23,Houston,United States,NRG Stadium,-95.39,29.77
2023-04-28,Atlanta,United States,Mercedes-Benz Stadium,-84.42,33.76
2023-04-29,Atlanta,United States,Mercedes-Benz Stadium,-84.42,33.76
2023-04-30,Atlanta,United States,Mercedes-Benz Stadium,-84.42,33.76
2023-05-05,Nashville,United States,Nissan Stadium,-86.78,36.17
2023-05-06,Nashville,United States,Nissan Stadium,-86.78,36.17
2023-05-07,Nashville,United States,Nissan Stadium,-86.78,36.17
2023-05-12,Philadelphia,United States,Lincoln Financial Field,-75.13,40.01
2023-05-13,Philadelphia,United States,Lincoln Financial Field,-75.13,40.01
2023-05-14,Philadelphia,United States,Lincoln Financial Field,-75.13,40.01
2023-05-19,Foxborough,United States,Gillette Stadium,-71.248333,42.065278
2023-05-20,Foxborough,United States,Gillette Stadium,-71.248333,42.065278
2023-05-21,Foxborough,United States,Gillette Stadium,-71.248333,42.065278
2023-05-26,East Rutherford,United States,MetLife Stadium,-74.085024,40.817097
2023-05-27,East Rutherford,United States,MetLife Stadium,-74.085024,40.817097
2023-05-28,East Rutherford,United States,MetLife Stadium,-74.085024,40.817097
2023-06-02,Chicago,United States,Soldier Field,-87.68,41.84
2023-06-03,Chicago,United States,Soldier Field,-87.68,41.84
2023-06-04,Chicago,United States,Soldier Field,-87.68,41.84
2023-06-09,Detroit,United States,Ford Field,-83.1,42.38
2023-06-10,Detroit,United States,Ford Field,-83.1,42.38
2023-06-16,Pittsburgh,United States,Acrisure Stadium,-79.98,40.44
2023-06-17,Pittsburgh,United States,Acrisure Stadium,-79.98,40.44
2023-06-23,Minneapolis,United States,U.S. Bank Stadium,-93.27,44.96
2023-06-24,Minneapolis,United States,U.S. Bank Stadium,-93.27,44.96
2023-06-30,Cincinnati,United States,Paycor Stadium,-84.51,39.14
2023-07-01,Cincinnati,United States,Paycor Stadium,-84.51,39.14
2023-07-07,Kansas City,United States,GEHA Field at Arrowhead Stadium,-94.55,39.12
2023-07-08,Kansas City,United States,GEHA Field at Arrowhead Stadium,-94.55,39.12
2023-07-14,Denver,United States,Empower Field at Mile High,-104.87,39.77
2023-07-15,Denver,United States,Empower Field at Mile High,-104.87,39.77
2023-07-22,Seattle,United States,Lumen Field,-122.35,47.62
2023-07-23,Seattle,United States,Lumen Field,-122.35,47.62
2023-07-28,Santa Clara,United States,Levi's Stadium,-121.97,37.37
2023-07-29,Santa Clara,United States,Levi's Stadium,-121.97,37.37
2023-08-03,Los Angeles,United States,SoFi Stadium,-118.41,34.11
2023-08-04,Los Angeles,United States,SoFi Stadium,-118.41,34.11
2023-08-05,Los Angeles,United States,SoFi Stadium,-118.41,34.11
2023-08-07,Los Angeles,United States,SoFi Stadium,-118.41,34.11
2023-08-08,Los Angeles,United States,SoFi Stadium,-118.41,34.11
2023-08-09,Los Angeles,United States,SoFi Stadium,-118.41,34.11
2023-08-24,Mexico City,Mexico,Foro Sol,-99.14,19.43
2023-08-25,Mexico City,Mexico,Foro Sol,-99.14,19.43
2023-08-26,Mexico City,Mexico,Foro Sol,-99.14,19.43
2023-08-27,Mexico City,Mexico,Foro Sol,-99.14,19.43
2023-11-09,Buenos Aires,Argentina,Estadio River Plate,-58.37,-34.61
2023-11-10,Buenos Aires,Argentina,Estadio River Plate,-58.37,-34.61
2023-11-11,Buenos Aires,Argentina,Estadio River Plate,-58.37,-34.61
2023-11-17,Rio de Janeiro,Brazil,Estádio Olímpico Nilton Santos,-43.2,-22.91
2023-11-18,Rio de Janeiro,Brazil,Estádio Olímpico Nilton Santos,-43.2,-22.91
2023-11-19,Rio de Janeiro,Brazil,Estádio Olímpico Nilton Santos,-43.2,-22.91
2023-11-24,Sao Paulo,Brazil,Allianz Parque,-46.633333,-23.55
2023-11-25,Sao Paulo,Brazil,Allianz Parque,-46.633333,-23.55
2023-11-26,Sao Paulo,Brazil,Allianz Parque,-46.633333,-23.55
2024-02-07,Tokyo,Japan,Tokyo Dome,139.77,35.67
2024-02-08,Tokyo,Japan,Tokyo Dome,139.77,35.67
2024-02-09,Tokyo,Japan,Tokyo Dome,139.77,35.67
2024-02-10,Tokyo,Japan,Tokyo Dome,139.77,35.67
2024-02-16,Melbourne,Australia,Melbourne Cricket Ground,144.96,-37.81
2024-02-17,Melbourne,Australia,Melbourne Cricket Ground,144.96,-37.81
2024-02-18,Melbourne,Australia,Melbourne Cricket Ground,144.96,-37.81
2024-02-23,Sydney,Australia,Accor Stadium,151.21,-33.87
2024-02-24,Sydney,Australia,Accor Stadium,151.21,-33.87
2024-02-25,Sydney,Australia,Accor Stadium,151.21,-33.87
2024-02-26,Sydney,Australia,Accor Stadium,151.21,-33.87
2024-03-02,Singapore,Singapore,Singapore National Stadium,103.85,1.3
2024-03-03,Singapore,Singapore,Singapore National Stadium,103.85,1.3
2024-03-04,Singapore,Singapore,Singapore National Stadium,103.85,1.3
2024-03-07,Singapore,Singapore,Singapore National Stadium,103.85,1.3
2024-03-08,Singapore,Singapore,Singapore National Stadium,103.85,1.3
2024-03-09,Singapore,Singapore,Singapore National Stadium,103.85,1.3
2024-05-09,Paris,France,Paris La Défense Arena,2.352222,48.856667
2024-05-10,Paris,France,Paris La Défense Arena,2.352222,48.856667
2024-05-11,Paris,France,Paris La Défense Arena,2.352222,48.856667
2024-05-12,Paris,France,Paris La Défense Arena,2.352222,48.856667
2024-05-17,Stockholm,Sweden,Friends Arena,18.07,59.33
2024-05-18,Stockholm,Sweden,Friends Arena,18.07,59.33
2024-05-19,Stockholm,Sweden,Friends Arena,18.07,59.33
2024-05-24,Lisbon,Portugal,Estádio da Luz,-9.14,38.72
2024-05-25,Lisbon,Portugal,Estádio da Luz,-9.14,38.72
2024-05-30,Madrid,Spain,Santiago Bernabéu Stadium,-3.71,40.42
2024-06-02,Lyon,France,Groupama Stadium,4.84,45.76
2024-06-03,Lyon,France,Groupama Stadium,4.84,45.76
2024-06-07,Edinburgh,Scotland,Murrayfield Stadium,-3.189167,55.953333
2024-06-08,Edinburgh,Scotland,Murrayfield Stadium,-3.189167,55.953333
2024-06-09,Edinburgh,Scotland,Murrayfield Stadium,-3.189167,55.953333
2024-06-13,Liverpool,England,Anfield,-2.991944,53.4075
2024-06-14,Liverpool,England,Anfield,-2.991944,53.4075
2024-06-15,Liverpool,England,Anfield,-2.991944,53.4075
2024-06-18,Cardiff,Wales,Principality Stadium,-3.183333,51.483333
2024-06-21,London,England,Wembley Stadium,-0.1275,51.507222
2024-06-22,London,England,Wembley Stadium,-0.1275,51.507222
2024-06-23,London,England,Wembley Stadium,-0.1275,51.507222
2024-06-28,Dublin,Ireland,Aviva Stadium,-6.25,53.33
2024-06-29,Dublin,Ireland,Aviva Stadium,-6.25,53.33
2024-06-30,Dublin,Ireland,Aviva Stadium,-6.25,53.33
2024-07-04,Amsterdam,Netherlands,Johan Cruyff Arena,4.89,52.37
2024-07-05,Amsterdam,Netherlands,Johan Cruyff Arena,4.89,52.37
2024-07-06,Amsterdam,Netherlands,Johan Cruyff Arena,4.89,52.37
2024-07-09,Zurich,Switzerland,Letzigrund,8.541111,47.374444
2024-07-10,Zurich,Switzerland,Letzigrund,8.541111,47.374444
2024-07-13,Milan,Italy,San Siro,9.19,45.48
2024-07-14,Milan,Italy,San Siro,9.19,45.48
2024-07-17,Gelsenkirchen,Germany,Veltins-Arena,7.11,51.51
2024-07-18,Gelsenkirchen,Germany,Veltins-Arena,7.11,51.51
2024-07-19,Gelsenkirchen,Germany,Veltins-Arena,7.11,51.51
2024-07-23,Hamburg,Germany,Volksparkstadion,10,53.55
2024-07-24,Hamburg,Germany,Volksparkstadion,10,53.55
2024-07-27,Munich,Germany,Olympiastadion,11.58,48.14
2024-07-28,Munich,Germany,Olympiastadion,11.58,48.14
2024-08-01,Warsaw,Poland,PGE Narodowy,21.02,52.26
2024-08-02,Warsaw,Poland,PGE Narodowy,21.02,52.26
2024-08-03,Warsaw,Poland,PGE Narodowy,21.02,52.26
2024-08-08,Vienna,Austria,Ernst-Happel-Stadion,16.37,48.22
2024-08-09,Vienna,Austria,Ernst-Happel-Stadion,16.37,48.22
2024-08-10,Vienna,Austria,Ernst-Happel-Stadion,16.37,48.22
2024-08-15,London,England,Wembley Stadium,-0.1275,51.507222
2024-08-16,London,England,Wembley Stadium,-0.1275,51.507222
2024-08-17,London,England,Wembley Stadium,-0.1275,51.507222
2024-10-18,Miami,United States,Hard Rock Stadium,-80.21,25.78
2024-10-19,Miami,United States,Hard Rock Stadium,-80.21,25.78
2024-10-20,Miami,United States,Hard Rock Stadium,-80.21,25.78
2024-10-25,New Orleans,United States,Caesars Superdome,-89.93,30.07
2024-10-26,New Orleans,United States,Caesars Superdome,-89.93,30.07
2024-10-27,New Orleans,United States,Caesars Superdome,-89.93,30.07
2024-11-01,Indianapolis,United States,Lucas Oil Stadium,-86.15,39.78
2024-11-02,Indianapolis,United States,Lucas Oil Stadium,-86.15,39.78
2024-11-03,Indianapolis,United States,Lucas Oil Stadium,-86.15,39.78
2024-11-14,Toronto,Canada,Rogers Centre,-79.38,43.65
2024-11-15,Toronto,Canada,Rogers Centre,-79.38,43.65
2024-11-16,Toronto,Canada,Rogers Centre,-79.38,43.65
2024-11-21,Toronto,Canada,Rogers Centre,-79.38,43.65
2024-11-22,Toronto,Canada,Rogers Centre,-79.38,43.65
2024-11-23,Toronto,Canada,Rogers Centre,-79.38,43.65
