opening_acts2,join_tour,leave_tour,join_tour.did,leave_tour.did,min.date_id,max.date_id,n_dates_on.tour,n_dates_performing
Beabadoobee,2023-03-24,2023-04-29,3,15,3,15,13,12
Gayle,2023-03-17,2023-08-09,1,53,1,53,53,15
Girl_in_Red,2023-06-02,2023-06-24,29,37,29,37,9,8
Gracie_Abrams,2023-04-01,2024-11-23,6,146,6,146,141,44
Haim,2023-07-22,2023-08-09,44,53,44,53,10,10
Muna,2023-03-31,2023-07-15,5,43,5,43,39,9
Owenn,2023-05-28,2023-08-04,28,49,28,49,22,7
Paramore,2023-03-17,2024-08-17,1,131,1,131,131,50
Phoebe_Bridgers,2023-05-05,2023-05-28,17,28,17,28,12,11
Sabrina_Carpenter,2023-08-24,2024-03-09,54,83,54,83,30,26
no_opening_acts_scheduled,2024-02-07,2024-02-10,67,70,67,70,4,4
opening_acts_cancelled_weather,2023-05-07,2023-05-07,19,19,19,19,1,1
