city,country,venue,opening_acts,attendance,revenue,date,opening_acts2,promo_city,long,lat,tour_name
Glendale,United States,State Farm Stadium,ParamoreGayle,—,—,2023-03-17,Gayle,Glendale,-112.2,33.58,eras
Glendale,United States,State Farm Stadium,ParamoreGayle,—,—,2023-03-17,Paramore,Glendale,-112.2,33.58,eras
Glendale,United States,State Farm Stadium,ParamoreGayle,—,—,2023-03-18,Gayle,Glendale,-112.2,33.58,eras
Glendale,United States,State Farm Stadium,ParamoreGayle,—,—,2023-03-18,Paramore,Glendale,-112.2,33.58,eras
Paradise,United States,Allegiant Stadium,BeabadoobeeGayle,—,—,2023-03-24,Beabadoobee,Las Vegas,-115.22,36.21,eras
Paradise,United States,Allegiant Stadium,BeabadoobeeGayle,—,—,2023-03-24,Gayle,Las Vegas,-115.22,36.21,eras
Paradise,United States,Allegiant Stadium,BeabadoobeeGayle,—,—,2023-03-25,Beabadoobee,Las Vegas,-115.22,36.21,eras
Paradise,United States,Allegiant Stadium,BeabadoobeeGayle,—,—,2023-03-25,Gayle,Las Vegas,-115.22,36.21,eras
Arlington,United States,AT&T Stadium,MunaGayle,—,—,2023-03-31,Gayle,Arlington,-97.13,32.69,eras
Arlington,United States,AT&T Stadium,MunaGayle,—,—,2023-03-31,Muna,Arlington,-97.13,32.69,eras
Arlington,United States,AT&T Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-01,Beabadoobee,Arlington,-97.13,32.69,eras
Arlington,United States,AT&T Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-01,Gracie_Abrams,Arlington,-97.13,32.69,eras
Arlington,United States,AT&T Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-02,Beabadoobee,Arlington,-97.13,32.69,eras
Arlington,United States,AT&T Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-02,Gracie_Abrams,Arlington,-97.13,32.69,eras
Tampa,United States,Raymond James Stadium,BeabadoobeeGayle,—,—,2023-04-13,Beabadoobee,Tampa,-82.48,27.96,eras
Tampa,United States,Raymond James Stadium,BeabadoobeeGayle,—,—,2023-04-13,Gayle,Tampa,-82.48,27.96,eras
Tampa,United States,Raymond James Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-14,Beabadoobee,Tampa,-82.48,27.96,eras
Tampa,United States,Raymond James Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-14,Gracie_Abrams,Tampa,-82.48,27.96,eras
Tampa,United States,Raymond James Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-15,Beabadoobee,Tampa,-82.48,27.96,eras
Tampa,United States,Raymond James Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-15,Gracie_Abrams,Tampa,-82.48,27.96,eras
Houston,United States,NRG Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-21,Beabadoobee,Houston,-95.39,29.77,eras
Houston,United States,NRG Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-21,Gracie_Abrams,Houston,-95.39,29.77,eras
Houston,United States,NRG Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-22,Beabadoobee,Houston,-95.39,29.77,eras
Houston,United States,NRG Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-22,Gracie_Abrams,Houston,-95.39,29.77,eras
Houston,United States,NRG Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-23,Beabadoobee,Houston,-95.39,29.77,eras
Houston,United States,NRG Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-23,Gracie_Abrams,Houston,-95.39,29.77,eras
Atlanta,United States,Mercedes-Benz Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-28,Beabadoobee,Atlanta,-84.42,33.76,eras
Atlanta,United States,Mercedes-Benz Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-28,Gracie_Abrams,Atlanta,-84.42,33.76,eras
Atlanta,United States,Mercedes-Benz Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-29,Beabadoobee,Atlanta,-84.42,33.76,eras
Atlanta,United States,Mercedes-Benz Stadium,BeabadoobeeGracie Abrams,—,—,2023-04-29,Gracie_Abrams,Atlanta,-84.42,33.76,eras
Atlanta,United States,Mercedes-Benz Stadium,MunaGayle,—,—,2023-04-30,Gayle,Atlanta,-84.42,33.76,eras
Atlanta,United States,Mercedes-Benz Stadium,MunaGayle,—,—,2023-04-30,Muna,Atlanta,-84.42,33.76,eras
Nashville,United States,Nissan Stadium,Phoebe BridgersGracie Abrams,—,—,2023-05-05,Gracie_Abrams,Nashville,-86.78,36.17,eras
Nashville,United States,Nissan Stadium,Phoebe BridgersGracie Abrams,—,—,2023-05-05,Phoebe_Bridgers,Nashville,-86.78,36.17,eras
Nashville,United States,Nissan Stadium,Phoebe BridgersGayle,—,—,2023-05-06,Gayle,Nashville,-86.78,36.17,eras
Nashville,United States,Nissan Stadium,Phoebe BridgersGayle,—,—,2023-05-06,Phoebe_Bridgers,Nashville,-86.78,36.17,eras
Nashville,United States,Nissan Stadium,—[b],—,—,2023-05-07,opening_acts_cancelled_weather,Nashville,-86.78,36.17,eras
Philadelphia,United States,Lincoln Financial Field,Phoebe BridgersGayle,—,—,2023-05-12,Gayle,Philadelphia,-75.13,40.01,eras
Philadelphia,United States,Lincoln Financial Field,Phoebe BridgersGayle,—,—,2023-05-12,Phoebe_Bridgers,Philadelphia,-75.13,40.01,eras
Philadelphia,United States,Lincoln Financial Field,Phoebe BridgersGayle,—,—,2023-05-13,Gayle,Philadelphia,-75.13,40.01,eras
Philadelphia,United States,Lincoln Financial Field,Phoebe BridgersGayle,—,—,2023-05-13,Phoebe_Bridgers,Philadelphia,-75.13,40.01,eras
Philadelphia,United States,Lincoln Financial Field,Phoebe BridgersGracie Abrams,—,—,2023-05-14,Gracie_Abrams,Philadelphia,-75.13,40.01,eras
Philadelphia,United States,Lincoln Financial Field,Phoebe BridgersGracie Abrams,—,—,2023-05-14,Phoebe_Bridgers,Philadelphia,-75.13,40.01,eras
Foxborough,United States,Gillette Stadium,Phoebe BridgersGayle,—,—,2023-05-19,Gayle,Foxborough,-71.248333,42.065278,eras
Foxborough,United States,Gillette Stadium,Phoebe BridgersGayle,—,—,2023-05-19,Phoebe_Bridgers,Foxborough,-71.248333,42.065278,eras
Foxborough,United States,Gillette Stadium,Phoebe BridgersGayle,—,—,2023-05-20,Gayle,Foxborough,-71.248333,42.065278,eras
Foxborough,United States,Gillette Stadium,Phoebe BridgersGayle,—,—,2023-05-20,Phoebe_Bridgers,Foxborough,-71.248333,42.065278,eras
Foxborough,United States,Gillette Stadium,Phoebe BridgersGracie Abrams,—,—,2023-05-21,Gracie_Abrams,Foxborough,-71.248333,42.065278,eras
Foxborough,United States,Gillette Stadium,Phoebe BridgersGracie Abrams,—,—,2023-05-21,Phoebe_Bridgers,Foxborough,-71.248333,42.065278,eras
East Rutherford,United States,MetLife Stadium,Phoebe BridgersGayle,—,—,2023-05-26,Gayle,East Rutherford,-74.085024,40.817097,eras
East Rutherford,United States,MetLife Stadium,Phoebe BridgersGayle,—,—,2023-05-26,Phoebe_Bridgers,East Rutherford,-74.085024,40.817097,eras
East Rutherford,United States,MetLife Stadium,Phoebe BridgersGracie Abrams,—,—,2023-05-27,Gracie_Abrams,East Rutherford,-74.085024,40.817097,eras
East Rutherford,United States,MetLife Stadium,Phoebe BridgersGracie Abrams,—,—,2023-05-27,Phoebe_Bridgers,East Rutherford,-74.085024,40.817097,eras
East Rutherford,United States,MetLife Stadium,Phoebe BridgersOwenn,—,—,2023-05-28,Owenn,East Rutherford,-74.085024,40.817097,eras
East Rutherford,United States,MetLife Stadium,Phoebe BridgersOwenn,—,—,2023-05-28,Phoebe_Bridgers,East Rutherford,-74.085024,40.817097,eras
Chicago,United States,Soldier Field,Girl in RedOwenn,—,—,2023-06-02,Girl_in_Red,Chicago,-87.68,41.84,eras
Chicago,United States,Soldier Field,Girl in RedOwenn,—,—,2023-06-02,Owenn,Chicago,-87.68,41.84,eras
Chicago,United States,Soldier Field,Girl in RedOwenn,—,—,2023-06-03,Girl_in_Red,Chicago,-87.68,41.84,eras
