date_id,date
1,2018-05-08
2,2018-05-11
3,2018-05-12
4,2018-05-18
5,2018-05-19
6,2018-05-22
7,2018-05-25
8,2018-06-01
9,2018-06-02
10,2018-06-08
11,2018-06-09
12,2018-06-15
13,2018-06-16
14,2018-06-22
15,2018-06-23
16,2018-06-30
17,2018-07-07
18,2018-07-10
19,2018-07-11
20,2018-07-13
21,2018-07-14
22,2018-07-17
23,2018-07-20
24,2018-07-21
25,2018-07-22
26,2018-07-26
27,2018-07-27
28,2018-07-28
29,2018-08-03
30,2018-08-04
31,2018-08-07
32,2018-08-10
33,2018-08-11
34,2018-08-14
35,2018-08-18
36,2018-08-25
37,2018-08-28
38,2018-08-31
39,2018-09-01
40,2018-09-08
41,2018-09-15
42,2018-09-18
43,2018-09-22
44,2018-09-29
45,2018-10-05
46,2018-10-06
47,2018-10-19
48,2018-10-26
49,2018-11-02
50,2018-11-06
51,2018-11-09
52,2018-11-20
53,2018-11-21
