date,promo_city,country,venue,long,lat
2018-05-08,Glendale,United States,University of Phoenix Stadium,-112.2,33.58
2018-05-11,Santa Clara,United States,Levi's Stadium,-121.97,37.37
2018-05-12,Santa Clara,United States,Levi's Stadium,-121.97,37.37
2018-05-18,Pasadena,United States,Rose Bowl,-118.14,34.16
2018-05-19,Pasadena,United States,Rose Bowl,-118.14,34.16
2018-05-22,Seattle,United States,CenturyLink Field,-122.35,47.62
2018-05-25,Denver,United States,Sports Authority Field at Mile High,-104.87,39.77
2018-06-01,Chicago,United States,Soldier Field,-87.68,41.84
2018-06-02,Chicago,United States,Soldier Field,-87.68,41.84
2018-06-08,Manchester,England,Etihad Stadium,-2.245278,53.479444
2018-06-09,Manchester,England,Etihad Stadium,-2.245278,53.479444
2018-06-15,Dublin,Ireland,Croke Park,-6.25,53.33
2018-06-16,Dublin,Ireland,Croke Park,-6.25,53.33
2018-06-22,London,England,Wembley Stadium,-0.1275,51.507222
2018-06-23,London,England,Wembley Stadium,-0.1275,51.507222
2018-06-30,Louisville,United States,Cardinal Stadium,-85.74,38.22
2018-07-07,Columbus,United States,Ohio Stadium,-82.99,39.99
2018-07-10,Landover,United States,FedExField,-76.9,38.933333
2018-07-11,Landover,United States,FedExField,-76.9,38.933333
2018-07-13,Philadelphia,United States,Lincoln Financial Field,-75.13,40.01
2018-07-14,Philadelphia,United States,Lincoln Financial Field,-75.13,40.01
2018-07-17,Cleveland,United States,FirstEnergy Stadium,-81.68,41.48
2018-07-20,East Rutherford,United States,MetLife Stadium,-74.085024,40.817097
2018-07-21,East Rutherford,United States,MetLife Stadium,-74.085024,40.817097
2018-07-22,East Rutherford,United States,MetLife Stadium,-74.085024,40.817097
2018-07-26,Foxborough,United States,Gillette Stadium,-71.248333,42.065278
2018-07-27,Foxborough,United States,Gillette Stadium,-71.248333,42.065278
2018-07-28,Foxborough,United States,Gillette Stadium,-71.248333,42.065278
2018-08-03,Toronto,Canada,Rogers Centre,-79.38,43.65
2018-08-04,Toronto,Canada,Rogers Centre,-79.38,43.65
2018-08-07,Pittsburgh,United States,Heinz Field,-79.98,40.44
2018-08-10,Atlanta,United States,Mercedes-Benz Stadium,-84.42,33.76
2018-08-11,Atlanta,United States,Mercedes-Benz Stadium,-84.42,33.76
2018-08-14,Tampa,United States,Raymond James Stadium,-82.48,27.96
2018-08-18,Miami Gardens,United States,Hard Rock Stadium,-80.245278,25.941111
2018-08-25,Nashville,United States,Nissan Stadium,-86.78,36.17
2018-08-28,Detroit,United States,Ford Field,-83.1,42.38
2018-08-31,Minneapolis,United States,U.S. Bank Stadium,-93.27,44.96
2018-09-01,Minneapolis,United States,U.S. Bank Stadium,-93.27,44.96
2018-09-08,Kansas City,United States,Arrowhead Stadium,-94.55,39.12
2018-09-15,Indianapolis,United States,Lucas Oil Stadium,-86.15,39.78
2018-09-18,St. Louis,United States,The Dome at America's Center,-90.197778,38.627222
2018-09-22,New Orleans,United States,Mercedes-Benz Superdome,-89.93,30.07
2018-09-29,Houston,United States,NRG Stadium,-95.39,29.77
2018-10-05,Arlington,United States,AT&T Stadium,-97.13,32.69
2018-10-06,Arlington,United States,AT&T Stadium,-97.13,32.69
2018-10-19,Perth,Australia,Optus Stadium,115.84,-31.96
2018-10-26,Melbourne,Australia,Marvel Stadium,144.96,-37.81
2018-11-02,Sydney,Australia,ANZ Stadium,151.21,-33.87
2018-11-06,Brisbane,Australia,The Gabba,153.02,-27.46
2018-11-09,Auckland,New Zealand,Mount Smart Stadium,174.76,-36.85
2018-11-20,Tokyo,Japan,Tokyo Dome,139.77,35.67
2018-11-21,Tokyo,Japan,Tokyo Dome,139.77,35.67
