city,country,venue,opening_acts,attendance,revenue,date,opening_acts2,promo_city,long,lat,tour_name
Glendale,United States,University of Phoenix Stadium,Camila CabelloCharli XCX,"59,157 / 59,157","$7,214,478",2018-05-08,Camila_Cabello,Glendale,-112.2,33.58,reputation
Glendale,United States,University of Phoenix Stadium,Camila CabelloCharli XCX,"59,157 / 59,157","$7,214,478",2018-05-08,Charli_XCX,Glendale,-112.2,33.58,reputation
Santa Clara,United States,Levi's Stadium,Camila CabelloCharli XCX,"107,550 / 107,550","$14,006,963",2018-05-11,Camila_Cabello,Santa Clara,-121.97,37.37,reputation
Santa Clara,United States,Levi's Stadium,Camila CabelloCharli XCX,"107,550 / 107,550","$14,006,963",2018-05-11,Charli_XCX,Santa Clara,-121.97,37.37,reputation
Santa Clara,United States,Levi's Stadium,Camila CabelloCharli XCX,"107,550 / 107,550","$14,006,963",2018-05-12,Camila_Cabello,Santa Clara,-121.97,37.37,reputation
Santa Clara,United States,Levi's Stadium,Camila CabelloCharli XCX,"107,550 / 107,550","$14,006,963",2018-05-12,Charli_XCX,Santa Clara,-121.97,37.37,reputation
Pasadena,United States,Rose Bowl,Camila CabelloCharli XCX,"118,084 / 118,084","$16,251,980",2018-05-18,Camila_Cabello,Pasadena,-118.14,34.16,reputation
Pasadena,United States,Rose Bowl,Camila CabelloCharli XCX,"118,084 / 118,084","$16,251,980",2018-05-18,Charli_XCX,Pasadena,-118.14,34.16,reputation
Pasadena,United States,Rose Bowl,Camila CabelloCharli XCX,"118,084 / 118,084","$16,251,980",2018-05-19,Camila_Cabello,Pasadena,-118.14,34.16,reputation
Pasadena,United States,Rose Bowl,Camila CabelloCharli XCX,"118,084 / 118,084","$16,251,980",2018-05-19,Charli_XCX,Pasadena,-118.14,34.16,reputation
Seattle,United States,CenturyLink Field,Charli XCX[a],"56,021 / 56,021","$8,672,219",2018-05-22,Charli_XCX,Seattle,-122.35,47.62,reputation
Denver,United States,Sports Authority Field at Mile High,Camila CabelloCharli XCX,"57,140 / 57,140","$7,926,366",2018-05-25,Camila_Cabello,Denver,-104.87,39.77,reputation
Denver,United States,Sports Authority Field at Mile High,Camila CabelloCharli XCX,"57,140 / 57,140","$7,926,366",2018-05-25,Charli_XCX,Denver,-104.87,39.77,reputation
Chicago,United States,Soldier Field,Camila CabelloCharli XCX,"105,208 / 105,208","$14,576,697",2018-06-01,Camila_Cabello,Chicago,-87.68,41.84,reputation
Chicago,United States,Soldier Field,Camila CabelloCharli XCX,"105,208 / 105,208","$14,576,697",2018-06-01,Charli_XCX,Chicago,-87.68,41.84,reputation
Chicago,United States,Soldier Field,Camila CabelloCharli XCX,"105,208 / 105,208","$14,576,697",2018-06-02,Camila_Cabello,Chicago,-87.68,41.84,reputation
Chicago,United States,Soldier Field,Camila CabelloCharli XCX,"105,208 / 105,208","$14,576,697",2018-06-02,Charli_XCX,Chicago,-87.68,41.84,reputation
Manchester,England,Etihad Stadium,Camila CabelloCharli XCX,"77,258 / 77,258","$6,169,724",2018-06-08,Camila_Cabello,Manchester,-2.245278,53.479444,reputation
Manchester,England,Etihad Stadium,Camila CabelloCharli XCX,"77,258 / 77,258","$6,169,724",2018-06-08,Charli_XCX,Manchester,-2.245278,53.479444,reputation
Manchester,England,Etihad Stadium,Camila CabelloCharli XCX,"77,258 / 77,258","$6,169,724",2018-06-09,Camila_Cabello,Manchester,-2.245278,53.479444,reputation
Manchester,England,Etihad Stadium,Camila CabelloCharli XCX,"77,258 / 77,258","$6,169,724",2018-06-09,Charli_XCX,Manchester,-2.245278,53.479444,reputation
Dublin,Ireland,Croke Park,Camila CabelloCharli XCX,"133,034 / 133,034","$8,567,769",2018-06-15,Camila_Cabello,Dublin,-6.25,53.33,reputation
Dublin,Ireland,Croke Park,Camila CabelloCharli XCX,"133,034 / 133,034","$8,567,769",2018-06-15,Charli_XCX,Dublin,-6.25,53.33,reputation
Dublin,Ireland,Croke Park,Camila CabelloCharli XCX,"133,034 / 133,034","$8,567,769",2018-06-16,Camila_Cabello,Dublin,-6.25,53.33,reputation
Dublin,Ireland,Croke Park,Camila CabelloCharli XCX,"133,034 / 133,034","$8,567,769",2018-06-16,Charli_XCX,Dublin,-6.25,53.33,reputation
London,England,Wembley Stadium,Camila CabelloCharli XCX,"143,427 / 143,427","$12,214,933",2018-06-22,Camila_Cabello,London,-0.1275,51.507222,reputation
London,England,Wembley Stadium,Camila CabelloCharli XCX,"143,427 / 143,427","$12,214,933",2018-06-22,Charli_XCX,London,-0.1275,51.507222,reputation
London,England,Wembley Stadium,Camila CabelloCharli XCX,"143,427 / 143,427","$12,214,933",2018-06-23,Camila_Cabello,London,-0.1275,51.507222,reputation
London,England,Wembley Stadium,Camila CabelloCharli XCX,"143,427 / 143,427","$12,214,933",2018-06-23,Charli_XCX,London,-0.1275,51.507222,reputation
Louisville,United States,Cardinal Stadium,Camila CabelloCharli XCX,"52,138 / 52,138","$4,928,219",2018-06-30,Camila_Cabello,Louisville,-85.74,38.22,reputation
Louisville,United States,Cardinal Stadium,Camila CabelloCharli XCX,"52,138 / 52,138","$4,928,219",2018-06-30,Charli_XCX,Louisville,-85.74,38.22,reputation
Columbus,United States,Ohio Stadium,Camila CabelloCharli XCX,"62,897 / 62,897","$6,606,529",2018-07-07,Camila_Cabello,Columbus,-82.99,39.99,reputation
Columbus,United States,Ohio Stadium,Camila CabelloCharli XCX,"62,897 / 62,897","$6,606,529",2018-07-07,Charli_XCX,Columbus,-82.99,39.99,reputation
Landover,United States,FedExField,Camila CabelloCharli XCX,"95,672 / 95,672","$11,396,004",2018-07-10,Camila_Cabello,Landover,-76.9,38.933333,reputation
Landover,United States,FedExField,Camila CabelloCharli XCX,"95,672 / 95,672","$11,396,004",2018-07-10,Charli_XCX,Landover,-76.9,38.933333,reputation
Landover,United States,FedExField,Camila CabelloCharli XCX,"95,672 / 95,672","$11,396,004",2018-07-11,Camila_Cabello,Landover,-76.9,38.933333,reputation
Landover,United States,FedExField,Camila CabelloCharli XCX,"95,672 / 95,672","$11,396,004",2018-07-11,Charli_XCX,Landover,-76.9,38.933333,reputation
Philadelphia,United States,Lincoln Financial Field,Camila CabelloCharli XCX,"107,378 / 107,378","$11,951,047",2018-07-13,Camila_Cabello,Philadelphia,-75.13,40.01,reputation
Philadelphia,United States,Lincoln Financial Field,Camila CabelloCharli XCX,"107,378 / 107,378","$11,951,047",2018-07-13,Charli_XCX,Philadelphia,-75.13,40.01,reputation
Philadelphia,United States,Lincoln Financial Field,Camila CabelloCharli XCX,"107,378 / 107,378","$11,951,047",2018-07-14,Camila_Cabello,Philadelphia,-75.13,40.01,reputation
Philadelphia,United States,Lincoln Financial Field,Camila CabelloCharli XCX,"107,378 / 107,378","$11,951,047",2018-07-14,Charli_XCX,Philadelphia,-75.13,40.01,reputation
Cleveland,United States,FirstEnergy Stadium,Camila CabelloCharli XCX,"51,323 / 51,323","$5,148,757",2018-07-17,Camila_Cabello,Cleveland,-81.68,41.48,reputation
