FATE3,FATE3desc,FATE3label
1,Outcome of Voyage if vessel captured,Natural hazard
2,Outcome of Voyage if vessel captured,Pirate/privateer action
3,Outcome of Voyage if vessel captured,British
4,Outcome of Voyage if vessel captured,Spanish
5,Outcome of Voyage if vessel captured,Dutch
6,Outcome of Voyage if vessel captured,Portuguese
8,Outcome of Voyage if vessel captured,French
9,Outcome of Voyage if vessel captured,US
10,Outcome of Voyage if vessel captured,African
11,Outcome of Voyage if vessel captured,Crew action
12,Outcome of Voyage if vessel captured,Brazil
13,Outcome of Voyage if vessel captured,Captor unspecified
14,Outcome of Voyage if vessel captured,Not captured
15,Outcome of Voyage if vessel captured,Unknown
16,Outcome of Voyage if vessel captured,Haitians
17,Outcome of Voyage if vessel captured,Venezuela
18,Outcome of Voyage if vessel captured,Sweden
