colnames,val_def,cw_cat
SLINTEND,Slaves intended from first port of purchase,Slaves.(characteristics)
SLINTEN2,Slaves intended from second port of purchase,Slaves.(characteristics)
NCAR13,Slaves carried from first port of purchase,Slaves.(characteristics)
NCAR15,Slaves carried from second port of purchase,Slaves.(characteristics)
NCAR17,Slaves carried from third port of purchase,Slaves.(characteristics)
TSLAVESP,Total slaves purchased,Slaves.(characteristics)
TSLAVESD,Total slaves on board at departure from last slaving port,Slaves.(characteristics)
SLAARRIV,Total slaves arrived at first port of disembarkation,Slaves.(characteristics)
SLAS32,Slaves disembarked at first place,Slaves.(characteristics)
SLAS36,Slaves disembarked at second place,Slaves.(characteristics)
SLAS39,Slaves disembarked at third place,Slaves.(characteristics)
