County,State,DBcode,Tot_value
Beaufort County,NC,RE1,44652
Beaufort County,NC,RE3,31492
Beaufort County,NC,RE4,10940
Beaufort County,NC,RE5,712
Beaufort County,NC,RE6,294
Beaufort County,NC,RE7,48
Beaufort County,NC,RE8,3118
Beaufort County,NC,RE2,3433
Beaufort County,NC,RE20,24090
Beaufort County,NC,RE21,19430
Beaufort County,NC,RE22,4660
Bertie County,NC,RE1,16355
Bertie County,NC,RE3,6180
Bertie County,NC,RE4,10043
Bertie County,NC,RE5,232
Bertie County,NC,RE6,113
Bertie County,NC,RE7,23
Bertie County,NC,RE8,286
Bertie County,NC,RE2,274
Bertie County,NC,RE20,8101
Bertie County,NC,RE21,6601
Bertie County,NC,RE22,1500
Bladen County,NC,RE1,25548
Bladen County,NC,RE3,14209
Bladen County,NC,RE4,9116
Bladen County,NC,RE5,1235
Bladen County,NC,RE6,108
Bladen County,NC,RE7,38
Bladen County,NC,RE8,2063
Bladen County,NC,RE2,2355
Bladen County,NC,RE20,12386
Bladen County,NC,RE21,10593
Bladen County,NC,RE22,1793
Brunswick County,NC,RE1,136693
Brunswick County,NC,RE3,119337
Brunswick County,NC,RE4,13176
Brunswick County,NC,RE5,3422
Brunswick County,NC,RE6,1492
Brunswick County,NC,RE7,169
Brunswick County,NC,RE8,6820
Brunswick County,NC,RE2,7420
Brunswick County,NC,RE20,88330
Brunswick County,NC,RE21,61496
Brunswick County,NC,RE22,26834
Camden County,NC,RE1,10355
Camden County,NC,RE3,8974
Camden County,NC,RE4,1235
Camden County,NC,RE5,340
Camden County,NC,RE6,214
Camden County,NC,RE7,32
Camden County,NC,RE8,323
Camden County,NC,RE2,340
Camden County,NC,RE20,4119
Camden County,NC,RE21,3875
Camden County,NC,RE22,244
Carteret County,NC,RE1,67686
Carteret County,NC,RE3,61852
Carteret County,NC,RE4,4072
Carteret County,NC,RE5,1622
Carteret County,NC,RE6,1118
Carteret County,NC,RE7,158
Carteret County,NC,RE8,2877
Carteret County,NC,RE2,3119
Carteret County,NC,RE20,50846
Carteret County,NC,RE21,30112
Carteret County,NC,RE22,20734
Chowan County,NC,RE1,13708
Chowan County,NC,RE3,8859
Chowan County,NC,RE4,4609
Chowan County,NC,RE5,208
Chowan County,NC,RE6,99
Chowan County,NC,RE7,24
Chowan County,NC,RE8,525
Chowan County,NC,RE2,530
Chowan County,NC,RE20,7131
Chowan County,NC,RE21,5884
Chowan County,NC,RE22,1247
Columbus County,NC,RE1,41968
Columbus County,NC,RE3,28061
Columbus County,NC,RE4,11117
Columbus County,NC,RE5,2348
Columbus County,NC,RE6,177
Columbus County,NC,RE7,49
Columbus County,NC,RE8,1961
Columbus County,NC,RE2,2215
Columbus County,NC,RE20,19273
Columbus County,NC,RE21,16856
Columbus County,NC,RE22,2417
Craven County,NC,RE1,100720
Craven County,NC,RE3,73112
Craven County,NC,RE4,22472
Craven County,NC,RE5,2435
Craven County,NC,RE6,4192
Craven County,NC,RE7,309
Craven County,NC,RE8,5872
Craven County,NC,RE2,7195
Craven County,NC,RE20,46800
Craven County,NC,RE21,40932
Craven County,NC,RE22,5868
Currituck County,NC,RE1,28100
Currituck County,NC,RE3,25810
Currituck County,NC,RE4,1823
Currituck County,NC,RE5,848
Currituck County,NC,RE6,541
Currituck County,NC,RE7,80
Currituck County,NC,RE8,1124
Currituck County,NC,RE2,1218
Currituck County,NC,RE20,15989
Currituck County,NC,RE21,10723
Currituck County,NC,RE22,5266
Dare County,NC,RE1,36915
Dare County,NC,RE3,34533
Dare County,NC,RE4,1050
Dare County,NC,RE5,774
Dare County,NC,RE6,488
Dare County,NC,RE7,52
Dare County,NC,RE8,2284
Dare County,NC,RE2,2554
Dare County,NC,RE20,34237
Dare County,NC,RE21,15966
Dare County,NC,RE22,18271
Duplin County,NC,RE1,43069
Duplin County,NC,RE3,26672
Duplin County,NC,RE4,9866
Duplin County,NC,RE5,953
Duplin County,NC,RE6,263
Duplin County,NC,RE7,35
Duplin County,NC,RE8,8193
Duplin County,NC,RE2,9444
Duplin County,NC,RE20,20863
Duplin County,NC,RE21,16964
Duplin County,NC,RE22,3899
Edgecombe County,NC,RE1,31268
Edgecombe County,NC,RE3,16435
Edgecombe County,NC,RE4,13461
Edgecombe County,NC,RE5,475
Edgecombe County,NC,RE6,138
Edgecombe County,NC,RE7,15
Edgecombe County,NC,RE8,1973
Edgecombe County,NC,RE2,2128
Edgecombe County,NC,RE20,14454
Edgecombe County,NC,RE21,12832
Edgecombe County,NC,RE22,1622
Gates County,NC,RE1,10478
Gates County,NC,RE3,7207
Gates County,NC,RE4,3266
Gates County,NC,RE5,266
Gates County,NC,RE6,68
Gates County,NC,RE7,47
Gates County,NC,RE8,218
Gates County,NC,RE2,201
Gates County,NC,RE20,4767
Gates County,NC,RE21,4244
Gates County,NC,RE22,523
Greene County,NC,RE1,20258
Greene County,NC,RE3,10665
Greene County,NC,RE4,7470
Greene County,NC,RE5,421
Greene County,NC,RE6,82
Greene County,NC,RE7,34
Greene County,NC,RE8,2509
Greene County,NC,RE2,2916
Greene County,NC,RE20,7739
Greene County,NC,RE21,6897
Greene County,NC,RE22,842
Halifax County,NC,RE1,23526
Halifax County,NC,RE3,8480
Halifax County,NC,RE4,13635
Halifax County,NC,RE5,1483
Halifax County,NC,RE6,95
Halifax County,NC,RE7,24
Halifax County,NC,RE8,561
Halifax County,NC,RE2,614
Halifax County,NC,RE20,12219
Halifax County,NC,RE21,9854
Halifax County,NC,RE22,2365
Hertford County,NC,RE1,21552
Hertford County,NC,RE3,8193
Hertford County,NC,RE4,12783
Hertford County,NC,RE5,594
Hertford County,NC,RE6,178
Hertford County,NC,RE7,46
Hertford County,NC,RE8,602
Hertford County,NC,RE2,1579
Hertford County,NC,RE20,9803
Hertford County,NC,RE21,8351
Hertford County,NC,RE22,1452
Hyde County,NC,RE1,4589
Hyde County,NC,RE3,3159
Hyde County,NC,RE4,1266
Hyde County,NC,RE5,70
Hyde County,NC,RE6,18
Hyde County,NC,RE7,5
Hyde County,NC,RE8,327
Hyde County,NC,RE2,347
Hyde County,NC,RE20,3146
Hyde County,NC,RE21,1804
Hyde County,NC,RE22,1342
Jones County,NC,RE1,9172
Jones County,NC,RE3,6231
Jones County,NC,RE4,2744
Jones County,NC,RE5,240
Jones County,NC,RE6,72
Jones County,NC,RE7,10
Jones County,NC,RE8,344
Jones County,NC,RE2,394
Jones County,NC,RE20,4635
Jones County,NC,RE21,3873
Jones County,NC,RE22,762
Lenoir County,NC,RE1,54550
Lenoir County,NC,RE3,28978
Lenoir County,NC,RE4,23103
