SS,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Beaufort County,NC,RE1,206,0.0046,138,0.0031,14062,0.3149
000,0,Beaufort County,NC,RE3,184,0.0058,124,0.0039,10068,0.3197
000,0,Beaufort County,NC,RE4,16,0.0015,11,0.0010,3406,0.3114
000,0,Beaufort County,NC,RE5,3,0.0036,2,0.0027,223,0.3128
000,0,Beaufort County,NC,RE6,1,0.0022,0,0.0015,76,0.2599
000,0,Beaufort County,NC,RE7,0,0.0029,0,0.0013,14,0.3017
000,0,Beaufort County,NC,RE8,8,0.0025,6,0.0018,866,0.2776
000,0,Beaufort County,NC,RE2,8,0.0024,6,0.0017,950,0.2766
000,0,Beaufort County,NC,RE20,138,0.0057,80,0.0033,7958,0.3303
000,0,Beaufort County,NC,RE21,98,0.0050,65,0.0034,6156,0.3169
000,0,Beaufort County,NC,RE22,40,0.0086,15,0.0032,1801,0.3865
000,25,Beaufort County,NC,RE1,395,0.0089,138,0.0031,14768,0.3307
000,25,Beaufort County,NC,RE3,345,0.0109,124,0.0039,10609,0.3369
000,25,Beaufort County,NC,RE4,40,0.0037,11,0.0010,3549,0.3244
000,25,Beaufort County,NC,RE5,5,0.0070,2,0.0027,233,0.3279
000,25,Beaufort County,NC,RE6,2,0.0071,0,0.0015,80,0.2724
000,25,Beaufort County,NC,RE7,0,0.0070,0,0.0013,15,0.3225
000,25,Beaufort County,NC,RE8,14,0.0046,6,0.0018,901,0.2890
000,25,Beaufort County,NC,RE2,15,0.0044,6,0.0017,989,0.2882
000,25,Beaufort County,NC,RE20,265,0.0110,80,0.0033,8435,0.3502
000,25,Beaufort County,NC,RE21,186,0.0096,65,0.0034,6483,0.3337
000,25,Beaufort County,NC,RE22,80,0.0171,15,0.0032,1952,0.4190
000,50,Beaufort County,NC,RE1,1583,0.0355,139,0.0031,15572,0.3487
000,50,Beaufort County,NC,RE3,1346,0.0427,124,0.0039,11220,0.3563
000,50,Beaufort County,NC,RE4,186,0.0170,11,0.0010,3721,0.3401
000,50,Beaufort County,NC,RE5,20,0.0280,2,0.0027,246,0.3459
000,50,Beaufort County,NC,RE6,8,0.0274,0,0.0015,85,0.2893
000,50,Beaufort County,NC,RE7,1,0.0306,0,0.0014,16,0.3424
000,50,Beaufort County,NC,RE8,72,0.0231,6,0.0018,936,0.3002
000,50,Beaufort County,NC,RE2,76,0.0221,6,0.0017,1030,0.3000
000,50,Beaufort County,NC,RE20,1006,0.0418,81,0.0033,8955,0.3717
000,50,Beaufort County,NC,RE21,727,0.0374,66,0.0034,6852,0.3526
000,50,Beaufort County,NC,RE22,279,0.0600,15,0.0032,2103,0.4513
000,100,Beaufort County,NC,RE1,4318,0.0967,252,0.0056,17394,0.3896
000,100,Beaufort County,NC,RE3,3405,0.1081,225,0.0071,12446,0.3952
000,100,Beaufort County,NC,RE4,764,0.0698,21,0.0019,4246,0.3881
000,100,Beaufort County,NC,RE5,52,0.0729,3,0.0043,271,0.3799
000,100,Beaufort County,NC,RE6,21,0.0719,1,0.0028,97,0.3305
000,100,Beaufort County,NC,RE7,4,0.0785,0,0.0033,18,0.3808
000,100,Beaufort County,NC,RE8,212,0.0679,10,0.0031,1036,0.3323
000,100,Beaufort County,NC,RE2,227,0.0663,10,0.0029,1134,0.3302
000,100,Beaufort County,NC,RE20,2807,0.1165,170,0.0071,10085,0.4186
000,100,Beaufort County,NC,RE21,1992,0.1025,119,0.0061,7686,0.3956
000,100,Beaufort County,NC,RE22,815,0.1750,52,0.0111,2398,0.5147
000,150,Beaufort County,NC,RE1,7059,0.1581,2179,0.0488,19543,0.4377
000,150,Beaufort County,NC,RE3,5332,0.1693,1812,0.0575,13812,0.4386
000,150,Beaufort County,NC,RE4,1493,0.1365,294,0.0268,4973,0.4545
000,150,Beaufort County,NC,RE5,93,0.1301,26,0.0367,299,0.4197
000,150,Beaufort County,NC,RE6,37,0.1273,11,0.0369,115,0.3918
000,150,Beaufort County,NC,RE7,7,0.1499,2,0.0407,21,0.4412
000,150,Beaufort County,NC,RE8,352,0.1130,105,0.0338,1135,0.3639
000,150,Beaufort County,NC,RE2,387,0.1127,111,0.0325,1249,0.3638
000,150,Beaufort County,NC,RE20,4588,0.1905,1391,0.0578,11332,0.4704
000,150,Beaufort County,NC,RE21,3240,0.1667,1000,0.0515,8666,0.4460
000,150,Beaufort County,NC,RE22,1349,0.2894,392,0.0840,2666,0.5721
000,200,Beaufort County,NC,RE1,9527,0.2134,5034,0.1127,22084,0.4946
000,200,Beaufort County,NC,RE3,6977,0.2215,3877,0.1231,15241,0.4840
000,200,Beaufort County,NC,RE4,2255,0.2061,984,0.0900,5982,0.5468
