SS,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Beaufort County,NC,EM1,0,0.0000,0,0.0000,2385,0.1206
000,0,Beaufort County,NC,EM2,0,0.0000,0,0.0000,941,0.1357
000,0,Beaufort County,NC,EM3,0,0.0000,0,0.0000,375,0.1005
000,0,Beaufort County,NC,EM4,0,0.0000,0,0.0000,641,0.1311
000,0,Beaufort County,NC,EM5,0,0.0000,0,0.0000,137,0.2735
000,0,Beaufort County,NC,EM6,0,0.0000,0,0.0000,291,0.0783
000,25,Beaufort County,NC,EM1,0,0.0000,0,0.0000,2592,0.1311
000,25,Beaufort County,NC,EM2,0,0.0000,0,0.0000,1030,0.1486
000,25,Beaufort County,NC,EM3,0,0.0000,0,0.0000,413,0.1107
000,25,Beaufort County,NC,EM4,0,0.0000,0,0.0000,701,0.1434
000,25,Beaufort County,NC,EM5,0,0.0000,0,0.0000,137,0.2735
000,25,Beaufort County,NC,EM6,0,0.0000,0,0.0000,311,0.0836
000,50,Beaufort County,NC,EM1,39,0.0020,0,0.0000,3083,0.1559
000,50,Beaufort County,NC,EM2,33,0.0048,0,0.0000,1137,0.1640
000,50,Beaufort County,NC,EM3,0,0.0000,0,0.0000,519,0.1391
000,50,Beaufort County,NC,EM4,6,0.0012,0,0.0000,878,0.1796
000,50,Beaufort County,NC,EM5,0,0.0000,0,0.0000,171,0.3413
000,50,Beaufort County,NC,EM6,0,0.0000,0,0.0000,378,0.1017
000,100,Beaufort County,NC,EM1,581,0.0294,0,0.0000,3776,0.1910
000,100,Beaufort County,NC,EM2,189,0.0273,0,0.0000,1275,0.1839
000,100,Beaufort County,NC,EM3,119,0.0319,0,0.0000,740,0.1984
000,100,Beaufort County,NC,EM4,210,0.0430,0,0.0000,1052,0.2152
000,100,Beaufort County,NC,EM5,3,0.0060,0,0.0000,208,0.4152
000,100,Beaufort County,NC,EM6,60,0.0161,0,0.0000,501,0.1347
000,150,Beaufort County,NC,EM1,1384,0.0700,47,0.0024,5341,0.2701
000,150,Beaufort County,NC,EM2,535,0.0772,36,0.0052,1666,0.2403
