SS,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Beaufort County,NC,CR2,0,0.0000,0,0.0000,1,0.1250
000,0,Beaufort County,NC,CR3,0,0.0000,0,0.0000,2,0.1176
000,0,Beaufort County,NC,CR4,0,0.0000,0,0.0000,1,0.0500
000,0,Beaufort County,NC,CR5,0,0.0000,0,0.0000,1,1.0000
000,0,Beaufort County,NC,WW2,0,0.0000,0,0.0000,23,0.2987
000,0,Beaufort County,NC,WW3,1,0.3333,1,0.3333,1,0.3333
000,0,Beaufort County,NC,WW4,0,0.0000,0,0.0000,0,0.0000
000,25,Beaufort County,NC,CR2,0,0.0000,0,0.0000,1,0.1250
000,25,Beaufort County,NC,CR3,0,0.0000,0,0.0000,2,0.1176
000,25,Beaufort County,NC,CR4,0,0.0000,0,0.0000,2,0.1000
000,25,Beaufort County,NC,CR5,0,0.0000,0,0.0000,1,1.0000
000,25,Beaufort County,NC,WW2,0,0.0000,0,0.0000,23,0.2987
000,25,Beaufort County,NC,WW3,1,0.3333,1,0.3333,2,0.6667
000,25,Beaufort County,NC,WW4,0,0.0000,0,0.0000,0,0.0000
000,50,Beaufort County,NC,CR2,0,0.0000,0,0.0000,1,0.1250
000,50,Beaufort County,NC,CR3,0,0.0000,0,0.0000,3,0.1765
000,50,Beaufort County,NC,CR4,0,0.0000,0,0.0000,2,0.1000
000,50,Beaufort County,NC,CR5,0,0.0000,0,0.0000,1,1.0000
000,50,Beaufort County,NC,WW2,0,0.0000,0,0.0000,23,0.2987
000,50,Beaufort County,NC,WW3,1,0.3333,1,0.3333,2,0.6667
000,50,Beaufort County,NC,WW4,0,0.0000,0,0.0000,0,0.0000
000,100,Beaufort County,NC,CR2,1,0.1250,0,0.0000,2,0.2500
000,100,Beaufort County,NC,CR3,0,0.0000,0,0.0000,4,0.2353
000,100,Beaufort County,NC,CR4,1,0.0500,0,0.0000,3,0.1500
000,100,Beaufort County,NC,CR5,0,0.0000,0,0.0000,1,1.0000
000,100,Beaufort County,NC,WW2,0,0.0000,0,0.0000,27,0.3506
000,100,Beaufort County,NC,WW3,1,0.3333,1,0.3333,2,0.6667
