County,State,DBcode,Tot_value
Beaufort County,NC,LC2,18
Beaufort County,NC,LC3,227
Beaufort County,NC,LC4,234
Beaufort County,NC,LC5,74
Beaufort County,NC,LC6,230
Beaufort County,NC,LC7,40
Bertie County,NC,LC2,8
Bertie County,NC,LC3,160
Bertie County,NC,LC4,225
Bertie County,NC,LC5,48
Bertie County,NC,LC6,236
Bertie County,NC,LC7,18
Bladen County,NC,LC2,13
Bladen County,NC,LC3,174
Bladen County,NC,LC4,251
Bladen County,NC,LC5,81
Bladen County,NC,LC6,313
Bladen County,NC,LC7,30
Brunswick County,NC,LC2,59
Brunswick County,NC,LC3,55
Brunswick County,NC,LC4,243
Brunswick County,NC,LC5,75
Brunswick County,NC,LC6,365
Brunswick County,NC,LC7,56
Camden County,NC,LC2,3
Camden County,NC,LC3,85
Camden County,NC,LC4,10
Camden County,NC,LC5,1
Camden County,NC,LC6,135
Camden County,NC,LC7,6
Carteret County,NC,LC2,31
Carteret County,NC,LC3,84
Carteret County,NC,LC4,83
Carteret County,NC,LC5,18
Carteret County,NC,LC6,266
Carteret County,NC,LC7,35
Chowan County,NC,LC2,5
Chowan County,NC,LC3,76
Chowan County,NC,LC4,34
Chowan County,NC,LC5,5
Chowan County,NC,LC6,44
Chowan County,NC,LC7,9
Columbus County,NC,LC2,17
Columbus County,NC,LC3,229
Columbus County,NC,LC4,229
Columbus County,NC,LC5,61
Columbus County,NC,LC6,345
Columbus County,NC,LC7,35
Craven County,NC,LC2,35
Craven County,NC,LC3,108
Craven County,NC,LC4,184
Craven County,NC,LC5,48
Craven County,NC,LC6,292
Craven County,NC,LC7,37
Currituck County,NC,LC2,11
Currituck County,NC,LC3,73
Currituck County,NC,LC4,14
Currituck County,NC,LC5,2
Currituck County,NC,LC6,142
Currituck County,NC,LC7,16
Dare County,NC,LC2,24
Dare County,NC,LC3,8
Dare County,NC,LC4,7
Dare County,NC,LC5,2
Dare County,NC,LC6,316
Dare County,NC,LC7,22
Duplin County,NC,LC2,18
Duplin County,NC,LC3,301
Duplin County,NC,LC4,201
Duplin County,NC,LC5,52
Duplin County,NC,LC6,198
Duplin County,NC,LC7,37
Edgecombe County,NC,LC2,13
Edgecombe County,NC,LC3,207
Edgecombe County,NC,LC4,105
Edgecombe County,NC,LC5,21
Edgecombe County,NC,LC6,121
Edgecombe County,NC,LC7,19
Gates County,NC,LC2,3
Gates County,NC,LC3,77
Gates County,NC,LC4,114
Gates County,NC,LC5,16
Gates County,NC,LC6,121
Gates County,NC,LC7,11
Greene County,NC,LC2,6
Greene County,NC,LC3,132
Greene County,NC,LC4,47
Greene County,NC,LC5,9
Greene County,NC,LC6,59
Greene County,NC,LC7,12
Halifax County,NC,LC2,9
Halifax County,NC,LC3,212
Halifax County,NC,LC4,255
Halifax County,NC,LC5,44
Halifax County,NC,LC6,151
