SS,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Beaufort County,NC,LC2,0,0.0057,0,0.0041,4,0.2259
000,0,Beaufort County,NC,LC3,0,0.0001,0,0.0000,101,0.4457
000,0,Beaufort County,NC,LC4,0,0.0002,0,0.0000,98,0.4174
000,0,Beaufort County,NC,LC5,0,0.0007,0,0.0002,30,0.4013
000,0,Beaufort County,NC,LC6,2,0.0074,1,0.0031,161,0.6970
000,0,Beaufort County,NC,LC7,0,0.0010,0,0.0006,10,0.2549
000,25,Beaufort County,NC,LC2,0,0.0093,0,0.0041,4,0.2480
000,25,Beaufort County,NC,LC3,0,0.0002,0,0.0000,102,0.4520
000,25,Beaufort County,NC,LC4,0,0.0008,0,0.0000,101,0.4329
000,25,Beaufort County,NC,LC5,0,0.0012,0,0.0002,30,0.4082
000,25,Beaufort County,NC,LC6,4,0.0174,1,0.0031,162,0.7045
000,25,Beaufort County,NC,LC7,0,0.0020,0,0.0006,11,0.2734
000,50,Beaufort County,NC,LC2,0,0.0188,0,0.0042,5,0.2711
000,50,Beaufort County,NC,LC3,0,0.0017,0,0.0000,105,0.4638
000,50,Beaufort County,NC,LC4,2,0.0095,0,0.0000,105,0.4477
000,50,Beaufort County,NC,LC5,0,0.0038,0,0.0002,31,0.4172
000,50,Beaufort County,NC,LC6,27,0.1178,1,0.0032,165,0.7141
000,50,Beaufort County,NC,LC7,0,0.0081,0,0.0006,12,0.2935
000,100,Beaufort County,NC,LC2,1,0.0840,0,0.0071,6,0.3279
000,100,Beaufort County,NC,LC3,6,0.0283,0,0.0001,112,0.4956
000,100,Beaufort County,NC,LC4,13,0.0536,0,0.0003,110,0.4699
000,100,Beaufort County,NC,LC5,2,0.0219,0,0.0009,32,0.4384
000,100,Beaufort County,NC,LC6,51,0.2208,2,0.0095,170,0.7355
000,100,Beaufort County,NC,LC7,2,0.0516,0,0.0013,14,0.3414
000,150,Beaufort County,NC,LC2,3,0.1552,1,0.0284,7,0.3854
000,150,Beaufort County,NC,LC3,15,0.0659,1,0.0046,122,0.5402
000,150,Beaufort County,NC,LC4,26,0.1093,4,0.0179,115,0.4906
000,150,Beaufort County,NC,LC5,4,0.0530,1,0.0069,34,0.4585
000,150,Beaufort County,NC,LC6,63,0.2722,37,0.1589,175,0.7579
000,150,Beaufort County,NC,LC7,4,0.1083,1,0.0148,15,0.3801
000,200,Beaufort County,NC,LC2,4,0.2099,2,0.1032,8,0.4586
000,200,Beaufort County,NC,LC3,32,0.1409,8,0.0367,133,0.5855
000,200,Beaufort County,NC,LC4,35,0.1512,16,0.0679,119,0.5076
000,200,Beaufort County,NC,LC5,6,0.0872,2,0.0288,35,0.4785
000,200,Beaufort County,NC,LC6,74,0.3215,54,0.2341,180,0.7810
000,200,Beaufort County,NC,LC7,6,0.1559,3,0.0668,17,0.4247
000,300,Beaufort County,NC,LC2,6,0.3665,4,0.2238,10,0.5611
000,300,Beaufort County,NC,LC3,68,0.3019,36,0.1603,157,0.6914
