SS,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Beaufort County,NC,PV1,17109453,0.0036,8235299,0.0017,1384892380,0.2912
000,0,Beaufort County,NC,PV3,7272347,0.0028,3689105,0.0014,565154510,0.2211
000,0,Beaufort County,NC,PV2,9840804,0.0045,4548585,0.0021,821707715,0.3720
000,25,Beaufort County,NC,PV1,54627766,0.0115,8261717,0.0017,1560632969,0.3282
000,25,Beaufort County,NC,PV3,22889758,0.0090,3701648,0.0014,648705170,0.2538
000,25,Beaufort County,NC,PV2,31763740,0.0144,4562460,0.0021,913983240,0.4138
000,50,Beaufort County,NC,PV1,185957450,0.0391,8272029,0.0017,1715656948,0.3608
000,50,Beaufort County,NC,PV3,72639655,0.0284,3704404,0.0014,725375063,0.2838
000,50,Beaufort County,NC,PV2,113453906,0.0514,4570015,0.0021,992415564,0.4493
000,100,Beaufort County,NC,PV1,625284763,0.1315,28128771,0.0059,1989911076,0.4185
000,100,Beaufort County,NC,PV3,257541732,0.1008,11853542,0.0046,872057183,0.3412
000,100,Beaufort County,NC,PV2,368334967,0.1668,16281217,0.0074,1120257860,0.5072
000,150,Beaufort County,NC,PV1,1062506654,0.2234,262754776,0.0553,2267350895,0.4768
000,150,Beaufort County,NC,PV3,463871159,0.1815,101908989,0.0399,1029679631,0.4029
000,150,Beaufort County,NC,PV2,599521457,0.2714,161054590,0.0729,1240411316,0.5616
000,200,Beaufort County,NC,PV1,1394423655,0.2932,743850466,0.1564,2588444804,0.5443
000,200,Beaufort County,NC,PV3,627406933,0.2455,311190790,0.1218,1222802711,0.4784
000,200,Beaufort County,NC,PV2,768240650,0.3478,433328356,0.1962,1368890349,0.6198
000,300,Beaufort County,NC,PV1,2146423002,0.4514,1477483315,0.3107,3073540868,0.6464
000,300,Beaufort County,NC,PV3,1055959101,0.4131,672059983,0.2629,1514365709,0.5925
000,300,Beaufort County,NC,PV2,1092639626,0.4947,806776849,0.3653,1563183792,0.7077
001,0,Beaufort County,NC,PV1,270271302,0.0568,11038356,0.0023,2043274783,0.4297
001,0,Beaufort County,NC,PV3,107307277,0.0420,5197569,0.0020,877245300,0.3432
001,0,Beaufort County,NC,PV2,163294363,0.0739,5848580,0.0026,1168914071,0.5292
001,25,Beaufort County,NC,PV1,402763257,0.0847,13012780,0.0027,2119383635,0.4457
001,25,Beaufort County,NC,PV3,161633816,0.0632,6036718,0.0024,918107692,0.3592
001,25,Beaufort County,NC,PV2,241567460,0.1094,6984277,0.0032,1204168117,0.5452
001,50,Beaufort County,NC,PV1,607692519,0.1278,27967633,0.0059,2198472226,0.4623
001,50,Beaufort County,NC,PV3,249605025,0.0977,12240235,0.0048,960283788,0.3757
001,50,Beaufort County,NC,PV2,358754611,0.1624,15746086,0.0071,1241157039,0.5619
001,100,Beaufort County,NC,PV1,1051592495,0.2211,226957374,0.0477,2463554095,0.5181
001,100,Beaufort County,NC,PV3,458950375,0.1796,88483029,0.0346,1114154919,0.4359
001,100,Beaufort County,NC,PV2,593562345,0.2687,138655994,0.0628,1352677719,0.6124
001,150,Beaufort County,NC,PV1,1387823520,0.2919,700318236,0.1473,2710115695,0.5699
001,150,Beaufort County,NC,PV3,624261719,0.2442,292000420,0.1142,1263547219,0.4944
001,150,Beaufort County,NC,PV2,764783442,0.3463,408948277,0.1852,1450141396,0.6566
001,200,Beaufort County,NC,PV1,1749010923,0.3678,1135979405,0.2389,2960911665,0.6227
001,200,Beaufort County,NC,PV3,820753829,0.3211,500980373,0.1960,1423980486,0.5571
001,200,Beaufort County,NC,PV2,929943665,0.4210,635932081,0.2879,1540868296,0.6976
001,300,Beaufort County,NC,PV1,2539999657,0.5342,1918264667,0.4034,3310851290,0.6963
001,300,Beaufort County,NC,PV3,1287487884,0.5037,919634553,0.3598,1635911983,0.6400
001,300,Beaufort County,NC,PV2,1255331119,0.5684,1000515907,0.4530,1679462646,0.7604
020,0,Beaufort County,NC,PV1,2823917947,0.5939,2143127886,0.4507,3459885319,0.7276
020,0,Beaufort County,NC,PV3,1417579309,0.5546,1106046555,0.4327,1720861455,0.6733
020,0,Beaufort County,NC,PV2,1409542615,0.6382,1039025377,0.4704,1743994495,0.7896
020,25,Beaufort County,NC,PV1,2882359597,0.6062,2240788485,0.4712,3473627752,0.7305
020,25,Beaufort County,NC,PV3,1449201865,0.5670,1153183166,0.4512,1728873977,0.6764
020,25,Beaufort County,NC,PV2,1436502930,0.6504,1089712459,0.4934,1749770924,0.7922
020,50,Beaufort County,NC,PV1,2941237250,0.6185,2339113111,0.4919,3486970413,0.7333
020,50,Beaufort County,NC,PV3,1480089098,0.5791,1203730936,0.4710,1736789189,0.6795
020,50,Beaufort County,NC,PV2,1464647834,0.6631,1137643457,0.5151,1755232036,0.7947
020,100,Beaufort County,NC,PV1,3052170218,0.6419,2557811498,0.5379,3516298652,0.7395
020,100,Beaufort County,NC,PV3,1536929592,0.6013,1312407472,0.5135,1755555709,0.6869
020,100,Beaufort County,NC,PV2,1519011326,0.6877,1248043766,0.5651,1765866042,0.7995
020,150,Beaufort County,NC,PV1,3123534467,0.6569,2777236419,0.5841,3545316845,0.7456
020,150,Beaufort County,NC,PV3,1574563708,0.6160,1416403220,0.5542,1774026253,0.6941
020,150,Beaufort County,NC,PV2,1552941767,0.7031,1363969819,0.6176,1776469612,0.8043
020,200,Beaufort County,NC,PV1,3169731881,0.6666,2958734868,0.6222,3580608822,0.7530
020,200,Beaufort County,NC,PV3,1599580357,0.6258,1503955198,0.5884,1797056087,0.7031
020,200,Beaufort County,NC,PV2,1574241178,0.7128,1458352313,0.6603,1788815434,0.8099
020,300,Beaufort County,NC,PV1,3255399224,0.6846,3115272709,0.6551,3679802051,0.7739
020,300,Beaufort County,NC,PV3,1651095102,0.6460,1582604142,0.6192,1862735184,0.7288
020,300,Beaufort County,NC,PV2,1608565373,0.7283,1536614248,0.6957,1822611101,0.8252
100,0,Beaufort County,NC,PV1,3131298783,0.6585,2680936229,0.5638,3582612683,0.7534
100,0,Beaufort County,NC,PV3,1572316729,0.6152,1376203661,0.5384,1795434116,0.7025
100,0,Beaufort County,NC,PV2,1562920022,0.7076,1307596832,0.5920,1792517676,0.8116
100,25,Beaufort County,NC,PV1,3157944451,0.6641,2745862013,0.5775,3593688846,0.7557
100,25,Beaufort County,NC,PV3,1585560588,0.6203,1404703090,0.5496,1802573543,0.7052
100,25,Beaufort County,NC,PV2,1576383243,0.7137,1344164297,0.6086,1796473104,0.8134
100,50,Beaufort County,NC,PV1,3177728099,0.6683,2811428578,0.5912,3605925675,0.7583
100,50,Beaufort County,NC,PV3,1595956812,0.6244,1434142826,0.5611,1810550958,0.7084
100,50,Beaufort County,NC,PV2,1585830964,0.7180,1380465401,0.6250,1800752990,0.8153
100,100,Beaufort County,NC,PV1,3216789711,0.6765,2955813320,0.6216,3635974284,0.7646
100,100,Beaufort County,NC,PV3,1616614755,0.6325,1503374167,0.5882,1830128435,0.7160
100,100,Beaufort County,NC,PV2,1604347084,0.7264,1455961015,0.6592,1811288326,0.8201
100,150,Beaufort County,NC,PV1,3257757135,0.6851,3051768761,0.6418,3670209516,0.7718
100,150,Beaufort County,NC,PV3,1640835401,0.6420,1548862044,0.6060,1852070109,0.7246
100,150,Beaufort County,NC,PV2,1621171582,0.7340,1506634150,0.6821,1823723385,0.8257
100,200,Beaufort County,NC,PV1,3292869339,0.6925,3108244133,0.6537,3719719708,0.7823
100,200,Beaufort County,NC,PV3,1660958107,0.6498,1578729245,0.6177,1885145009,0.7376
100,200,Beaufort County,NC,PV2,1636232859,0.7408,1533427132,0.6943,1840315837,0.8332
100,300,Beaufort County,NC,PV1,3397666653,0.7145,3197311594,0.6724,3870376143,0.8139
100,300,Beaufort County,NC,PV3,1727543716,0.6759,1630754933,0.6380,1986167180,0.7771
100,300,Beaufort County,NC,PV2,1674693269,0.7582,1570678178,0.7111,1890593972,0.8560
000,0,Bertie County,NC,PV1,20692425,0.0166,20398683,0.0164,249786690,0.2009
000,0,Bertie County,NC,PV3,1764826,0.0026,1686452,0.0025,89290063,0.1321
000,0,Bertie County,NC,PV2,18928284,0.0332,18712895,0.0329,160790835,0.2824
000,25,Bertie County,NC,PV1,21365800,0.0172,20398816,0.0164,250908896,0.2018
000,25,Bertie County,NC,PV3,1958618,0.0029,1686452,0.0025,89886522,0.1330
000,25,Bertie County,NC,PV2,19407910,0.0341,18713028,0.0329,161319705,0.2834
000,50,Bertie County,NC,PV1,24253134,0.0195,20405301,0.0164,251741028,0.2024
000,50,Bertie County,NC,PV3,2580733,0.0038,1686670,0.0025,90368302,0.1337
000,50,Bertie County,NC,PV2,21673703,0.0381,18719294,0.0329,161672988,0.2840
000,100,Bertie County,NC,PV1,30427838,0.0245,20824039,0.0167,255517702,0.2055
000,100,Bertie County,NC,PV3,4998789,0.0074,1829368,0.0027,92829473,0.1373
000,100,Bertie County,NC,PV2,25436639,0.0447,18995334,0.0334,162990974,0.2863
000,150,Bertie County,NC,PV1,38452755,0.0309,25252540,0.0203,264049028,0.2123
000,150,Bertie County,NC,PV3,8840849,0.0131,2928393,0.0043,98779566,0.1461
000,150,Bertie County,NC,PV2,29634015,0.0521,22325950,0.0392,165573665,0.2908
000,200,Bertie County,NC,PV1,45056776,0.0362,32454729,0.0261,274571790,0.2208
000,200,Bertie County,NC,PV3,12139365,0.0180,5987389,0.0089,105991660,0.1568
000,200,Bertie County,NC,PV2,32955310,0.0579,26479251,0.0465,168886811,0.2967
000,300,Bertie County,NC,PV1,65985921,0.0531,46675128,0.0375,298428744,0.2400
000,300,Bertie County,NC,PV3,25167865,0.0372,13037771,0.0193,122749693,0.1816
000,300,Bertie County,NC,PV2,40874374,0.0718,33678017,0.0592,175997484,0.3092
001,0,Bertie County,NC,PV1,41782126,0.0336,20458867,0.0165,285858360,0.2299
001,0,Bertie County,NC,PV3,5315008,0.0079,1691563,0.0025,107923327,0.1596
001,0,Bertie County,NC,PV2,36487256,0.0641,18767967,0.0330,178274991,0.3132
001,25,Bertie County,NC,PV1,42588903,0.0342,20458867,0.0165,285858360,0.2299
001,25,Bertie County,NC,PV3,5777947,0.0085,1691563,0.0025,107971964,0.1597
001,25,Bertie County,NC,PV2,36833352,0.0647,18767967,0.0330,178274991,0.3132
001,50,Bertie County,NC,PV1,43949824,0.0353,20615981,0.0166,285858360,0.2299
001,50,Bertie County,NC,PV3,6375601,0.0094,1742171,0.0026,107971964,0.1597
001,50,Bertie County,NC,PV2,37598255,0.0660,18874474,0.0332,178274991,0.3132
001,100,Bertie County,NC,PV1,51308721,0.0413,23774243,0.0191,288819413,0.2323
001,100,Bertie County,NC,PV3,9882888,0.0146,2411839,0.0036,109853211,0.1625
001,100,Bertie County,NC,PV2,41461446,0.0728,21363497,0.0375,179307445,0.3150
001,150,Bertie County,NC,PV1,55688305,0.0448,30066069,0.0242,295759905,0.2378
001,150,Bertie County,NC,PV3,12247271,0.0181,4828509,0.0071,114636002,0.1696
001,150,Bertie County,NC,PV2,43490281,0.0764,25243954,0.0443,181466491,0.3188
001,200,Bertie County,NC,PV1,65740279,0.0529,38690990,0.0311,310048890,0.2493
001,200,Bertie County,NC,PV3,18541381,0.0274,8943821,0.0132,125121512,0.1851
001,200,Bertie County,NC,PV2,47261692,0.0830,29769572,0.0523,185277679,0.3255
001,300,Bertie County,NC,PV1,94344290,0.0759,57287384,0.0461,330869314,0.2661
001,300,Bertie County,NC,PV3,38822811,0.0574,19695963,0.0291,138515397,0.2049
001,300,Bertie County,NC,PV2,55601737,0.0977,37641038,0.0661,192713272,0.3385
020,0,Bertie County,NC,PV1,130736099,0.1051,57948710,0.0466,365756178,0.2941
020,0,Bertie County,NC,PV3,48955073,0.0724,18040312,0.0267,156230087,0.2311
020,0,Bertie County,NC,PV2,81875246,0.1438,39936481,0.0702,209943479,0.3688
020,25,Bertie County,NC,PV1,130759548,0.1052,58324750,0.0469,366028598,0.2943
020,25,Bertie County,NC,PV3,49262778,0.0729,18448606,0.0273,156371595,0.2313
020,25,Bertie County,NC,PV2,81879345,0.1438,39941034,0.0702,210073146,0.3690
020,50,Bertie County,NC,PV1,131256688,0.1055,60178797,0.0484,366351204,0.2946
020,50,Bertie County,NC,PV3,49717126,0.0735,19321881,0.0286,156471855,0.2315
020,50,Bertie County,NC,PV2,81883736,0.1438,40888633,0.0718,210297814,0.3694
020,100,Bertie County,NC,PV1,133499796,0.1074,63203757,0.0508,368175493,0.2961
020,100,Bertie County,NC,PV3,50986379,0.0754,20929649,0.0310,157435897,0.2329
020,100,Bertie County,NC,PV2,82614872,0.1451,42316005,0.0743,211158120,0.3709
020,150,Bertie County,NC,PV1,137242465,0.1104,66914064,0.0538,371528906,0.2988
020,150,Bertie County,NC,PV3,53271630,0.0788,22931566,0.0339,159299059,0.2356
020,150,Bertie County,NC,PV2,84080265,0.1477,44036845,0.0774,212653716,0.3735
020,200,Bertie County,NC,PV1,142054236,0.1142,72885509,0.0586,377397574,0.3035
020,200,Bertie County,NC,PV3,56264149,0.0832,26537667,0.0393,162574926,0.2405
020,200,Bertie County,NC,PV2,85904246,0.1509,46412412,0.0815,215251176,0.3781
020,300,Bertie County,NC,PV1,165637509,0.1332,104279179,0.0839,414218086,0.3331
020,300,Bertie County,NC,PV3,71233827,0.1054,48054107,0.0711,182239979,0.2696
020,300,Bertie County,NC,PV2,94537256,0.1661,56308776,0.0989,232434051,0.4083
100,0,Bertie County,NC,PV1,167476251,0.1347,93530606,0.0752,399722471,0.3214
100,0,Bertie County,NC,PV3,67001477,0.0991,39180331,0.0580,176752808,0.2615
100,0,Bertie County,NC,PV2,100614128,0.1767,54412331,0.0956,223422702,0.3925
100,25,Bertie County,NC,PV1,167902065,0.1350,94245032,0.0758,400961462,0.3224
100,25,Bertie County,NC,PV3,67234011,0.0995,39670109,0.0587,177787790,0.2630
100,25,Bertie County,NC,PV2,100809524,0.1771,54638572,0.0960,223627332,0.3928
100,50,Bertie County,NC,PV1,168268148,0.1353,95239302,0.0766,401627204,0.3230
100,50,Bertie County,NC,PV3,67427877,0.0997,40359456,0.0597,178091426,0.2634
100,50,Bertie County,NC,PV2,100983014,0.1774,54944311,0.0965,223989573,0.3935
100,100,Bertie County,NC,PV1,169752638,0.1365,97414793,0.0783,403709399,0.3246
100,100,Bertie County,NC,PV3,68274285,0.1010,41654990,0.0616,179377945,0.2654
100,100,Bertie County,NC,PV2,101624077,0.1785,55828969,0.0981,224787861,0.3949
