County,State,DBcode,Tot_value
Beaufort County,NC,RL1,117
Bertie County,NC,RL1,9
Bladen County,NC,RL1,39
Brunswick County,NC,RL1,82
Camden County,NC,RL1,6
Carteret County,NC,RL1,37
Chowan County,NC,RL1,5
Columbus County,NC,RL1,55
Craven County,NC,RL1,98
Currituck County,NC,RL1,16
Duplin County,NC,RL1,48
Edgecombe County,NC,RL1,32
Greene County,NC,RL1,8
Halifax County,NC,RL1,33
Hertford County,NC,RL1,33
Jones County,NC,RL1,5
Lenoir County,NC,RL1,45
Martin County,NC,RL1,45
New Hanover County,NC,RL1,77
Northampton County,NC,RL1,50
Onslow County,NC,RL1,11
Pasquotank County,NC,RL1,14
Perquimans County,NC,RL1,17
Pitt County,NC,RL1,71
Sampson County,NC,RL1,14
Washington County,NC,RL1,24
