SS,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Beaufort County,NC,RL1,1,0.0062,1,0.0061,23,0.1934
000,25,Beaufort County,NC,RL1,1,0.0067,1,0.0061,24,0.2033
000,50,Beaufort County,NC,RL1,1,0.0089,1,0.0061,25,0.2138
000,100,Beaufort County,NC,RL1,6,0.0483,1,0.0063,30,0.2546
000,150,Beaufort County,NC,RL1,9,0.0805,2,0.0132,33,0.2778
000,200,Beaufort County,NC,RL1,11,0.0940,7,0.0572,40,0.3388
000,300,Beaufort County,NC,RL1,19,0.1600,12,0.0986,52,0.4469
001,0,Beaufort County,NC,RL1,3,0.0283,1,0.0061,36,0.3039
001,25,Beaufort County,NC,RL1,4,0.0345,1,0.0061,39,0.3329
001,50,Beaufort County,NC,RL1,6,0.0519,1,0.0065,39,0.3365
001,100,Beaufort County,NC,RL1,10,0.0842,1,0.0121,42,0.3590
001,150,Beaufort County,NC,RL1,11,0.0960,6,0.0546,45,0.3863
001,200,Beaufort County,NC,RL1,14,0.1161,10,0.0831,54,0.4642
001,300,Beaufort County,NC,RL1,31,0.2634,15,0.1272,61,0.5201
020,0,Beaufort County,NC,RL1,29,0.2447,18,0.1537,69,0.5904
020,25,Beaufort County,NC,RL1,34,0.2895,19,0.1645,70,0.5962
020,50,Beaufort County,NC,RL1,36,0.3068,21,0.1759,71,0.6022
020,100,Beaufort County,NC,RL1,39,0.3321,24,0.2005,72,0.6132
020,150,Beaufort County,NC,RL1,43,0.3695,31,0.2634,76,0.6484
020,200,Beaufort County,NC,RL1,48,0.4129,36,0.3110,79,0.6711
020,300,Beaufort County,NC,RL1,58,0.4975,45,0.3794,84,0.7136
100,0,Beaufort County,NC,RL1,42,0.3542,26,0.2231,75,0.6394
100,25,Beaufort County,NC,RL1,44,0.3780,27,0.2333,76,0.6468
100,50,Beaufort County,NC,RL1,46,0.3922,31,0.2630,78,0.6686
100,100,Beaufort County,NC,RL1,50,0.4252,36,0.3110,80,0.6839
100,150,Beaufort County,NC,RL1,53,0.4552,40,0.3397,85,0.7220
100,200,Beaufort County,NC,RL1,57,0.4883,43,0.3676,86,0.7343
100,300,Beaufort County,NC,RL1,65,0.5499,52,0.4422,88,0.7510
000,0,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,25,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,50,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,100,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
