County,State,DBcode,Tot_value
Beaufort County,NC,RO1,1681
Beaufort County,NC,RO2,37
Beaufort County,NC,RO3,220
Beaufort County,NC,RO4,1423
Bertie County,NC,RO1,863
Bertie County,NC,RO2,69
Bertie County,NC,RO3,165
Bertie County,NC,RO4,629
Bladen County,NC,RO1,1466
Bladen County,NC,RO2,0
Bladen County,NC,RO3,344
Bladen County,NC,RO4,1122
Brunswick County,NC,RO1,2548
Brunswick County,NC,RO2,116
Brunswick County,NC,RO3,313
Brunswick County,NC,RO4,2119
Camden County,NC,RO1,290
Camden County,NC,RO2,19
Camden County,NC,RO3,43
Camden County,NC,RO4,229
Carteret County,NC,RO1,1123
Carteret County,NC,RO2,0
Carteret County,NC,RO3,186
Carteret County,NC,RO4,938
Chowan County,NC,RO1,389
Chowan County,NC,RO2,17
Chowan County,NC,RO3,68
Chowan County,NC,RO4,304
Columbus County,NC,RO1,1827
Columbus County,NC,RO2,100
Columbus County,NC,RO3,230
Columbus County,NC,RO4,1497
Craven County,NC,RO1,1747
Craven County,NC,RO2,79
Craven County,NC,RO3,225
Craven County,NC,RO4,1443
Currituck County,NC,RO1,572
Currituck County,NC,RO2,0
Currituck County,NC,RO3,81
Currituck County,NC,RO4,491
Dare County,NC,RO1,878
Dare County,NC,RO2,0
Dare County,NC,RO3,165
Dare County,NC,RO4,713
Duplin County,NC,RO1,1765
Duplin County,NC,RO2,97
Duplin County,NC,RO3,236
Duplin County,NC,RO4,1433
Edgecombe County,NC,RO1,1114
Edgecombe County,NC,RO2,50
Edgecombe County,NC,RO3,210
Edgecombe County,NC,RO4,854
Gates County,NC,RO1,504
Gates County,NC,RO2,0
Gates County,NC,RO3,91
Gates County,NC,RO4,414
Greene County,NC,RO1,598
Greene County,NC,RO2,0
Greene County,NC,RO3,110
Greene County,NC,RO4,487
Halifax County,NC,RO1,1387
Halifax County,NC,RO2,42
Halifax County,NC,RO3,207
Halifax County,NC,RO4,1138
Hertford County,NC,RO1,645
Hertford County,NC,RO2,42
Hertford County,NC,RO3,94
Hertford County,NC,RO4,509
Hyde County,NC,RO1,527
Hyde County,NC,RO2,0
Hyde County,NC,RO3,160
Hyde County,NC,RO4,367
Jones County,NC,RO1,718
Jones County,NC,RO2,50
Jones County,NC,RO3,84
Jones County,NC,RO4,585
Lenoir County,NC,RO1,1211
Lenoir County,NC,RO2,39
Lenoir County,NC,RO3,189
Lenoir County,NC,RO4,983
Martin County,NC,RO1,912
Martin County,NC,RO2,53
Martin County,NC,RO3,170
Martin County,NC,RO4,689
New Hanover County,NC,RO1,1860
New Hanover County,NC,RO2,41
New Hanover County,NC,RO3,226
New Hanover County,NC,RO4,1593
Northampton County,NC,RO1,840
Northampton County,NC,RO2,15
Northampton County,NC,RO3,152
Northampton County,NC,RO4,672
Onslow County,NC,RO1,2051
Onslow County,NC,RO2,103
Onslow County,NC,RO3,240
Onslow County,NC,RO4,1708
Pamlico County,NC,RO1,650
Pamlico County,NC,RO2,0
Pamlico County,NC,RO3,73
Pamlico County,NC,RO4,577
Pasquotank County,NC,RO1,654
Pasquotank County,NC,RO2,27
Pasquotank County,NC,RO3,64
Pasquotank County,NC,RO4,562
Pender County,NC,RO1,1327
Pender County,NC,RO2,77
Pender County,NC,RO3,193
Pender County,NC,RO4,1057
Perquimans County,NC,RO1,556
Perquimans County,NC,RO2,35
Perquimans County,NC,RO3,37
Perquimans County,NC,RO4,484
Pitt County,NC,RO1,2044
Pitt County,NC,RO2,0
Pitt County,NC,RO3,492
Pitt County,NC,RO4,1552
Sampson County,NC,RO1,1825
Sampson County,NC,RO2,80
Sampson County,NC,RO3,287
Sampson County,NC,RO4,1458
Tyrrell County,NC,RO1,255
Tyrrell County,NC,RO2,0
Tyrrell County,NC,RO3,53
Tyrrell County,NC,RO4,202
Washington County,NC,RO1,504
Washington County,NC,RO2,0
Washington County,NC,RO3,142
Washington County,NC,RO4,362
