SS,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Beaufort County,NC,RO1,6,0.0036,5,0.0032,466,0.2771
000,0,Beaufort County,NC,RO2,1,0.0249,1,0.0249,7,0.1911
000,0,Beaufort County,NC,RO3,5,0.0213,4,0.0189,44,0.2022
000,0,Beaufort County,NC,RO4,0,0.0003,0,0.0002,414,0.2909
000,25,Beaufort County,NC,RO1,7,0.0040,5,0.0032,503,0.2990
000,25,Beaufort County,NC,RO2,1,0.0256,1,0.0249,7,0.1915
000,25,Beaufort County,NC,RO3,5,0.0219,4,0.0189,48,0.2177
000,25,Beaufort County,NC,RO4,1,0.0007,0,0.0002,448,0.3144
000,50,Beaufort County,NC,RO1,15,0.0092,5,0.0032,542,0.3222
000,50,Beaufort County,NC,RO2,4,0.0973,1,0.0249,7,0.1935
000,50,Beaufort County,NC,RO3,5,0.0233,4,0.0191,54,0.2439
000,50,Beaufort County,NC,RO4,7,0.0047,0,0.0002,481,0.3377
000,100,Beaufort County,NC,RO1,107,0.0638,6,0.0037,617,0.3670
000,100,Beaufort County,NC,RO2,5,0.1387,1,0.0249,7,0.1981
000,100,Beaufort County,NC,RO3,12,0.0540,5,0.0215,68,0.3098
000,100,Beaufort County,NC,RO4,90,0.0633,1,0.0004,541,0.3802
000,150,Beaufort County,NC,RO1,226,0.1343,28,0.0166,690,0.4105
000,150,Beaufort County,NC,RO2,5,0.1469,4,0.1073,7,0.1989
000,150,Beaufort County,NC,RO3,27,0.1212,6,0.0259,82,0.3738
000,150,Beaufort County,NC,RO4,194,0.1360,18,0.0128,600,0.4217
000,200,Beaufort County,NC,RO1,319,0.1900,137,0.0815,762,0.4536
000,200,Beaufort County,NC,RO2,6,0.1499,5,0.1411,7,0.2002
000,200,Beaufort County,NC,RO3,43,0.1941,15,0.0684,98,0.4472
000,200,Beaufort County,NC,RO4,271,0.1904,117,0.0820,657,0.4612
000,300,Beaufort County,NC,RO1,517,0.3076,342,0.2032,882,0.5248
000,300,Beaufort County,NC,RO2,6,0.1544,6,0.1506,8,0.2136
000,300,Beaufort County,NC,RO3,77,0.3497,46,0.2112,117,0.5315
000,300,Beaufort County,NC,RO4,434,0.3051,289,0.2033,757,0.5319
001,0,Beaufort County,NC,RO1,28,0.0166,5,0.0032,750,0.4459
001,0,Beaufort County,NC,RO2,5,0.1380,1,0.0249,8,0.2143
001,0,Beaufort County,NC,RO3,6,0.0293,4,0.0192,79,0.3591
001,0,Beaufort County,NC,RO4,16,0.0114,0,0.0002,663,0.4654
001,25,Beaufort County,NC,RO1,55,0.0327,6,0.0034,764,0.4547
001,25,Beaufort County,NC,RO2,5,0.1380,1,0.0249,8,0.2143
001,25,Beaufort County,NC,RO3,8,0.0367,4,0.0201,81,0.3679
001,25,Beaufort County,NC,RO4,42,0.0293,0,0.0002,675,0.4744
001,50,Beaufort County,NC,RO1,99,0.0589,6,0.0037,782,0.4653
001,50,Beaufort County,NC,RO2,5,0.1409,1,0.0249,8,0.2143
001,50,Beaufort County,NC,RO3,11,0.0511,5,0.0217,84,0.3820
001,50,Beaufort County,NC,RO4,82,0.0579,1,0.0004,690,0.4847
001,100,Beaufort County,NC,RO1,220,0.1307,20,0.0120,842,0.5012
001,100,Beaufort County,NC,RO2,6,0.1491,4,0.1075,8,0.2150
001,100,Beaufort County,NC,RO3,26,0.1175,5,0.0242,95,0.4315
001,100,Beaufort County,NC,RO4,188,0.1322,11,0.0076,739,0.5195
001,150,Beaufort County,NC,RO1,314,0.1870,124,0.0737,899,0.5347
001,150,Beaufort County,NC,RO2,6,0.1523,5,0.1409,8,0.2165
001,150,Beaufort County,NC,RO3,41,0.1884,14,0.0615,107,0.4857
001,150,Beaufort County,NC,RO4,267,0.1877,105,0.0739,784,0.5507
001,200,Beaufort County,NC,RO1,414,0.2464,245,0.1457,961,0.5719
001,200,Beaufort County,NC,RO2,6,0.1536,6,0.1480,8,0.2235
001,200,Beaufort County,NC,RO3,58,0.2625,30,0.1362,120,0.5432
001,200,Beaufort County,NC,RO4,351,0.2464,209,0.1470,833,0.5855
001,300,Beaufort County,NC,RO1,617,0.3672,457,0.2717,1055,0.6276
001,300,Beaufort County,NC,RO2,6,0.1584,6,0.1530,9,0.2382
001,300,Beaufort County,NC,RO3,94,0.4266,65,0.2954,131,0.5939
001,300,Beaufort County,NC,RO4,517,0.3635,386,0.2711,915,0.6430
020,0,Beaufort County,NC,RO1,714,0.4250,426,0.2532,1187,0.7065
020,0,Beaufort County,NC,RO2,7,0.1754,6,0.1583,11,0.2842
020,0,Beaufort County,NC,RO3,101,0.4603,62,0.2799,149,0.6766
020,0,Beaufort County,NC,RO4,606,0.4260,358,0.2515,1028,0.7221
020,25,Beaufort County,NC,RO1,740,0.4401,458,0.2722,1192,0.7093
020,25,Beaufort County,NC,RO2,7,0.1765,6,0.1591,11,0.2848
020,25,Beaufort County,NC,RO3,105,0.4780,67,0.3066,149,0.6788
020,25,Beaufort County,NC,RO4,628,0.4412,384,0.2698,1032,0.7252
020,50,Beaufort County,NC,RO1,767,0.4562,495,0.2943,1198,0.7125
020,50,Beaufort County,NC,RO2,7,0.1781,6,0.1596,11,0.2860
020,50,Beaufort County,NC,RO3,109,0.4953,74,0.3354,150,0.6821
020,50,Beaufort County,NC,RO4,651,0.4574,415,0.2914,1037,0.7283
020,100,Beaufort County,NC,RO1,808,0.4809,585,0.3480,1206,0.7178
020,100,Beaufort County,NC,RO2,7,0.1804,6,0.1628,11,0.2888
020,100,Beaufort County,NC,RO3,114,0.5198,88,0.4015,151,0.6882
020,100,Beaufort County,NC,RO4,687,0.4828,491,0.3446,1044,0.7336
020,150,Beaufort County,NC,RO1,838,0.4983,670,0.3988,1214,0.7225
020,150,Beaufort County,NC,RO2,7,0.1843,6,0.1683,11,0.2926
020,150,Beaufort County,NC,RO3,119,0.5398,100,0.4561,153,0.6938
020,150,Beaufort County,NC,RO4,712,0.5001,564,0.3960,1051,0.7382
020,200,Beaufort County,NC,RO1,859,0.5108,748,0.4447,1224,0.7281
020,200,Beaufort County,NC,RO2,7,0.1934,6,0.1739,11,0.2978
020,200,Beaufort County,NC,RO3,123,0.5586,109,0.4964,154,0.6987
020,200,Beaufort County,NC,RO4,728,0.5117,632,0.4439,1059,0.7440
020,300,Beaufort County,NC,RO1,887,0.5276,818,0.4868,1249,0.7428
020,300,Beaufort County,NC,RO2,8,0.2088,7,0.1846,12,0.3119
020,300,Beaufort County,NC,RO3,128,0.5827,120,0.5467,157,0.7124
020,300,Beaufort County,NC,RO4,751,0.5274,691,0.4855,1080,0.7588
100,0,Beaufort County,NC,RO1,875,0.5203,631,0.3756,1238,0.7367
100,0,Beaufort County,NC,RO2,7,0.1949,6,0.1729,11,0.3032
100,0,Beaufort County,NC,RO3,119,0.5409,95,0.4321,156,0.7071
100,0,Beaufort County,NC,RO4,748,0.5257,530,0.3722,1071,0.7526
100,25,Beaufort County,NC,RO1,885,0.5264,662,0.3941,1241,0.7384
100,25,Beaufort County,NC,RO2,7,0.1977,6,0.1740,11,0.3052
100,25,Beaufort County,NC,RO3,121,0.5494,99,0.4487,156,0.7092
100,25,Beaufort County,NC,RO4,757,0.5315,557,0.3914,1074,0.7542
100,50,Beaufort County,NC,RO1,894,0.5320,694,0.4128,1244,0.7404
100,50,Beaufort County,NC,RO2,7,0.2001,7,0.1749,11,0.3075
100,50,Beaufort County,NC,RO3,122,0.5556,103,0.4672,156,0.7108
100,50,Beaufort County,NC,RO4,765,0.5371,585,0.4106,1077,0.7563
100,100,Beaufort County,NC,RO1,913,0.5432,750,0.4464,1253,0.7454
100,100,Beaufort County,NC,RO2,8,0.2053,7,0.1774,12,0.3130
100,100,Beaufort County,NC,RO3,126,0.5714,110,0.4986,157,0.7148
100,100,Beaufort County,NC,RO4,780,0.5477,634,0.4453,1084,0.7614
100,150,Beaufort County,NC,RO1,925,0.5503,788,0.4690,1262,0.7509
100,150,Beaufort County,NC,RO2,8,0.2145,7,0.1813,12,0.3192
100,150,Beaufort County,NC,RO3,128,0.5805,115,0.5230,158,0.7196
100,150,Beaufort County,NC,RO4,789,0.5544,666,0.4681,1092,0.7670
100,200,Beaufort County,NC,RO1,939,0.5585,815,0.4850,1274,0.7581
100,200,Beaufort County,NC,RO2,8,0.2260,7,0.1893,12,0.3262
100,200,Beaufort County,NC,RO3,130,0.5910,119,0.5411,160,0.7259
100,200,Beaufort County,NC,RO4,800,0.5621,689,0.4841,1102,0.7744
100,300,Beaufort County,NC,RO1,975,0.5801,846,0.5033,1312,0.7804
100,300,Beaufort County,NC,RO2,9,0.2527,8,0.2075,13,0.3487
100,300,Beaufort County,NC,RO3,136,0.6162,124,0.5656,163,0.7415
100,300,Beaufort County,NC,RO4,830,0.5831,714,0.5014,1136,0.7977
000,0,Bertie County,NC,RO1,5,0.0057,5,0.0056,156,0.1810
000,0,Bertie County,NC,RO2,2,0.0262,2,0.0258,8,0.1138
000,0,Bertie County,NC,RO3,2,0.0097,2,0.0097,21,0.1290
