SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Aurora,Beaufort County,NC,EM1,0,0.0000,0,0.0000,6,0.0513
000,0,Aurora,Beaufort County,NC,EM2,0,0.0000,0,0.0000,6,0.1034
000,0,Aurora,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,0,Aurora,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,0,Aurora,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Aurora,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,0,Bath,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
000,0,Bath,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,0,Bath,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,0,Bath,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,0,Bath,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Bath,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,0,Bayview,Beaufort County,NC,EM1,0,0.0000,0,0.0000,3,0.0366
000,0,Bayview,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,0,Bayview,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,0,Bayview,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,0,Bayview,Beaufort County,NC,EM5,0,0.0000,0,0.0000,3,1.0000
000,0,Bayview,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,0,Belhaven,Beaufort County,NC,EM1,0,0.0000,0,0.0000,327,0.5839
000,0,Belhaven,Beaufort County,NC,EM2,0,0.0000,0,0.0000,150,0.7576
000,0,Belhaven,Beaufort County,NC,EM3,0,0.0000,0,0.0000,32,0.8649
000,0,Belhaven,Beaufort County,NC,EM4,0,0.0000,0,0.0000,117,0.5200
000,0,Belhaven,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Belhaven,Beaufort County,NC,EM6,0,0.0000,0,0.0000,28,0.2800
000,0,Chocowinity,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
000,0,Chocowinity,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,0,Chocowinity,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,0,Chocowinity,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,0,Chocowinity,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Chocowinity,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,0,Cypress Landing,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
000,0,Cypress Landing,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,0,Cypress Landing,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,0,Cypress Landing,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,0,Cypress Landing,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Cypress Landing,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,0,Pantego,Beaufort County,NC,EM1,0,0.0000,0,0.0000,82,0.2971
000,0,Pantego,Beaufort County,NC,EM2,0,0.0000,0,0.0000,60,1.0000
000,0,Pantego,Beaufort County,NC,EM3,0,0.0000,0,0.0000,14,0.0824
000,0,Pantego,Beaufort County,NC,EM4,0,0.0000,0,0.0000,2,0.1429
000,0,Pantego,Beaufort County,NC,EM5,0,0.0000,0,0.0000,2,0.0714
000,0,Pantego,Beaufort County,NC,EM6,0,0.0000,0,0.0000,4,1.0000
000,0,Pinetown,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
000,0,Pinetown,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,0,Pinetown,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,0,Pinetown,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,0,Pinetown,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Pinetown,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,0,River Road,Beaufort County,NC,EM1,0,0.0000,0,0.0000,39,0.0720
000,0,River Road,Beaufort County,NC,EM2,0,0.0000,0,0.0000,3,0.0667
000,0,River Road,Beaufort County,NC,EM3,0,0.0000,0,0.0000,9,0.0677
000,0,River Road,Beaufort County,NC,EM4,0,0.0000,0,0.0000,17,0.0798
000,0,River Road,Beaufort County,NC,EM5,0,0.0000,0,0.0000,3,1.0000
000,0,River Road,Beaufort County,NC,EM6,0,0.0000,0,0.0000,7,0.0473
000,0,Unincorporated Beaufort,Beaufort County,NC,EM1,0,0.0000,0,0.0000,1095,0.1746
000,0,Unincorporated Beaufort,Beaufort County,NC,EM2,0,0.0000,0,0.0000,330,0.1800
000,0,Unincorporated Beaufort,Beaufort County,NC,EM3,0,0.0000,0,0.0000,280,0.2301
000,0,Unincorporated Beaufort,Beaufort County,NC,EM4,0,0.0000,0,0.0000,242,0.1898
000,0,Unincorporated Beaufort,Beaufort County,NC,EM5,0,0.0000,0,0.0000,129,0.2905
000,0,Unincorporated Beaufort,Beaufort County,NC,EM6,0,0.0000,0,0.0000,114,0.0759
000,0,Washington,Beaufort County,NC,EM1,0,0.0000,0,0.0000,829,0.0731
000,0,Washington,Beaufort County,NC,EM2,0,0.0000,0,0.0000,392,0.0871
000,0,Washington,Beaufort County,NC,EM3,0,0.0000,0,0.0000,36,0.0172
000,0,Washington,Beaufort County,NC,EM4,0,0.0000,0,0.0000,263,0.0920
000,0,Washington,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Washington,Beaufort County,NC,EM6,0,0.0000,0,0.0000,138,0.0736
000,0,Washington Park,Beaufort County,NC,EM1,0,0.0000,0,0.0000,4,0.1250
000,0,Washington Park,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,0,Washington Park,Beaufort County,NC,EM3,0,0.0000,0,0.0000,4,0.2105
000,0,Washington Park,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,0,Washington Park,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Washington Park,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
