Community,County,State,DBcode,Tot_value,Tot_pct
Aurora,Beaufort County,NC,LC2,0.2363,1.0000
Aurora,Beaufort County,NC,LC3,0.1425,1.0000
Aurora,Beaufort County,NC,LC4,0.1244,1.0000
Aurora,Beaufort County,NC,LC5,0.0632,1.0000
Aurora,Beaufort County,NC,LC6,0.1515,1.0000
Aurora,Beaufort County,NC,LC7,0.2332,1.0000
Bath,Beaufort County,NC,LC2,0.1036,1.0000
Bath,Beaufort County,NC,LC3,0.1063,1.0000
Bath,Beaufort County,NC,LC4,0.0101,1.0000
Bath,Beaufort County,NC,LC5,0.0097,1.0000
Bath,Beaufort County,NC,LC6,0.0424,1.0000
Bath,Beaufort County,NC,LC7,0.1015,1.0000
Bayview,Beaufort County,NC,LC2,0.0730,1.0000
Bayview,Beaufort County,NC,LC3,0.2071,1.0000
Bayview,Beaufort County,NC,LC4,0.2860,1.0000
Bayview,Beaufort County,NC,LC5,0.0420,1.0000
Bayview,Beaufort County,NC,LC6,0.1623,1.0000
Bayview,Beaufort County,NC,LC7,0.2669,1.0000
Belhaven,Beaufort County,NC,LC2,0.6727,1.0000
Belhaven,Beaufort County,NC,LC3,0.1508,1.0000
Belhaven,Beaufort County,NC,LC4,0.0712,1.0000
Belhaven,Beaufort County,NC,LC5,0.0271,1.0000
Belhaven,Beaufort County,NC,LC6,0.3732,1.0000
Belhaven,Beaufort County,NC,LC7,0.3093,1.0000
Chocowinity,Beaufort County,NC,LC2,0.3631,1.0000
Chocowinity,Beaufort County,NC,LC3,0.2512,1.0000
Chocowinity,Beaufort County,NC,LC4,0.1227,1.0000
Chocowinity,Beaufort County,NC,LC5,0.0407,1.0000
Chocowinity,Beaufort County,NC,LC6,0.0438,1.0000
Chocowinity,Beaufort County,NC,LC7,0.1887,1.0000
Cypress Landing,Beaufort County,NC,LC2,0.3798,1.0000
Cypress Landing,Beaufort County,NC,LC3,0.2210,1.0000
Cypress Landing,Beaufort County,NC,LC4,0.3809,1.0000
Cypress Landing,Beaufort County,NC,LC5,0.1268,1.0000
Cypress Landing,Beaufort County,NC,LC6,0.5796,1.0000
Cypress Landing,Beaufort County,NC,LC7,0.6342,1.0000
Pantego,Beaufort County,NC,LC2,0.0796,1.0000
Pantego,Beaufort County,NC,LC3,0.4795,1.0000
Pantego,Beaufort County,NC,LC4,0.0215,1.0000
Pantego,Beaufort County,NC,LC5,0.0136,1.0000
Pantego,Beaufort County,NC,LC6,0.1314,1.0000
Pantego,Beaufort County,NC,LC7,0.0775,1.0000
Pinetown,Beaufort County,NC,LC2,0.0313,1.0000
Pinetown,Beaufort County,NC,LC3,0.3385,1.0000
Pinetown,Beaufort County,NC,LC4,0.1890,1.0000
Pinetown,Beaufort County,NC,LC5,0.0118,1.0000
Pinetown,Beaufort County,NC,LC6,0.3736,1.0000
Pinetown,Beaufort County,NC,LC7,0.0758,1.0000
River Road,Beaufort County,NC,LC2,0.6581,1.0000
River Road,Beaufort County,NC,LC3,1.2239,1.0000
River Road,Beaufort County,NC,LC4,0.8368,1.0000
River Road,Beaufort County,NC,LC5,0.3753,1.0000
River Road,Beaufort County,NC,LC6,2.4658,1.0000
River Road,Beaufort County,NC,LC7,1.4834,1.0000
Unincorporated Beaufort,Beaufort County,NC,LC2,11.4770,1.0000
Unincorporated Beaufort,Beaufort County,NC,LC3,222.5445,1.0000
Unincorporated Beaufort,Beaufort County,NC,LC4,231.4278,1.0000
Unincorporated Beaufort,Beaufort County,NC,LC5,73.0028,1.0000
Unincorporated Beaufort,Beaufort County,NC,LC6,225.0298,1.0000
Unincorporated Beaufort,Beaufort County,NC,LC7,34.3478,1.0000
Washington,Beaufort County,NC,LC2,3.5694,1.0000
Washington,Beaufort County,NC,LC3,1.0004,1.0000
Washington,Beaufort County,NC,LC4,0.5959,1.0000
Washington,Beaufort County,NC,LC5,0.1981,1.0000
Washington,Beaufort County,NC,LC6,1.1047,1.0000
Washington,Beaufort County,NC,LC7,1.7618,1.0000
Washington Park,Beaufort County,NC,LC2,0.0719,1.0000
Washington Park,Beaufort County,NC,LC3,0.0007,1.0000
Washington Park,Beaufort County,NC,LC4,0.0163,1.0000
Washington Park,Beaufort County,NC,LC5,0.0153,1.0000
Washington Park,Beaufort County,NC,LC6,0.0382,1.0000
Washington Park,Beaufort County,NC,LC7,0.1178,1.0000
Askewville,Bertie County,NC,LC2,0.0709,1.0000
Askewville,Bertie County,NC,LC3,0.1619,1.0000
Askewville,Bertie County,NC,LC4,0.1991,1.0000
Askewville,Bertie County,NC,LC5,0.0473,1.0000
Askewville,Bertie County,NC,LC6,0.0028,1.0000
Askewville,Bertie County,NC,LC7,0.1126,1.0000
Colerain,Bertie County,NC,LC2,0.0764,1.0000
Colerain,Bertie County,NC,LC3,0.1025,1.0000
Colerain,Bertie County,NC,LC4,0.0125,1.0000
Colerain,Bertie County,NC,LC5,0.0097,1.0000
Colerain,Bertie County,NC,LC6,0.0000,1.0000
Colerain,Bertie County,NC,LC7,0.0622,1.0000
Powellsville,Bertie County,NC,LC2,0.0632,1.0000
Powellsville,Bertie County,NC,LC3,0.0966,1.0000
Powellsville,Bertie County,NC,LC4,0.0653,1.0000
Powellsville,Bertie County,NC,LC5,0.0264,1.0000
Powellsville,Bertie County,NC,LC6,0.0045,1.0000
Powellsville,Bertie County,NC,LC7,0.1008,1.0000
Unincorporated Bertie,Bertie County,NC,LC2,7.0336,1.0000
Unincorporated Bertie,Bertie County,NC,LC3,159.4292,1.0000
Unincorporated Bertie,Bertie County,NC,LC4,224.1166,1.0000
Unincorporated Bertie,Bertie County,NC,LC5,47.3819,1.0000
Unincorporated Bertie,Bertie County,NC,LC6,235.8204,1.0000
Unincorporated Bertie,Bertie County,NC,LC7,17.2043,1.0000
Windsor,Bertie County,NC,LC2,0.7367,1.0000
Windsor,Bertie County,NC,LC3,0.1678,1.0000
Windsor,Bertie County,NC,LC4,0.3927,1.0000
Windsor,Bertie County,NC,LC5,0.2061,1.0000
Windsor,Bertie County,NC,LC6,0.5403,1.0000
Windsor,Bertie County,NC,LC7,0.7582,1.0000
East Arcadia,Bladen County,NC,LC2,0.0733,1.0000
East Arcadia,Bladen County,NC,LC3,0.4740,1.0000
East Arcadia,Bladen County,NC,LC4,0.8722,1.0000
East Arcadia,Bladen County,NC,LC5,0.3499,1.0000
East Arcadia,Bladen County,NC,LC6,0.1786,1.0000
East Arcadia,Bladen County,NC,LC7,0.2040,1.0000
Elizabethtown,Bladen County,NC,LC2,1.2961,1.0000
Elizabethtown,Bladen County,NC,LC3,0.4198,1.0000
Elizabethtown,Bladen County,NC,LC4,0.8691,1.0000
Elizabethtown,Bladen County,NC,LC5,0.4941,1.0000
Elizabethtown,Bladen County,NC,LC6,0.9215,1.0000
Elizabethtown,Bladen County,NC,LC7,1.0630,1.0000
Kelly,Bladen County,NC,LC2,0.1324,1.0000
Kelly,Bladen County,NC,LC3,6.2486,1.0000
Kelly,Bladen County,NC,LC4,2.0481,1.0000
Kelly,Bladen County,NC,LC5,0.9778,1.0000
Kelly,Bladen County,NC,LC6,1.5953,1.0000
Kelly,Bladen County,NC,LC7,0.5949,1.0000
Unincorporated Bladen,Bladen County,NC,LC2,11.2730,1.0000
Unincorporated Bladen,Bladen County,NC,LC3,166.6331,1.0000
Unincorporated Bladen,Bladen County,NC,LC4,247.1501,1.0000
Unincorporated Bladen,Bladen County,NC,LC5,79.5930,1.0000
Unincorporated Bladen,Bladen County,NC,LC6,309.8779,1.0000
Unincorporated Bladen,Bladen County,NC,LC7,27.7552,1.0000
Bald Head Island,Brunswick County,NC,LC2,0.4406,1.0000
Bald Head Island,Brunswick County,NC,LC3,0.0000,1.0000
Bald Head Island,Brunswick County,NC,LC4,0.8437,1.0000
Bald Head Island,Brunswick County,NC,LC5,0.0653,1.0000
Bald Head Island,Brunswick County,NC,LC6,1.5915,1.0000
Bald Head Island,Brunswick County,NC,LC7,1.1026,1.0000
Belville,Brunswick County,NC,LC2,0.6171,1.0000
Belville,Brunswick County,NC,LC3,0.0052,1.0000
Belville,Brunswick County,NC,LC4,0.2314,1.0000
Belville,Brunswick County,NC,LC5,0.0716,1.0000
Belville,Brunswick County,NC,LC6,0.4486,1.0000
Belville,Brunswick County,NC,LC7,0.3475,1.0000
Boiling Spring Lakes,Brunswick County,NC,LC2,2.2205,1.0000
Boiling Spring Lakes,Brunswick County,NC,LC3,0.2252,1.0000
Boiling Spring Lakes,Brunswick County,NC,LC4,4.6095,1.0000
Boiling Spring Lakes,Brunswick County,NC,LC5,0.7683,1.0000
Boiling Spring Lakes,Brunswick County,NC,LC6,13.9490,1.0000
Boiling Spring Lakes,Brunswick County,NC,LC7,2.8355,1.0000
Bolivia,Brunswick County,NC,LC2,0.0671,1.0000
Bolivia,Brunswick County,NC,LC3,0.1251,1.0000
Bolivia,Brunswick County,NC,LC4,0.2134,1.0000
Bolivia,Brunswick County,NC,LC5,0.0285,1.0000
Bolivia,Brunswick County,NC,LC6,0.1126,1.0000
Bolivia,Brunswick County,NC,LC7,0.0910,1.0000
Calabash,Brunswick County,NC,LC2,1.1492,1.0000
Calabash,Brunswick County,NC,LC3,0.0424,1.0000
Calabash,Brunswick County,NC,LC4,0.7315,1.0000
Calabash,Brunswick County,NC,LC5,0.1314,1.0000
Calabash,Brunswick County,NC,LC6,0.9685,1.0000
Calabash,Brunswick County,NC,LC7,1.5126,1.0000
Carolina Shores,Brunswick County,NC,LC2,1.1745,1.0000
