SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Aurora,Beaufort County,NC,LC2,0.0003,0.0015,0.0000,0.0000,0.0261,0.1103
000,0,Aurora,Beaufort County,NC,LC3,0.0000,0.0000,0.0000,0.0000,0.0518,0.3634
000,0,Aurora,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0441,0.3547
000,0,Aurora,Beaufort County,NC,LC5,0.0000,0.0000,0.0000,0.0000,0.0177,0.2802
000,0,Aurora,Beaufort County,NC,LC6,0.0028,0.0183,0.0000,0.0000,0.1369,0.9037
000,0,Aurora,Beaufort County,NC,LC7,0.0003,0.0015,0.0000,0.0000,0.0500,0.2146
000,0,Bath,Beaufort County,NC,LC2,0.0063,0.0604,0.0056,0.0537,0.0104,0.1007
000,0,Bath,Beaufort County,NC,LC3,0.0010,0.0098,0.0000,0.0000,0.0049,0.0458
000,0,Bath,Beaufort County,NC,LC4,0.0007,0.0690,0.0000,0.0000,0.0017,0.1724
000,0,Bath,Beaufort County,NC,LC5,0.0003,0.0357,0.0000,0.0000,0.0038,0.3929
000,0,Bath,Beaufort County,NC,LC6,0.0097,0.2295,0.0017,0.0410,0.0295,0.6967
000,0,Bath,Beaufort County,NC,LC7,0.0007,0.0068,0.0000,0.0000,0.0069,0.0685
000,0,Bayview,Beaufort County,NC,LC2,0.0014,0.0190,0.0000,0.0000,0.0299,0.4095
000,0,Bayview,Beaufort County,NC,LC3,0.0000,0.0000,0.0000,0.0000,0.0250,0.1208
000,0,Bayview,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0931,0.3256
000,0,Bayview,Beaufort County,NC,LC5,0.0003,0.0083,0.0000,0.0000,0.0142,0.3388
000,0,Bayview,Beaufort County,NC,LC6,0.0049,0.0300,0.0000,0.0000,0.1254,0.7730
000,0,Bayview,Beaufort County,NC,LC7,0.0007,0.0026,0.0000,0.0000,0.0386,0.1445
000,0,Belhaven,Beaufort County,NC,LC2,0.0076,0.0114,0.0031,0.0046,0.5459,0.8115
000,0,Belhaven,Beaufort County,NC,LC3,0.0003,0.0023,0.0000,0.0000,0.1362,0.9032
000,0,Belhaven,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0678,0.9512
000,0,Belhaven,Beaufort County,NC,LC5,0.0003,0.0128,0.0000,0.0000,0.0247,0.9103
000,0,Belhaven,Beaufort County,NC,LC6,0.0160,0.0428,0.0007,0.0019,0.3565,0.9553
000,0,Belhaven,Beaufort County,NC,LC7,0.0007,0.0022,0.0007,0.0022,0.2686,0.8685
000,0,Chocowinity,Beaufort County,NC,LC2,0.0000,0.0000,0.0000,0.0000,0.0017,0.0048
000,0,Chocowinity,Beaufort County,NC,LC3,0.0000,0.0000,0.0000,0.0000,0.0017,0.0069
000,0,Chocowinity,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Chocowinity,Beaufort County,NC,LC5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Chocowinity,Beaufort County,NC,LC6,0.0000,0.0000,0.0000,0.0000,0.0059,0.1349
000,0,Chocowinity,Beaufort County,NC,LC7,0.0000,0.0000,0.0000,0.0000,0.0052,0.0276
000,0,Cypress Landing,Beaufort County,NC,LC2,0.0000,0.0000,0.0000,0.0000,0.0010,0.0027
000,0,Cypress Landing,Beaufort County,NC,LC3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Cypress Landing,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0118,0.0310
000,0,Cypress Landing,Beaufort County,NC,LC5,0.0000,0.0000,0.0000,0.0000,0.0031,0.0247
000,0,Cypress Landing,Beaufort County,NC,LC6,0.0136,0.0234,0.0111,0.0192,0.2992,0.5162
000,0,Cypress Landing,Beaufort County,NC,LC7,0.0000,0.0000,0.0000,0.0000,0.0087,0.0137
000,0,Pantego,Beaufort County,NC,LC2,0.0000,0.0000,0.0000,0.0000,0.0233,0.2926
000,0,Pantego,Beaufort County,NC,LC3,0.0000,0.0000,0.0000,0.0000,0.0761,0.1587
000,0,Pantego,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0028,0.1290
000,0,Pantego,Beaufort County,NC,LC5,0.0000,0.0000,0.0000,0.0000,0.0003,0.0256
000,0,Pantego,Beaufort County,NC,LC6,0.0031,0.0238,0.0000,0.0000,0.1202,0.9153
000,0,Pantego,Beaufort County,NC,LC7,0.0000,0.0000,0.0000,0.0000,0.0136,0.1749
000,0,Pinetown,Beaufort County,NC,LC2,0.0000,0.0000,0.0000,0.0000,0.0014,0.0444
000,0,Pinetown,Beaufort County,NC,LC3,0.0000,0.0000,0.0000,0.0000,0.0278,0.0821
000,0,Pinetown,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0080,0.0423
000,0,Pinetown,Beaufort County,NC,LC5,0.0000,0.0000,0.0000,0.0000,0.0003,0.0294
000,0,Pinetown,Beaufort County,NC,LC6,0.0000,0.0000,0.0000,0.0000,0.1254,0.3358
000,0,Pinetown,Beaufort County,NC,LC7,0.0000,0.0000,0.0000,0.0000,0.0035,0.0459
000,0,River Road,Beaufort County,NC,LC2,0.0059,0.0090,0.0007,0.0011,0.1227,0.1864
000,0,River Road,Beaufort County,NC,LC3,0.0007,0.0006,0.0007,0.0006,0.2405,0.1965
000,0,River Road,Beaufort County,NC,LC4,0.0010,0.0012,0.0007,0.0008,0.1991,0.2380
000,0,River Road,Beaufort County,NC,LC5,0.0031,0.0083,0.0017,0.0046,0.0903,0.2407
000,0,River Road,Beaufort County,NC,LC6,0.0125,0.0051,0.0024,0.0010,1.4866,0.6029
000,0,River Road,Beaufort County,NC,LC7,0.0021,0.0014,0.0014,0.0009,0.3225,0.2174
000,0,Unincorporated Beaufort,Beaufort County,NC,LC2,0.0619,0.0054,0.0455,0.0040,2.5363,0.2210
000,0,Unincorporated Beaufort,Beaufort County,NC,LC3,0.0156,0.0001,0.0031,0.0000,100.3098,0.4507
000,0,Unincorporated Beaufort,Beaufort County,NC,LC4,0.0466,0.0002,0.0056,0.0000,97.1910,0.4200
000,0,Unincorporated Beaufort,Beaufort County,NC,LC5,0.0462,0.0006,0.0118,0.0002,29.4781,0.4038
000,0,Unincorporated Beaufort,Beaufort County,NC,LC6,1.6005,0.0071,0.6595,0.0029,157.1302,0.6983
000,0,Unincorporated Beaufort,Beaufort County,NC,LC7,0.0302,0.0009,0.0153,0.0004,9.0216,0.2627
000,0,Washington,Beaufort County,NC,LC2,0.0184,0.0052,0.0184,0.0052,0.6849,0.1919
000,0,Washington,Beaufort County,NC,LC3,0.0003,0.0003,0.0003,0.0003,0.1522,0.1521
000,0,Washington,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0692,0.1160
000,0,Washington,Beaufort County,NC,LC5,0.0010,0.0053,0.0010,0.0053,0.0316,0.1596
