SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Aurora,Beaufort County,NC,PV1,15162,0.0005,0,0.0000,5781733,0.1829
000,0,Aurora,Beaufort County,NC,PV3,5604,0.0002,0,0.0000,4069550,0.1687
000,0,Aurora,Beaufort County,NC,PV2,9559,0.0013,0,0.0000,1712220,0.2272
000,0,Bath,Beaufort County,NC,PV1,420183,0.0067,45149,0.0007,11549020,0.1840
000,0,Bath,Beaufort County,NC,PV3,171425,0.0052,18449,0.0006,4776980,0.1443
000,0,Bath,Beaufort County,NC,PV2,248758,0.0084,26700,0.0009,6772039,0.2283
000,0,Bayview,Beaufort County,NC,PV1,790235,0.0117,0,0.0000,29142123,0.4331
000,0,Bayview,Beaufort County,NC,PV3,260712,0.0090,0,0.0000,12059226,0.4141
000,0,Bayview,Beaufort County,NC,PV2,529523,0.0138,0,0.0000,17086985,0.4469
000,0,Belhaven,Beaufort County,NC,PV1,240881,0.0023,3571,0.0000,77491785,0.7393
000,0,Belhaven,Beaufort County,NC,PV3,76936,0.0012,235,0.0000,45688653,0.7167
000,0,Belhaven,Beaufort County,NC,PV2,163946,0.0040,3336,0.0001,31878604,0.7745
000,0,Chocowinity,Beaufort County,NC,PV1,0,0.0000,0,0.0000,776147,0.0134
000,0,Chocowinity,Beaufort County,NC,PV3,0,0.0000,0,0.0000,609454,0.0150
000,0,Chocowinity,Beaufort County,NC,PV2,0,0.0000,0,0.0000,166693,0.0093
000,0,Cypress Landing,Beaufort County,NC,PV1,65705,0.0003,15767,0.0001,8329687,0.0365
000,0,Cypress Landing,Beaufort County,NC,PV3,43645,0.0003,10272,0.0001,6039896,0.0357
000,0,Cypress Landing,Beaufort County,NC,PV2,22061,0.0004,5495,0.0001,2289791,0.0388
000,0,Pantego,Beaufort County,NC,PV1,3062,0.0003,0,0.0000,1978279,0.2175
000,0,Pantego,Beaufort County,NC,PV3,1815,0.0003,0,0.0000,1245146,0.1876
000,0,Pantego,Beaufort County,NC,PV2,1248,0.0005,0,0.0000,742315,0.2999
000,0,Pinetown,Beaufort County,NC,PV1,0,0.0000,0,0.0000,416367,0.0713
000,0,Pinetown,Beaufort County,NC,PV3,0,0.0000,0,0.0000,164638,0.0549
000,0,Pinetown,Beaufort County,NC,PV2,0,0.0000,0,0.0000,251729,0.0885
000,0,River Road,Beaufort County,NC,PV1,4771788,0.0147,2740018,0.0084,100179527,0.3076
000,0,River Road,Beaufort County,NC,PV3,1844548,0.0103,1122325,0.0062,44709158,0.2488
000,0,River Road,Beaufort County,NC,PV2,2927243,0.0200,1617695,0.0110,55552461,0.3792
000,0,Unincorporated Beaufort,Beaufort County,NC,PV1,8268315,0.0028,2938922,0.0010,986249220,0.3339
000,0,Unincorporated Beaufort,Beaufort County,NC,PV3,3713793,0.0027,1403507,0.0010,338510743,0.2493
000,0,Unincorporated Beaufort,Beaufort County,NC,PV2,4557581,0.0028,1537191,0.0010,649531876,0.4052
000,0,Washington,Beaufort County,NC,PV1,1995352,0.0023,1953105,0.0023,147977220,0.1725
000,0,Washington,Beaufort County,NC,PV3,1026938,0.0017,1007384,0.0016,98948322,0.1603
000,0,Washington,Beaufort County,NC,PV2,969051,0.0040,946332,0.0039,49034471,0.2035
000,0,Washington Park,Beaufort County,NC,PV1,538768,0.0107,538768,0.0107,15021272,0.2996
000,0,Washington Park,Beaufort County,NC,PV3,126933,0.0041,126933,0.0041,8332743,0.2679
