SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Aurora,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Bath,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Bayview,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Belhaven,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,1.5808,0.8065
000,0,Chocowinity,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Cypress Landing,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Pantego,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.1079,0.1155
000,0,Pinetown,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0628,0.0521
000,0,River Road,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.5406,0.4080
000,0,Unincorporated Beaufort,Beaufort County,NC,RL1,0.0627,0.0006,0.0431,0.0004,19.0191,0.1787
000,0,Washington,Beaufort County,NC,RL1,0.6695,0.3235,0.6695,0.3235,1.3838,0.6687
000,0,Washington Park,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Aurora,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Bath,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Bayview,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Belhaven,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,1.8673,0.9527
000,25,Chocowinity,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Cypress Landing,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Pantego,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.1230,0.1317
000,25,Pinetown,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0628,0.0521
000,25,River Road,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.5406,0.4080
000,25,Unincorporated Beaufort,Beaufort County,NC,RL1,0.1060,0.0010,0.0431,0.0004,19.6812,0.1849
000,25,Washington,Beaufort County,NC,RL1,0.6859,0.3315,0.6695,0.3235,1.5808,0.7639
000,25,Washington Park,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Aurora,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Bath,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Bayview,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Belhaven,Beaufort County,NC,RL1,0.0371,0.0189,0.0000,0.0000,1.9430,0.9913
000,50,Chocowinity,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Cypress Landing,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Pantego,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.1447,0.1549
000,50,Pinetown,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0628,0.0521
000,50,River Road,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.5406,0.4080
000,50,Unincorporated Beaufort,Beaufort County,NC,RL1,0.2365,0.0022,0.0431,0.0004,20.6096,0.1937
000,50,Washington,Beaufort County,NC,RL1,0.7666,0.3705,0.6695,0.3235,1.7837,0.8620
000,50,Washington Park,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Aurora,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Bath,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Bayview,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Belhaven,Beaufort County,NC,RL1,1.2959,0.6612,0.0000,0.0000,1.9563,0.9981
000,100,Chocowinity,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Cypress Landing,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Pantego,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.2433,0.2604
000,100,Pinetown,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0628,0.0521
000,100,River Road,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.5406,0.4080
000,100,Unincorporated Beaufort,Beaufort County,NC,RL1,3.1199,0.0293,0.0751,0.0007,25.1185,0.2360
000,100,Washington,Beaufort County,NC,RL1,1.2554,0.6067,0.6695,0.3235,1.9522,0.9434
000,100,Washington Park,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Aurora,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Bath,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Bayview,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Belhaven,Beaufort County,NC,RL1,1.9432,0.9914,0.0999,0.0510,1.9600,1.0000
000,150,Chocowinity,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Cypress Landing,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Pantego,Beaufort County,NC,RL1,0.0059,0.0063,0.0000,0.0000,0.4371,0.4679
000,150,Pinetown,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0628,0.0521
000,150,River Road,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.5406,0.4080
000,150,Unincorporated Beaufort,Beaufort County,NC,RL1,5.6972,0.0535,0.5757,0.0054,27.5578,0.2589
000,150,Washington,Beaufort County,NC,RL1,1.7947,0.8673,0.8724,0.4216,2.0344,0.9831
000,150,Washington Park,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,200,Aurora,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,200,Bath,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,200,Bayview,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,200,Belhaven,Beaufort County,NC,RL1,1.9563,0.9981,1.4899,0.7602,1.9600,1.0000
000,200,Chocowinity,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,200,Cypress Landing,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,200,Pantego,Beaufort County,NC,RL1,0.1208,0.1293,0.0000,0.0000,0.7346,0.7863
000,200,Pinetown,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0628,0.0521
000,200,River Road,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.5406,0.4080
000,200,Unincorporated Beaufort,Beaufort County,NC,RL1,6.9683,0.0655,3.8603,0.0363,34.4181,0.3234
000,200,Washington,Beaufort County,NC,RL1,1.9801,0.9568,1.3618,0.6581,2.0344,0.9831
000,200,Washington Park,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Aurora,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Bath,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Bayview,Beaufort County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Belhaven,Beaufort County,NC,RL1,1.9600,1.0000,1.9600,1.0000,1.9600,1.0000
