SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Aurora,Beaufort County,NC,RO1,0.0155,0.0014,0.0000,0.0000,2.2617,0.2041
000,0,Aurora,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Aurora,Beaufort County,NC,RO3,0.0155,0.0081,0.0000,0.0000,0.0643,0.0336
000,0,Aurora,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,2.1974,0.2396
000,0,Bath,Beaufort County,NC,RO1,0.2283,0.0457,0.2169,0.0434,0.3715,0.0743
000,0,Bath,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Bath,Beaufort County,NC,RO3,0.2283,0.2200,0.2169,0.2090,0.2937,0.2830
000,0,Bath,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0778,0.0196
000,0,Bayview,Beaufort County,NC,RO1,0.0008,0.0001,0.0000,0.0000,1.2291,0.1524
000,0,Bayview,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Bayview,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Bayview,Beaufort County,NC,RO4,0.0008,0.0001,0.0000,0.0000,1.2291,0.1537
000,0,Belhaven,Beaufort County,NC,RO1,0.1017,0.0046,0.0972,0.0044,19.3161,0.8732
000,0,Belhaven,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Belhaven,Beaufort County,NC,RO3,0.1017,0.0252,0.0972,0.0241,3.1622,0.7834
000,0,Belhaven,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,16.1539,0.8933
000,0,Chocowinity,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1279,0.0114
000,0,Chocowinity,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Chocowinity,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Chocowinity,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.1279,0.0160
000,0,Cypress Landing,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.0428,0.0027
000,0,Cypress Landing,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Cypress Landing,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Cypress Landing,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0428,0.0027
000,0,Pantego,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,1.0459,0.2816
000,0,Pantego,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Pantego,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.6295,0.4801
000,0,Pantego,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.4164,0.1733
000,0,Pinetown,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1734,0.0501
000,0,Pinetown,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Pinetown,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.1592,0.1287
000,0,Pinetown,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0142,0.0064
000,0,River Road,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,12.9139,0.2497
000,0,River Road,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,River Road,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0130,0.0029
000,0,River Road,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,12.9009,0.2733
000,0,Unincorporated Beaufort,Beaufort County,NC,RO1,5.3944,0.0037,4.7887,0.0033,402.4606,0.2785
000,0,Unincorporated Beaufort,Beaufort County,NC,RO2,0.9269,0.0257,0.9269,0.0257,6.7776,0.1881
000,0,Unincorporated Beaufort,Beaufort County,NC,RO3,4.0986,0.0218,3.6029,0.0192,36.2689,0.1929
000,0,Unincorporated Beaufort,Beaufort County,NC,RO4,0.3688,0.0003,0.2589,0.0002,359.4142,0.2943
000,0,Washington,Beaufort County,NC,RO1,0.2391,0.0024,0.2391,0.0024,24.0307,0.2434
000,0,Washington,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.3478,0.3194
000,0,Washington,Beaufort County,NC,RO3,0.2346,0.0167,0.2346,0.0167,3.8058,0.2713
000,0,Washington,Beaufort County,NC,RO4,0.0045,0.0001,0.0045,0.0001,19.8771,0.2377
000,0,Washington Park,Beaufort County,NC,RO1,0.0050,0.0010,0.0050,0.0010,1.7949,0.3644
000,0,Washington Park,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,0,Washington Park,Beaufort County,NC,RO3,0.0050,0.0064,0.0050,0.0064,0.0938,0.1180
000,0,Washington Park,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,1.7011,0.4117
000,25,Aurora,Beaufort County,NC,RO1,0.0155,0.0014,0.0000,0.0000,2.5985,0.2344
000,25,Aurora,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Aurora,Beaufort County,NC,RO3,0.0155,0.0081,0.0000,0.0000,0.0767,0.0401
000,25,Aurora,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,2.5218,0.2750
000,25,Bath,Beaufort County,NC,RO1,0.2420,0.0484,0.2169,0.0434,0.4058,0.0811
000,25,Bath,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Bath,Beaufort County,NC,RO3,0.2283,0.2200,0.2169,0.2090,0.3081,0.2969
000,25,Bath,Beaufort County,NC,RO4,0.0137,0.0035,0.0000,0.0000,0.0977,0.0246
000,25,Bayview,Beaufort County,NC,RO1,0.0884,0.0110,0.0000,0.0000,1.4746,0.1828
000,25,Bayview,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Bayview,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Bayview,Beaufort County,NC,RO4,0.0884,0.0111,0.0000,0.0000,1.4746,0.1844
000,25,Belhaven,Beaufort County,NC,RO1,0.1017,0.0046,0.0972,0.0044,20.7555,0.9383
000,25,Belhaven,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Belhaven,Beaufort County,NC,RO3,0.1017,0.0252,0.0972,0.0241,3.5213,0.8723
000,25,Belhaven,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,17.2342,0.9530
000,25,Chocowinity,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1279,0.0114
000,25,Chocowinity,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Chocowinity,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Chocowinity,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.1279,0.0160
000,25,Cypress Landing,Beaufort County,NC,RO1,0.0157,0.0010,0.0000,0.0000,0.0479,0.0031
000,25,Cypress Landing,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Cypress Landing,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Cypress Landing,Beaufort County,NC,RO4,0.0157,0.0010,0.0000,0.0000,0.0479,0.0031
000,25,Pantego,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,1.1003,0.2962
000,25,Pantego,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Pantego,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.6677,0.5092
000,25,Pantego,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.4326,0.1800
000,25,Pinetown,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1734,0.0501
000,25,Pinetown,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Pinetown,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.1592,0.1287
000,25,Pinetown,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0142,0.0064
000,25,River Road,Beaufort County,NC,RO1,0.0061,0.0001,0.0000,0.0000,14.9109,0.2884
000,25,River Road,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,River Road,Beaufort County,NC,RO3,0.0061,0.0013,0.0000,0.0000,0.0130,0.0029
000,25,River Road,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,14.8979,0.3157
000,25,Unincorporated Beaufort,Beaufort County,NC,RO1,5.9784,0.0041,4.7887,0.0033,433.8056,0.3002
000,25,Unincorporated Beaufort,Beaufort County,NC,RO2,0.9532,0.0265,0.9269,0.0257,6.7900,0.1885
000,25,Unincorporated Beaufort,Beaufort County,NC,RO3,4.2194,0.0224,3.6029,0.0192,39.1694,0.2083
000,25,Unincorporated Beaufort,Beaufort County,NC,RO4,0.8059,0.0007,0.2589,0.0002,387.8462,0.3176
000,25,Washington,Beaufort County,NC,RO1,0.2650,0.0027,0.2391,0.0024,25.0202,0.2534
000,25,Washington,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.3478,0.3194
000,25,Washington,Beaufort County,NC,RO3,0.2366,0.0169,0.2346,0.0167,3.8654,0.2756
000,25,Washington,Beaufort County,NC,RO4,0.0284,0.0003,0.0045,0.0001,20.8070,0.2488
000,25,Washington Park,Beaufort County,NC,RO1,0.0050,0.0010,0.0050,0.0010,2.1384,0.4341
000,25,Washington Park,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,25,Washington Park,Beaufort County,NC,RO3,0.0050,0.0064,0.0050,0.0064,0.1279,0.1609
000,25,Washington Park,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,2.0105,0.4866
000,50,Aurora,Beaufort County,NC,RO1,0.1664,0.0150,0.0031,0.0003,3.2819,0.2961
000,50,Aurora,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Aurora,Beaufort County,NC,RO3,0.0218,0.0114,0.0031,0.0016,0.0971,0.0508
000,50,Aurora,Beaufort County,NC,RO4,0.1446,0.0158,0.0000,0.0000,3.1848,0.3472
000,50,Bath,Beaufort County,NC,RO1,0.2625,0.0525,0.2216,0.0443,0.4551,0.0910
000,50,Bath,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Bath,Beaufort County,NC,RO3,0.2362,0.2276,0.2216,0.2135,0.3206,0.3090
000,50,Bath,Beaufort County,NC,RO4,0.0264,0.0067,0.0000,0.0000,0.1345,0.0339
000,50,Bayview,Beaufort County,NC,RO1,0.2536,0.0314,0.0000,0.0000,1.6874,0.2092
000,50,Bayview,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Bayview,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Bayview,Beaufort County,NC,RO4,0.2536,0.0317,0.0000,0.0000,1.6874,0.2111
000,50,Belhaven,Beaufort County,NC,RO1,0.4139,0.0187,0.0972,0.0044,21.2622,0.9612
000,50,Belhaven,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Belhaven,Beaufort County,NC,RO3,0.1374,0.0340,0.0972,0.0241,3.6463,0.9033
000,50,Belhaven,Beaufort County,NC,RO4,0.2765,0.0153,0.0000,0.0000,17.6159,0.9741
000,50,Chocowinity,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1279,0.0114
000,50,Chocowinity,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Chocowinity,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Chocowinity,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.1279,0.0160
000,50,Cypress Landing,Beaufort County,NC,RO1,0.0276,0.0018,0.0000,0.0000,0.0480,0.0031
000,50,Cypress Landing,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Cypress Landing,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Cypress Landing,Beaufort County,NC,RO4,0.0276,0.0018,0.0000,0.0000,0.0480,0.0031
000,50,Pantego,Beaufort County,NC,RO1,0.2396,0.0645,0.0000,0.0000,1.2386,0.3335
000,50,Pantego,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Pantego,Beaufort County,NC,RO3,0.0124,0.0095,0.0000,0.0000,0.6979,0.5323
000,50,Pantego,Beaufort County,NC,RO4,0.2271,0.0945,0.0000,0.0000,0.5407,0.2250
000,50,Pinetown,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1734,0.0501
000,50,Pinetown,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Pinetown,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.1592,0.1287
000,50,Pinetown,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0142,0.0064
000,50,River Road,Beaufort County,NC,RO1,0.1971,0.0038,0.0000,0.0000,16.3749,0.3167
000,50,River Road,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,River Road,Beaufort County,NC,RO3,0.0061,0.0013,0.0000,0.0000,0.0130,0.0029
000,50,River Road,Beaufort County,NC,RO4,0.1910,0.0040,0.0000,0.0000,16.3619,0.3467
000,50,Unincorporated Beaufort,Beaufort County,NC,RO1,13.3353,0.0092,4.8279,0.0033,467.1790,0.3233
000,50,Unincorporated Beaufort,Beaufort County,NC,RO2,3.4126,0.0947,0.9269,0.0257,6.8646,0.1905
000,50,Unincorporated Beaufort,Beaufort County,NC,RO3,4.4580,0.0237,3.6420,0.0194,44.4735,0.2365
000,50,Unincorporated Beaufort,Beaufort County,NC,RO4,5.4648,0.0045,0.2589,0.0002,415.8410,0.3406
000,50,Washington,Beaufort County,NC,RO1,0.5324,0.0054,0.2391,0.0024,27.3250,0.2767
000,50,Washington,Beaufort County,NC,RO2,0.2146,0.1971,0.0000,0.0000,0.3478,0.3194
000,50,Washington,Beaufort County,NC,RO3,0.2533,0.0181,0.2346,0.0167,4.1085,0.2929
000,50,Washington,Beaufort County,NC,RO4,0.0645,0.0008,0.0045,0.0001,22.8687,0.2734
000,50,Washington Park,Beaufort County,NC,RO1,0.0237,0.0048,0.0050,0.0010,2.4219,0.4917
000,50,Washington Park,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,50,Washington Park,Beaufort County,NC,RO3,0.0118,0.0148,0.0050,0.0064,0.1713,0.2155
000,50,Washington Park,Beaufort County,NC,RO4,0.0119,0.0029,0.0000,0.0000,2.2507,0.5448
000,100,Aurora,Beaufort County,NC,RO1,0.3686,0.0333,0.0155,0.0014,5.5381,0.4997
000,100,Aurora,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Aurora,Beaufort County,NC,RO3,0.0523,0.0274,0.0155,0.0081,0.3707,0.1939
000,100,Aurora,Beaufort County,NC,RO4,0.3163,0.0345,0.0000,0.0000,5.1674,0.5634
000,100,Bath,Beaufort County,NC,RO1,0.2792,0.0558,0.2294,0.0459,0.6327,0.1265
000,100,Bath,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Bath,Beaufort County,NC,RO3,0.2413,0.2325,0.2283,0.2200,0.3467,0.3341
000,100,Bath,Beaufort County,NC,RO4,0.0379,0.0096,0.0011,0.0003,0.2860,0.0722
000,100,Bayview,Beaufort County,NC,RO1,0.7478,0.0927,0.0475,0.0059,2.2992,0.2851
000,100,Bayview,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Bayview,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0065,0.0932
000,100,Bayview,Beaufort County,NC,RO4,0.7478,0.0935,0.0475,0.0059,2.2927,0.2868
000,100,Belhaven,Beaufort County,NC,RO1,14.2873,0.6459,0.1017,0.0046,21.8675,0.9886
000,100,Belhaven,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Belhaven,Beaufort County,NC,RO3,2.3211,0.5750,0.1017,0.0252,3.8654,0.9576
000,100,Belhaven,Beaufort County,NC,RO4,11.9662,0.6617,0.0000,0.0000,18.0021,0.9955
000,100,Chocowinity,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1279,0.0114
000,100,Chocowinity,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Chocowinity,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Chocowinity,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.1279,0.0160
000,100,Cypress Landing,Beaufort County,NC,RO1,0.0320,0.0020,0.0000,0.0000,0.0534,0.0034
000,100,Cypress Landing,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Cypress Landing,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Cypress Landing,Beaufort County,NC,RO4,0.0320,0.0020,0.0000,0.0000,0.0534,0.0034
000,100,Pantego,Beaufort County,NC,RO1,0.2985,0.0804,0.0000,0.0000,1.6804,0.4524
000,100,Pantego,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Pantego,Beaufort County,NC,RO3,0.0318,0.0243,0.0000,0.0000,0.8515,0.6494
000,100,Pantego,Beaufort County,NC,RO4,0.2667,0.1110,0.0000,0.0000,0.8288,0.3449
000,100,Pinetown,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1734,0.0501
000,100,Pinetown,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Pinetown,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.1592,0.1287
000,100,Pinetown,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0142,0.0064
000,100,River Road,Beaufort County,NC,RO1,5.4637,0.1057,0.0061,0.0001,19.8193,0.3833
000,100,River Road,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,River Road,Beaufort County,NC,RO3,0.0061,0.0013,0.0061,0.0013,0.0182,0.0040
000,100,River Road,Beaufort County,NC,RO4,5.4576,0.1156,0.0000,0.0000,19.8011,0.4195
000,100,Unincorporated Beaufort,Beaufort County,NC,RO1,82.8777,0.0573,5.5950,0.0039,528.2005,0.3655
000,100,Unincorporated Beaufort,Beaufort County,NC,RO2,4.8276,0.1340,0.9269,0.0257,7.0380,0.1953
000,100,Unincorporated Beaufort,Beaufort County,NC,RO3,8.9219,0.0474,4.1508,0.0221,56.7528,0.3018
000,100,Unincorporated Beaufort,Beaufort County,NC,RO4,69.1281,0.0566,0.5173,0.0004,464.4097,0.3803
000,100,Washington,Beaufort County,NC,RO1,2.3282,0.0236,0.2391,0.0024,33.3199,0.3374
000,100,Washington,Beaufort County,NC,RO2,0.3416,0.3137,0.0000,0.0000,0.3478,0.3194
000,100,Washington,Beaufort County,NC,RO3,0.2911,0.0208,0.2346,0.0167,5.5426,0.3952
000,100,Washington,Beaufort County,NC,RO4,1.6955,0.0203,0.0045,0.0001,27.4295,0.3280
000,100,Washington Park,Beaufort County,NC,RO1,0.5018,0.1019,0.0050,0.0010,3.0934,0.6280
000,100,Washington Park,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,100,Washington Park,Beaufort County,NC,RO3,0.0184,0.0231,0.0050,0.0064,0.2770,0.3485
000,100,Washington Park,Beaufort County,NC,RO4,0.4835,0.1170,0.0000,0.0000,2.8165,0.6817
000,150,Aurora,Beaufort County,NC,RO1,1.1787,0.1063,0.2393,0.0216,9.0381,0.8154
000,150,Aurora,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Aurora,Beaufort County,NC,RO3,0.0954,0.0499,0.0218,0.0114,0.8908,0.4659
000,150,Aurora,Beaufort County,NC,RO4,1.0833,0.1181,0.2176,0.0237,8.1473,0.8883
000,150,Bath,Beaufort County,NC,RO1,0.3538,0.0708,0.2625,0.0525,1.1007,0.2201
000,150,Bath,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Bath,Beaufort County,NC,RO3,0.2827,0.2724,0.2362,0.2276,0.4386,0.4226
000,150,Bath,Beaufort County,NC,RO4,0.0711,0.0179,0.0264,0.0067,0.6621,0.1671
000,150,Bayview,Beaufort County,NC,RO1,1.2613,0.1564,0.4500,0.0558,3.3071,0.4101
000,150,Bayview,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Bayview,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0223,0.3190
000,150,Bayview,Beaufort County,NC,RO4,1.2613,0.1578,0.4500,0.0563,3.2848,0.4109
000,150,Belhaven,Beaufort County,NC,RO1,21.3468,0.9650,1.7182,0.0777,22.1203,1.0000
000,150,Belhaven,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Belhaven,Beaufort County,NC,RO3,3.6572,0.9060,0.2030,0.0503,4.0367,1.0000
000,150,Belhaven,Beaufort County,NC,RO4,17.6897,0.9782,1.5152,0.0838,18.0836,1.0000
000,150,Chocowinity,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1279,0.0114
000,150,Chocowinity,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Chocowinity,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Chocowinity,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.1279,0.0160
000,150,Cypress Landing,Beaufort County,NC,RO1,0.0344,0.0022,0.0276,0.0018,0.0917,0.0059
000,150,Cypress Landing,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Cypress Landing,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Cypress Landing,Beaufort County,NC,RO4,0.0344,0.0022,0.0276,0.0018,0.0917,0.0059
000,150,Pantego,Beaufort County,NC,RO1,0.7995,0.2152,0.2449,0.0659,2.7145,0.7308
000,150,Pantego,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Pantego,Beaufort County,NC,RO3,0.4751,0.3623,0.0124,0.0095,1.1152,0.8505
000,150,Pantego,Beaufort County,NC,RO4,0.3244,0.1350,0.2324,0.0967,1.5994,0.6656
000,150,Pinetown,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.1734,0.0501
000,150,Pinetown,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,Pinetown,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.1592,0.1287
000,150,Pinetown,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0142,0.0064
000,150,River Road,Beaufort County,NC,RO1,10.6043,0.2051,0.6861,0.0133,23.1362,0.4474
000,150,River Road,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,150,River Road,Beaufort County,NC,RO3,0.0127,0.0028,0.0061,0.0013,0.1307,0.0290
000,150,River Road,Beaufort County,NC,RO4,10.5916,0.2244,0.6800,0.0144,23.0055,0.4874
000,150,Unincorporated Beaufort,Beaufort County,NC,RO1,179.1529,0.1240,23.3369,0.0161,582.6828,0.4032
000,150,Unincorporated Beaufort,Beaufort County,NC,RO2,5.1285,0.1423,3.7469,0.1040,7.0679,0.1962
