GW,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,0,Beaufort County,NC,RE1,156,0.0035,156,0.0035,156,0.0035
111,0,Beaufort County,NC,RE3,138,0.0044,138,0.0044,138,0.0044
111,0,Beaufort County,NC,RE4,14,0.0013,14,0.0013,14,0.0013
111,0,Beaufort County,NC,RE5,2,0.0023,2,0.0023,2,0.0023
111,0,Beaufort County,NC,RE6,1,0.0018,1,0.0018,1,0.0018
111,0,Beaufort County,NC,RE7,0,0.0028,0,0.0028,0,0.0028
111,0,Beaufort County,NC,RE8,6,0.0020,6,0.0020,6,0.0020
111,0,Beaufort County,NC,RE2,6,0.0018,6,0.0018,6,0.0018
111,0,Beaufort County,NC,RE20,120,0.0050,120,0.0050,120,0.0050
111,0,Beaufort County,NC,RE21,76,0.0039,76,0.0039,76,0.0039
111,0,Beaufort County,NC,RE22,44,0.0095,44,0.0095,44,0.0095
111,25,Beaufort County,NC,RE1,865,0.0194,865,0.0194,865,0.0194
111,25,Beaufort County,NC,RE3,745,0.0236,745,0.0236,745,0.0236
111,25,Beaufort County,NC,RE4,85,0.0078,85,0.0078,85,0.0078
111,25,Beaufort County,NC,RE5,13,0.0177,13,0.0177,13,0.0177
111,25,Beaufort County,NC,RE6,4,0.0148,4,0.0148,4,0.0148
111,25,Beaufort County,NC,RE7,1,0.0133,1,0.0133,1,0.0133
111,25,Beaufort County,NC,RE8,48,0.0154,48,0.0154,48,0.0154
111,25,Beaufort County,NC,RE2,49,0.0143,49,0.0143,49,0.0143
111,25,Beaufort County,NC,RE20,552,0.0229,552,0.0229,552,0.0229
111,25,Beaufort County,NC,RE21,392,0.0202,392,0.0202,392,0.0202
111,25,Beaufort County,NC,RE22,159,0.0342,159,0.0342,159,0.0342
111,50,Beaufort County,NC,RE1,2020,0.0452,2020,0.0452,2020,0.0452
111,50,Beaufort County,NC,RE3,1711,0.0543,1711,0.0543,1711,0.0543
111,50,Beaufort County,NC,RE4,235,0.0215,235,0.0215,235,0.0215
111,50,Beaufort County,NC,RE5,24,0.0331,24,0.0331,24,0.0331
111,50,Beaufort County,NC,RE6,10,0.0323,10,0.0323,10,0.0323
111,50,Beaufort County,NC,RE7,2,0.0412,2,0.0412,2,0.0412
111,50,Beaufort County,NC,RE8,100,0.0322,100,0.0322,100,0.0322
111,50,Beaufort County,NC,RE2,104,0.0302,104,0.0302,104,0.0302
111,50,Beaufort County,NC,RE20,1313,0.0545,1313,0.0545,1313,0.0545
111,50,Beaufort County,NC,RE21,921,0.0474,921,0.0474,921,0.0474
111,50,Beaufort County,NC,RE22,392,0.0842,392,0.0842,392,0.0842
111,100,Beaufort County,NC,RE1,5061,0.1133,5061,0.1133,5061,0.1133
111,100,Beaufort County,NC,RE3,3901,0.1239,3901,0.1239,3901,0.1239
111,100,Beaufort County,NC,RE4,979,0.0895,979,0.0895,979,0.0895
111,100,Beaufort County,NC,RE5,63,0.0881,63,0.0881,63,0.0881
111,100,Beaufort County,NC,RE6,24,0.0823,24,0.0823,24,0.0823
111,100,Beaufort County,NC,RE7,5,0.1018,5,0.1018,5,0.1018
111,100,Beaufort County,NC,RE8,253,0.0811,253,0.0811,253,0.0811
111,100,Beaufort County,NC,RE2,275,0.0800,275,0.0800,275,0.0800
111,100,Beaufort County,NC,RE20,3312,0.1375,3312,0.1375,3312,0.1375
111,100,Beaufort County,NC,RE21,2328,0.1198,2328,0.1198,2328,0.1198
111,100,Beaufort County,NC,RE22,983,0.2110,983,0.2110,983,0.2110
111,150,Beaufort County,NC,RE1,7489,0.1677,7489,0.1677,7489,0.1677
111,150,Beaufort County,NC,RE3,5671,0.1801,5671,0.1801,5671,0.1801
111,150,Beaufort County,NC,RE4,1575,0.1440,1575,0.1440,1575,0.1440
111,150,Beaufort County,NC,RE5,99,0.1388,99,0.1388,99,0.1388
111,150,Beaufort County,NC,RE6,41,0.1378,41,0.1378,41,0.1378
111,150,Beaufort County,NC,RE7,7,0.1512,7,0.1512,7,0.1512
111,150,Beaufort County,NC,RE8,368,0.1182,368,0.1182,368,0.1182
111,150,Beaufort County,NC,RE2,407,0.1185,407,0.1185,407,0.1185
111,150,Beaufort County,NC,RE20,4901,0.2035,4901,0.2035,4901,0.2035
111,150,Beaufort County,NC,RE21,3442,0.1771,3442,0.1771,3442,0.1771
111,150,Beaufort County,NC,RE22,1460,0.3133,1460,0.3133,1460,0.3133
111,200,Beaufort County,NC,RE1,10544,0.2361,10544,0.2361,10544,0.2361
111,200,Beaufort County,NC,RE3,7622,0.2420,7622,0.2420,7622,0.2420
111,200,Beaufort County,NC,RE4,2617,0.2392,2617,0.2392,2617,0.2392
111,200,Beaufort County,NC,RE5,143,0.2011,143,0.2011,143,0.2011
111,200,Beaufort County,NC,RE6,62,0.2101,62,0.2101,62,0.2101
111,200,Beaufort County,NC,RE7,13,0.2789,13,0.2789,13,0.2789
111,200,Beaufort County,NC,RE8,495,0.1589,495,0.1589,495,0.1589
111,200,Beaufort County,NC,RE2,558,0.1625,558,0.1625,558,0.1625
111,200,Beaufort County,NC,RE20,6769,0.2810,6769,0.2810,6769,0.2810
111,200,Beaufort County,NC,RE21,4893,0.2518,4893,0.2518,4893,0.2518
111,200,Beaufort County,NC,RE22,1876,0.4026,1876,0.4026,1876,0.4026
111,300,Beaufort County,NC,RE1,16787,0.3759,16787,0.3759,16787,0.3759
111,300,Beaufort County,NC,RE3,11188,0.3553,11188,0.3553,11188,0.3553
111,300,Beaufort County,NC,RE4,5056,0.4622,5056,0.4622,5056,0.4622
111,300,Beaufort County,NC,RE5,224,0.3150,224,0.3150,224,0.3150
111,300,Beaufort County,NC,RE6,105,0.3556,105,0.3556,105,0.3556
111,300,Beaufort County,NC,RE7,20,0.4101,20,0.4101,20,0.4101
111,300,Beaufort County,NC,RE8,858,0.2751,858,0.2751,858,0.2751
111,300,Beaufort County,NC,RE2,968,0.2820,968,0.2820,968,0.2820
