County,State,DBcode,Tot_value
Beaufort County,NC,EM1,19771
Beaufort County,NC,EM2,6933
Beaufort County,NC,EM3,3730
Beaufort County,NC,EM4,4889
Beaufort County,NC,EM5,501
Beaufort County,NC,EM6,3718
Bertie County,NC,EM1,7413
Bertie County,NC,EM2,2472
Bertie County,NC,EM3,464
Bertie County,NC,EM4,1107
Bertie County,NC,EM5,2854
Bertie County,NC,EM6,516
Bladen County,NC,EM1,16470
Bladen County,NC,EM2,3108
Bladen County,NC,EM3,8112
Bladen County,NC,EM4,2749
Bladen County,NC,EM5,1030
Bladen County,NC,EM6,1471
Brunswick County,NC,EM1,46621
Brunswick County,NC,EM2,13682
Brunswick County,NC,EM3,6000
Brunswick County,NC,EM4,18541
Brunswick County,NC,EM5,285
Brunswick County,NC,EM6,8113
Camden County,NC,EM1,1948
Camden County,NC,EM2,892
Camden County,NC,EM3,282
Camden County,NC,EM4,511
Camden County,NC,EM5,57
Camden County,NC,EM6,206
Carteret County,NC,EM1,43312
Carteret County,NC,EM2,9917
Carteret County,NC,EM3,3830
Carteret County,NC,EM4,22354
Carteret County,NC,EM5,187
Carteret County,NC,EM6,7024
Chowan County,NC,EM1,6591
Chowan County,NC,EM2,2867
Chowan County,NC,EM3,837
Chowan County,NC,EM4,1674
Chowan County,NC,EM5,90
Chowan County,NC,EM6,1123
Columbus County,NC,EM1,19448
Columbus County,NC,EM2,6969
Columbus County,NC,EM3,4239
Columbus County,NC,EM4,4696
Columbus County,NC,EM5,350
Columbus County,NC,EM6,3194
Craven County,NC,EM1,49558
Craven County,NC,EM2,18210
Craven County,NC,EM3,6109
Craven County,NC,EM4,15670
Craven County,NC,EM5,295
Craven County,NC,EM6,9274
Currituck County,NC,EM1,9567
Currituck County,NC,EM2,2295
Currituck County,NC,EM3,1395
Currituck County,NC,EM4,4144
Currituck County,NC,EM5,61
Currituck County,NC,EM6,1672
Dare County,NC,EM1,27309
Dare County,NC,EM2,6131
Dare County,NC,EM3,2855
Dare County,NC,EM4,12805
Dare County,NC,EM5,140
Dare County,NC,EM6,5378
Duplin County,NC,EM1,29551
Duplin County,NC,EM2,5401
Duplin County,NC,EM3,11766
Duplin County,NC,EM4,4754
Duplin County,NC,EM5,4836
Duplin County,NC,EM6,2794
Edgecombe County,NC,EM1,18670
Edgecombe County,NC,EM2,6710
Edgecombe County,NC,EM3,2287
Edgecombe County,NC,EM4,4754
Edgecombe County,NC,EM5,551
Edgecombe County,NC,EM6,4368
Gates County,NC,EM1,2101
Gates County,NC,EM2,916
Gates County,NC,EM3,326
Gates County,NC,EM4,407
Gates County,NC,EM5,118
Gates County,NC,EM6,334
Greene County,NC,EM1,5179
Greene County,NC,EM2,2346
Greene County,NC,EM3,834
Greene County,NC,EM4,1082
Greene County,NC,EM5,363
Greene County,NC,EM6,554
Halifax County,NC,EM1,20303
Halifax County,NC,EM2,8022
Halifax County,NC,EM3,2935
Halifax County,NC,EM4,5592
Halifax County,NC,EM5,365
Halifax County,NC,EM6,3389
Hertford County,NC,EM1,10524
Hertford County,NC,EM2,5357
Hertford County,NC,EM3,1096
Hertford County,NC,EM4,2278
Hertford County,NC,EM5,124
Hertford County,NC,EM6,1669
Hyde County,NC,EM1,3046
Hyde County,NC,EM2,1105
Hyde County,NC,EM3,169
Hyde County,NC,EM4,772
Hyde County,NC,EM5,305
Hyde County,NC,EM6,695
Jones County,NC,EM1,2424
Jones County,NC,EM2,1363
Jones County,NC,EM3,277
Jones County,NC,EM4,302
Jones County,NC,EM5,160
Jones County,NC,EM6,322
Lenoir County,NC,EM1,28850
Lenoir County,NC,EM2,10403
Lenoir County,NC,EM3,6943
Lenoir County,NC,EM4,6266
Lenoir County,NC,EM5,590
Lenoir County,NC,EM6,4648
Martin County,NC,EM1,8201
Martin County,NC,EM2,3097
Martin County,NC,EM3,1328
Martin County,NC,EM4,2123
Martin County,NC,EM5,269
Martin County,NC,EM6,1384
New Hanover County,NC,EM1,148157
New Hanover County,NC,EM2,45871
New Hanover County,NC,EM3,24942
New Hanover County,NC,EM4,52020
New Hanover County,NC,EM5,330
New Hanover County,NC,EM6,24994
Northampton County,NC,EM1,5653
Northampton County,NC,EM2,2746
Northampton County,NC,EM3,1016
Northampton County,NC,EM4,927
Northampton County,NC,EM5,224
Northampton County,NC,EM6,740
Onslow County,NC,EM1,62079
Onslow County,NC,EM2,22226
Onslow County,NC,EM3,7298
Onslow County,NC,EM4,20187
Onslow County,NC,EM5,463
Onslow County,NC,EM6,11905
Pamlico County,NC,EM1,5845
Pamlico County,NC,EM2,2404
Pamlico County,NC,EM3,601
Pamlico County,NC,EM4,1655
Pamlico County,NC,EM5,45
Pamlico County,NC,EM6,1140
Pasquotank County,NC,EM1,19019
Pasquotank County,NC,EM2,8334
Pasquotank County,NC,EM3,1788
Pasquotank County,NC,EM4,5021
Pasquotank County,NC,EM5,70
Pasquotank County,NC,EM6,3806
Pender County,NC,EM1,21160
Pender County,NC,EM2,7564
Pender County,NC,EM3,3823
Pender County,NC,EM4,5558
Pender County,NC,EM5,569
Pender County,NC,EM6,3646
Perquimans County,NC,EM1,3069
Perquimans County,NC,EM2,1382
Perquimans County,NC,EM3,326
Perquimans County,NC,EM4,884
Perquimans County,NC,EM5,69
Perquimans County,NC,EM6,408
Pitt County,NC,EM1,93172
Pitt County,NC,EM2,39103
Pitt County,NC,EM3,10781
Pitt County,NC,EM4,27954
Pitt County,NC,EM5,643
Pitt County,NC,EM6,14691
Sampson County,NC,EM1,24504
