GW,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,0,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Beaufort County,NC,EM1,12,0.0006,12,0.0006,12,0.0006
111,25,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Beaufort County,NC,EM3,4,0.0011,4,0.0011,4,0.0011
111,25,Beaufort County,NC,EM4,8,0.0016,8,0.0016,8,0.0016
111,25,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,50,Beaufort County,NC,EM1,128,0.0065,128,0.0065,128,0.0065
111,50,Beaufort County,NC,EM2,41,0.0059,41,0.0059,41,0.0059
111,50,Beaufort County,NC,EM3,42,0.0113,42,0.0113,42,0.0113
111,50,Beaufort County,NC,EM4,37,0.0076,37,0.0076,37,0.0076
111,50,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,50,Beaufort County,NC,EM6,8,0.0022,8,0.0022,8,0.0022
111,100,Beaufort County,NC,EM1,1018,0.0515,1018,0.0515,1018,0.0515
111,100,Beaufort County,NC,EM2,414,0.0597,414,0.0597,414,0.0597
111,100,Beaufort County,NC,EM3,163,0.0437,163,0.0437,163,0.0437
111,100,Beaufort County,NC,EM4,311,0.0636,311,0.0636,311,0.0636
111,100,Beaufort County,NC,EM5,20,0.0399,20,0.0399,20,0.0399
111,100,Beaufort County,NC,EM6,110,0.0296,110,0.0296,110,0.0296
111,150,Beaufort County,NC,EM1,1801,0.0911,1801,0.0911,1801,0.0911
111,150,Beaufort County,NC,EM2,648,0.0935,648,0.0935,648,0.0935
111,150,Beaufort County,NC,EM3,232,0.0622,232,0.0622,232,0.0622
111,150,Beaufort County,NC,EM4,577,0.1180,577,0.1180,577,0.1180
111,150,Beaufort County,NC,EM5,58,0.1158,58,0.1158,58,0.1158
111,150,Beaufort County,NC,EM6,286,0.0769,286,0.0769,286,0.0769
111,200,Beaufort County,NC,EM1,3894,0.1970,3894,0.1970,3894,0.1970
111,200,Beaufort County,NC,EM2,1368,0.1973,1368,0.1973,1368,0.1973
111,200,Beaufort County,NC,EM3,490,0.1314,490,0.1314,490,0.1314
111,200,Beaufort County,NC,EM4,1347,0.2755,1347,0.2755,1347,0.2755
111,200,Beaufort County,NC,EM5,102,0.2036,102,0.2036,102,0.2036
111,200,Beaufort County,NC,EM6,587,0.1579,587,0.1579,587,0.1579
111,300,Beaufort County,NC,EM1,7884,0.3988,7884,0.3988,7884,0.3988
111,300,Beaufort County,NC,EM2,2593,0.3740,2593,0.3740,2593,0.3740
111,300,Beaufort County,NC,EM3,1217,0.3263,1217,0.3263,1217,0.3263
111,300,Beaufort County,NC,EM4,2587,0.5291,2587,0.5291,2587,0.5291
111,300,Beaufort County,NC,EM5,268,0.5349,268,0.5349,268,0.5349
111,300,Beaufort County,NC,EM6,1219,0.3279,1219,0.3279,1219,0.3279
000,0,Beaufort County,NC,EM1,3,0.0002,0,0.0000,10,0.0005
000,0,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,0,Beaufort County,NC,EM3,0,0.0000,0,0.0000,3,0.0008
000,0,Beaufort County,NC,EM4,3,0.0006,0,0.0000,7,0.0014
000,0,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,25,Beaufort County,NC,EM1,3,0.0002,0,0.0000,10,0.0005
000,25,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,25,Beaufort County,NC,EM3,0,0.0000,0,0.0000,3,0.0008
000,25,Beaufort County,NC,EM4,3,0.0006,0,0.0000,7,0.0014
000,25,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,25,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,50,Beaufort County,NC,EM1,3,0.0002,0,0.0000,10,0.0005
000,50,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,50,Beaufort County,NC,EM3,0,0.0000,0,0.0000,3,0.0008
000,50,Beaufort County,NC,EM4,3,0.0006,0,0.0000,7,0.0014
000,50,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,50,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,100,Beaufort County,NC,EM1,3,0.0002,0,0.0000,10,0.0005
000,100,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,100,Beaufort County,NC,EM3,0,0.0000,0,0.0000,3,0.0008
