County,State,DBcode,Tot_value
Beaufort County,NC,CR2,8
Beaufort County,NC,CR3,17
Beaufort County,NC,CR4,20
Beaufort County,NC,CR5,1
Beaufort County,NC,WW2,77
Beaufort County,NC,WW3,3
Beaufort County,NC,WW4,1
Bertie County,NC,CR2,3
Bertie County,NC,CR3,8
Bertie County,NC,CR4,12
Bertie County,NC,CR5,1
Bertie County,NC,WW2,25
Bertie County,NC,WW3,3
Bertie County,NC,WW4,1
Bladen County,NC,CR2,6
Bladen County,NC,CR3,11
Bladen County,NC,CR4,11
Bladen County,NC,CR5,1
Bladen County,NC,WW2,221
Bladen County,NC,WW3,2
Bladen County,NC,WW4,1
Brunswick County,NC,CR2,14
Brunswick County,NC,CR3,33
Brunswick County,NC,CR4,34
Brunswick County,NC,CR5,3
Brunswick County,NC,WW2,55
Brunswick County,NC,WW3,3
Brunswick County,NC,WW4,3
Camden County,NC,CR2,2
Camden County,NC,CR3,2
Camden County,NC,CR4,5
Camden County,NC,CR5,0
Camden County,NC,WW2,14
Camden County,NC,WW3,0
Camden County,NC,WW4,0
Carteret County,NC,CR2,11
Carteret County,NC,CR3,26
Carteret County,NC,CR4,25
Carteret County,NC,CR5,1
Carteret County,NC,WW2,218
Carteret County,NC,WW3,3
Carteret County,NC,WW4,1
Chowan County,NC,CR2,4
Chowan County,NC,CR3,2
Chowan County,NC,CR4,5
Chowan County,NC,CR5,1
Chowan County,NC,WW2,15
Chowan County,NC,WW3,0
Chowan County,NC,WW4,1
Columbus County,NC,CR2,3
Columbus County,NC,CR3,19
Columbus County,NC,CR4,22
Columbus County,NC,CR5,0
Columbus County,NC,WW2,81
Columbus County,NC,WW3,5
Columbus County,NC,WW4,2
Craven County,NC,CR2,8
Craven County,NC,CR3,37
Craven County,NC,CR4,35
Craven County,NC,CR5,1
Craven County,NC,WW2,76
Craven County,NC,WW3,5
Craven County,NC,WW4,3
Currituck County,NC,CR2,1
Currituck County,NC,CR3,14
Currituck County,NC,CR4,12
Currituck County,NC,CR5,0
Currituck County,NC,WW2,49
Currituck County,NC,WW3,0
Currituck County,NC,WW4,3
Dare County,NC,CR2,10
Dare County,NC,CR3,19
Dare County,NC,CR4,14
Dare County,NC,CR5,1
Dare County,NC,WW2,46
Dare County,NC,WW3,1
Dare County,NC,WW4,2
Duplin County,NC,CR2,4
Duplin County,NC,CR3,15
Duplin County,NC,CR4,16
Duplin County,NC,CR5,0
Duplin County,NC,WW2,68
Duplin County,NC,WW3,3
Duplin County,NC,WW4,2
Edgecombe County,NC,CR2,4
Edgecombe County,NC,CR3,9
Edgecombe County,NC,CR4,15
Edgecombe County,NC,CR5,1
Edgecombe County,NC,WW2,65
Edgecombe County,NC,WW3,4
Edgecombe County,NC,WW4,2
Gates County,NC,CR2,1
Gates County,NC,CR3,5
Gates County,NC,CR4,5
Gates County,NC,CR5,0
Gates County,NC,WW2,2
Gates County,NC,WW3,0
Gates County,NC,WW4,0
Greene County,NC,CR2,2
Greene County,NC,CR3,10
Greene County,NC,CR4,8
Greene County,NC,CR5,0
Greene County,NC,WW2,22
Greene County,NC,WW3,3
Greene County,NC,WW4,1
Halifax County,NC,CR2,2
Halifax County,NC,CR3,9
Halifax County,NC,CR4,11
Halifax County,NC,CR5,1
Halifax County,NC,WW2,99
Halifax County,NC,WW3,5
Halifax County,NC,WW4,2
Hertford County,NC,CR2,5
Hertford County,NC,CR3,9
Hertford County,NC,CR4,12
Hertford County,NC,CR5,1
Hertford County,NC,WW2,22
Hertford County,NC,WW3,1
Hertford County,NC,WW4,1
Hyde County,NC,CR2,2
Hyde County,NC,CR3,5
Hyde County,NC,CR4,4
Hyde County,NC,CR5,0
Hyde County,NC,WW2,18
Hyde County,NC,WW3,0
Hyde County,NC,WW4,0
Jones County,NC,CR2,3
Jones County,NC,CR3,7
Jones County,NC,CR4,6
Jones County,NC,CR5,0
Jones County,NC,WW2,16
Jones County,NC,WW3,2
Jones County,NC,WW4,0
Lenoir County,NC,CR2,9
Lenoir County,NC,CR3,13
Lenoir County,NC,CR4,25
Lenoir County,NC,CR5,1
Lenoir County,NC,WW2,207
Lenoir County,NC,WW3,2
Lenoir County,NC,WW4,3
Martin County,NC,CR2,3
Martin County,NC,CR3,6
Martin County,NC,CR4,12
Martin County,NC,CR5,1
Martin County,NC,WW2,26
Martin County,NC,WW3,4
Martin County,NC,WW4,1
New Hanover County,NC,CR2,13
New Hanover County,NC,CR3,21
New Hanover County,NC,CR4,71
New Hanover County,NC,CR5,4
New Hanover County,NC,WW2,201
New Hanover County,NC,WW3,6
New Hanover County,NC,WW4,2
Northampton County,NC,CR2,1
Northampton County,NC,CR3,2
Northampton County,NC,CR4,6
Northampton County,NC,CR5,0
Northampton County,NC,WW2,69
Northampton County,NC,WW3,0
Northampton County,NC,WW4,0
Onslow County,NC,CR2,9
Onslow County,NC,CR3,37
Onslow County,NC,CR4,60
Onslow County,NC,CR5,3
Onslow County,NC,WW2,101
Onslow County,NC,WW3,3
Onslow County,NC,WW4,3
Pamlico County,NC,CR2,2
Pamlico County,NC,CR3,9
Pamlico County,NC,CR4,7
Pamlico County,NC,CR5,0
Pamlico County,NC,WW2,30
Pamlico County,NC,WW3,0
Pamlico County,NC,WW4,1
Pasquotank County,NC,CR2,6
Pasquotank County,NC,CR3,7
Pasquotank County,NC,CR4,20
Pasquotank County,NC,CR5,1
Pasquotank County,NC,WW2,45
Pasquotank County,NC,WW3,1
Pasquotank County,NC,WW4,2
Pender County,NC,CR2,5
Pender County,NC,CR3,13
Pender County,NC,CR4,20
Pender County,NC,CR5,1
Pender County,NC,WW2,133
Pender County,NC,WW3,0
Pender County,NC,WW4,1
Perquimans County,NC,CR2,3
Perquimans County,NC,CR3,6
Perquimans County,NC,CR4,5
Perquimans County,NC,CR5,0
Perquimans County,NC,WW2,36
Perquimans County,NC,WW3,1
Perquimans County,NC,WW4,1
Pitt County,NC,CR2,11
Pitt County,NC,CR3,25
Pitt County,NC,CR4,51
Pitt County,NC,CR5,1
Pitt County,NC,WW2,155
Pitt County,NC,WW3,3
Pitt County,NC,WW4,4
Sampson County,NC,CR2,0
Sampson County,NC,CR3,5
Sampson County,NC,CR4,15
Sampson County,NC,CR5,0
Sampson County,NC,WW2,36
Sampson County,NC,WW3,3
Sampson County,NC,WW4,1
Tyrrell County,NC,CR2,1
Tyrrell County,NC,CR3,6
Tyrrell County,NC,CR4,3
Tyrrell County,NC,CR5,0
Tyrrell County,NC,WW2,25
Tyrrell County,NC,WW3,1
Tyrrell County,NC,WW4,0
Washington County,NC,CR2,4
Washington County,NC,CR3,5
Washington County,NC,CR4,6
Washington County,NC,CR5,1
Washington County,NC,WW2,28
Washington County,NC,WW3,3
Washington County,NC,WW4,1
Wayne County,NC,CR2,5
Wayne County,NC,CR3,30
Wayne County,NC,CR4,41
Wayne County,NC,CR5,2
Wayne County,NC,WW2,134
Wayne County,NC,WW3,2
Wayne County,NC,WW4,2
