GW,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,0,Beaufort County,NC,CR2,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,CR3,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,CR4,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,CR5,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,WW2,0,0.0000,0,0.0000,0,0.0000
111,0,Beaufort County,NC,WW3,1,0.3333,1,0.3333,1,0.3333
111,0,Beaufort County,NC,WW4,0,0.0000,0,0.0000,0,0.0000
111,25,Beaufort County,NC,CR2,0,0.0000,0,0.0000,0,0.0000
111,25,Beaufort County,NC,CR3,0,0.0000,0,0.0000,0,0.0000
111,25,Beaufort County,NC,CR4,0,0.0000,0,0.0000,0,0.0000
111,25,Beaufort County,NC,CR5,0,0.0000,0,0.0000,0,0.0000
111,25,Beaufort County,NC,WW2,0,0.0000,0,0.0000,0,0.0000
111,25,Beaufort County,NC,WW3,1,0.3333,1,0.3333,1,0.3333
111,25,Beaufort County,NC,WW4,0,0.0000,0,0.0000,0,0.0000
111,50,Beaufort County,NC,CR2,0,0.0000,0,0.0000,0,0.0000
111,50,Beaufort County,NC,CR3,0,0.0000,0,0.0000,0,0.0000
111,50,Beaufort County,NC,CR4,0,0.0000,0,0.0000,0,0.0000
111,50,Beaufort County,NC,CR5,0,0.0000,0,0.0000,0,0.0000
111,50,Beaufort County,NC,WW2,0,0.0000,0,0.0000,0,0.0000
111,50,Beaufort County,NC,WW3,1,0.3333,1,0.3333,1,0.3333
111,50,Beaufort County,NC,WW4,0,0.0000,0,0.0000,0,0.0000
111,100,Beaufort County,NC,CR2,1,0.1250,1,0.1250,1,0.1250
111,100,Beaufort County,NC,CR3,2,0.1176,2,0.1176,2,0.1176
111,100,Beaufort County,NC,CR4,1,0.0500,1,0.0500,1,0.0500
111,100,Beaufort County,NC,CR5,0,0.0000,0,0.0000,0,0.0000
111,100,Beaufort County,NC,WW2,8,0.1039,8,0.1039,8,0.1039
111,100,Beaufort County,NC,WW3,2,0.6667,2,0.6667,2,0.6667
111,100,Beaufort County,NC,WW4,0,0.0000,0,0.0000,0,0.0000
111,150,Beaufort County,NC,CR2,1,0.1250,1,0.1250,1,0.1250
111,150,Beaufort County,NC,CR3,3,0.1765,3,0.1765,3,0.1765
