GW,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,0,Beaufort County,NC,LC2,0,0.0048,0,0.0048,0,0.0048
111,0,Beaufort County,NC,LC3,0,0.0001,0,0.0001,0,0.0001
111,0,Beaufort County,NC,LC4,0,0.0003,0,0.0003,0,0.0003
111,0,Beaufort County,NC,LC5,0,0.0005,0,0.0005,0,0.0005
111,0,Beaufort County,NC,LC6,2,0.0070,2,0.0070,2,0.0070
111,0,Beaufort County,NC,LC7,0,0.0008,0,0.0008,0,0.0008
111,25,Beaufort County,NC,LC2,0,0.0148,0,0.0148,0,0.0148
111,25,Beaufort County,NC,LC3,0,0.0005,0,0.0005,0,0.0005
111,25,Beaufort County,NC,LC4,0,0.0017,0,0.0017,0,0.0017
111,25,Beaufort County,NC,LC5,0,0.0016,0,0.0016,0,0.0016
111,25,Beaufort County,NC,LC6,14,0.0602,14,0.0602,14,0.0602
111,25,Beaufort County,NC,LC7,0,0.0039,0,0.0039,0,0.0039
111,50,Beaufort County,NC,LC2,1,0.0360,1,0.0360,1,0.0360
111,50,Beaufort County,NC,LC3,1,0.0047,1,0.0047,1,0.0047
111,50,Beaufort County,NC,LC4,4,0.0173,4,0.0173,4,0.0173
111,50,Beaufort County,NC,LC5,1,0.0070,1,0.0070,1,0.0070
111,50,Beaufort County,NC,LC6,35,0.1531,35,0.1531,35,0.1531
111,50,Beaufort County,NC,LC7,1,0.0177,1,0.0177,1,0.0177
111,100,Beaufort County,NC,LC2,2,0.1168,2,0.1168,2,0.1168
111,100,Beaufort County,NC,LC3,9,0.0385,9,0.0385,9,0.0385
111,100,Beaufort County,NC,LC4,17,0.0723,17,0.0723,17,0.0723
111,100,Beaufort County,NC,LC5,2,0.0311,2,0.0311,2,0.0311
111,100,Beaufort County,NC,LC6,52,0.2261,52,0.2261,52,0.2261
111,100,Beaufort County,NC,LC7,3,0.0751,3,0.0751,3,0.0751
111,150,Beaufort County,NC,LC2,3,0.1743,3,0.1743,3,0.1743
111,150,Beaufort County,NC,LC3,18,0.0814,18,0.0814,18,0.0814
111,150,Beaufort County,NC,LC4,29,0.1219,29,0.1219,29,0.1219
111,150,Beaufort County,NC,LC5,5,0.0627,5,0.0627,5,0.0627
111,150,Beaufort County,NC,LC6,64,0.2760,64,0.2760,64,0.2760
111,150,Beaufort County,NC,LC7,5,0.1258,5,0.1258,5,0.1258
111,200,Beaufort County,NC,LC2,4,0.2390,4,0.2390,4,0.2390
111,200,Beaufort County,NC,LC3,36,0.1602,36,0.1602,36,0.1602
111,200,Beaufort County,NC,LC4,38,0.1610,38,0.1610,38,0.1610
111,200,Beaufort County,NC,LC5,7,0.0982,7,0.0982,7,0.0982
111,200,Beaufort County,NC,LC6,76,0.3289,76,0.3289,76,0.3289
111,200,Beaufort County,NC,LC7,7,0.1685,7,0.1685,7,0.1685
111,300,Beaufort County,NC,LC2,7,0.3805,7,0.3805,7,0.3805
111,300,Beaufort County,NC,LC3,71,0.3144,71,0.3144,71,0.3144
111,300,Beaufort County,NC,LC4,51,0.2196,51,0.2196,51,0.2196
111,300,Beaufort County,NC,LC5,12,0.1640,12,0.1640,12,0.1640
111,300,Beaufort County,NC,LC6,106,0.4584,106,0.4584,106,0.4584
111,300,Beaufort County,NC,LC7,11,0.2672,11,0.2672,11,0.2672
000,0,Beaufort County,NC,LC2,0,0.0011,0,0.0008,0,0.0022
000,0,Beaufort County,NC,LC3,2,0.0084,0,0.0001,4,0.0193
000,0,Beaufort County,NC,LC4,0,0.0000,0,0.0000,0,0.0006
000,0,Beaufort County,NC,LC5,0,0.0005,0,0.0004,0,0.0010
000,0,Beaufort County,NC,LC6,1,0.0036,0,0.0021,2,0.0073
000,0,Beaufort County,NC,LC7,0,0.0023,0,0.0020,0,0.0034
000,25,Beaufort County,NC,LC2,0,0.0011,0,0.0008,0,0.0023
000,25,Beaufort County,NC,LC3,2,0.0084,0,0.0001,4,0.0193
000,25,Beaufort County,NC,LC4,0,0.0000,0,0.0000,0,0.0006
000,25,Beaufort County,NC,LC5,0,0.0006,0,0.0004,0,0.0010
