County,State,DBcode,Tot_value
Beaufort County,NC,PV1,4755131858
Beaufort County,NC,PV3,2555940822
Beaufort County,NC,PV2,2208677307
Bertie County,NC,PV1,1243550272
Bertie County,NC,PV3,676003734
Bertie County,NC,PV2,569291538
Bladen County,NC,PV1,1883672250
Bladen County,NC,PV3,1257769580
Bladen County,NC,PV2,626273690
Brunswick County,NC,PV1,26563593574
Brunswick County,NC,PV3,16384304886
Brunswick County,NC,PV2,10183611098
Camden County,NC,PV1,1205322538
Camden County,NC,PV3,648314714
Camden County,NC,PV2,557567778
Carteret County,NC,PV1,17982961534
Carteret County,NC,PV3,8554578172
Carteret County,NC,PV2,9428524451
Chowan County,NC,PV1,1361497227
Chowan County,NC,PV3,923383257
Chowan County,NC,PV2,440113140
Columbus County,NC,PV1,2212831300
Columbus County,NC,PV3,1394784100
Columbus County,NC,PV2,821948100
Craven County,NC,PV1,9295538191
Craven County,NC,PV3,6497289790
Craven County,NC,PV2,2802333171
Currituck County,NC,PV1,6641147500
Currituck County,NC,PV3,3423636500
Currituck County,NC,PV2,3221177200
Dare County,NC,PV1,18651466733
Dare County,NC,PV3,9475651360
Dare County,NC,PV2,9177343100
Duplin County,NC,PV1,2730605273
Duplin County,NC,PV3,1758689613
Duplin County,NC,PV2,973440460
Edgecombe County,NC,PV1,0
Edgecombe County,NC,PV3,0
Edgecombe County,NC,PV2,0
Gates County,NC,PV1,1015998766
Gates County,NC,PV3,680270518
Gates County,NC,PV2,336369454
Greene County,NC,PV1,1279174303
Greene County,NC,PV3,775650594
Greene County,NC,PV2,506774129
Halifax County,NC,PV1,1852132070
Halifax County,NC,PV3,1110075260
Halifax County,NC,PV2,742588610
Hertford County,NC,PV1,1399324041
Hertford County,NC,PV3,0
Hertford County,NC,PV2,0
Hyde County,NC,PV1,968795599
Hyde County,NC,PV3,325944471
Hyde County,NC,PV2,648690476
Jones County,NC,PV1,646427969
Jones County,NC,PV3,412686951
Jones County,NC,PV2,234935131
Lenoir County,NC,PV1,3293291509
Lenoir County,NC,PV3,2506618657
Lenoir County,NC,PV2,791690725
Martin County,NC,PV1,1630343994
Martin County,NC,PV3,965135801
Martin County,NC,PV2,662718960
New Hanover County,NC,PV1,33363987619
New Hanover County,NC,PV3,22113831184
New Hanover County,NC,PV2,11240461135
Northampton County,NC,PV1,1462209701
Northampton County,NC,PV3,770345120
Northampton County,NC,PV2,560140963
Onslow County,NC,PV1,13910082186
Onslow County,NC,PV3,8973682716
Onslow County,NC,PV2,4943486460
Pamlico County,NC,PV1,1645313052
Pamlico County,NC,PV3,977253723
Pamlico County,NC,PV2,669293042
Pasquotank County,NC,PV1,3178184530
Pasquotank County,NC,PV3,0
Pasquotank County,NC,PV2,0
Pender County,NC,PV1,8201950285
Pender County,NC,PV3,4161854441
Pender County,NC,PV2,4040342891
Perquimans County,NC,PV1,1431008091
Perquimans County,NC,PV3,721220591
Perquimans County,NC,PV2,710415800
Pitt County,NC,PV1,13919722742
Pitt County,NC,PV3,10857057231
Pitt County,NC,PV2,3071064612
Sampson County,NC,PV1,2676542951
Sampson County,NC,PV3,1445311711
Sampson County,NC,PV2,604457340
Tyrrell County,NC,PV1,590548160
Tyrrell County,NC,PV3,221361620
Tyrrell County,NC,PV2,370208986
Washington County,NC,PV1,905267830
Washington County,NC,PV3,436807700
Washington County,NC,PV2,471739710
Wayne County,NC,PV1,6793265890
Wayne County,NC,PV3,4761148379
Wayne County,NC,PV2,1548838850
