GW,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,0,Beaufort County,NC,PV1,46832141,0.0098,46832141,0.0098,46832141,0.0098
111,0,Beaufort County,NC,PV3,19729964,0.0077,19729964,0.0077,19729964,0.0077
111,0,Beaufort County,NC,PV2,27114846,0.0123,27114846,0.0123,27114846,0.0123
111,25,Beaufort County,NC,PV1,163485414,0.0344,163485414,0.0344,163485414,0.0344
111,25,Beaufort County,NC,PV3,67218741,0.0263,67218741,0.0263,67218741,0.0263
111,25,Beaufort County,NC,PV2,96348871,0.0436,96348871,0.0436,96348871,0.0436
111,50,Beaufort County,NC,PV1,369610095,0.0777,369610096,0.0777,369610098,0.0777
111,50,Beaufort County,NC,PV3,148292788,0.0580,148292789,0.0580,148292790,0.0580
111,50,Beaufort County,NC,PV2,221506951,0.1003,221506952,0.1003,221506952,0.1003
111,100,Beaufort County,NC,PV1,867692480,0.1825,867692479,0.1825,867692481,0.1825
111,100,Beaufort County,NC,PV3,371202691,0.1452,371202691,0.1452,371202691,0.1452
111,100,Beaufort County,NC,PV2,497098214,0.2251,497098214,0.2251,497098216,0.2251
111,150,Beaufort County,NC,PV1,1218077160,0.2562,1218077159,0.2562,1218077161,0.2562
111,150,Beaufort County,NC,PV3,539914875,0.2112,539914874,0.2112,539914875,0.2112
111,150,Beaufort County,NC,PV2,679044241,0.3074,679044241,0.3074,679044242,0.3074
111,200,Beaufort County,NC,PV1,1617474999,0.3402,1617475000,0.3402,1617474997,0.3402
111,200,Beaufort County,NC,PV3,763065478,0.2985,763065478,0.2985,763065478,0.2985
111,200,Beaufort County,NC,PV2,855733682,0.3874,855733682,0.3874,855733680,0.3874
111,300,Beaufort County,NC,PV1,2265765796,0.4765,2265765794,0.4765,2265765793,0.4765
111,300,Beaufort County,NC,PV3,1126732220,0.4408,1126732218,0.4408,1126732218,0.4408
111,300,Beaufort County,NC,PV2,1141411441,0.5168,1141411440,0.5168,1141411439,0.5168
000,0,Beaufort County,NC,PV1,6818993,0.0014,1364462,0.0003,18503565,0.0039
000,0,Beaufort County,NC,PV3,895106,0.0004,22082,0.0000,5184755,0.0020
000,0,Beaufort County,NC,PV2,5925844,0.0027,1343722,0.0006,13326370,0.0060
000,25,Beaufort County,NC,PV1,6839189,0.0014,1392054,0.0003,18403895,0.0039
000,25,Beaufort County,NC,PV3,890185,0.0003,13411,0.0000,5151073,0.0020
000,25,Beaufort County,NC,PV2,5950961,0.0027,1379986,0.0006,13260381,0.0060
000,50,Beaufort County,NC,PV1,6989304,0.0015,1588373,0.0003,18364860,0.0039
000,50,Beaufort County,NC,PV3,913842,0.0004,42747,0.0000,5152727,0.0020
000,50,Beaufort County,NC,PV2,6077472,0.0028,1547269,0.0007,13219689,0.0060
000,100,Beaufort County,NC,PV1,6922292,0.0015,1593206,0.0003,17851807,0.0038
000,100,Beaufort County,NC,PV3,917137,0.0004,62007,0.0000,5133091,0.0020
000,100,Beaufort County,NC,PV2,6005379,0.0027,1531251,0.0007,12722720,0.0058
000,150,Beaufort County,NC,PV1,6762246,0.0014,672862,0.0001,16637891,0.0035
000,150,Beaufort County,NC,PV3,1344973,0.0005,15659,0.0000,5105092,0.0020
000,150,Beaufort County,NC,PV2,5418083,0.0025,657814,0.0003,11535393,0.0052
000,200,Beaufort County,NC,PV1,8247486,0.0017,2070988,0.0004,16289077,0.0034
000,200,Beaufort County,NC,PV3,2061811,0.0008,874955,0.0003,5047765,0.0020
000,200,Beaufort County,NC,PV2,6186394,0.0028,1196656,0.0005,11243525,0.0051
000,300,Beaufort County,NC,PV1,7177593,0.0015,2750717,0.0006,11269425,0.0024
000,300,Beaufort County,NC,PV3,1238696,0.0005,579882,0.0002,2298111,0.0009
000,300,Beaufort County,NC,PV2,5939488,0.0027,2171410,0.0010,8972758,0.0041
001,0,Beaufort County,NC,PV1,1358785074,0.2858,769836326,0.1619,2329162791,0.4898
001,0,Beaufort County,NC,PV3,627794858,0.2456,328281329,0.1284,1124593562,0.4400
001,0,Beaufort County,NC,PV2,732420478,0.3316,442271666,0.2002,1208955533,0.5474
001,25,Beaufort County,NC,PV1,1390924034,0.2925,857483560,0.1803,2299602315,0.4836
001,25,Beaufort County,NC,PV3,648208036,0.2536,375382507,0.1469,1117523506,0.4372
001,25,Beaufort County,NC,PV2,744192994,0.3369,482883999,0.2186,1186470444,0.5372
001,50,Beaufort County,NC,PV1,1327500640,0.2792,850322872,0.1788,2209685315,0.4647
001,50,Beaufort County,NC,PV3,638152767,0.2497,394563085,0.1544,1093950445,0.4280
001,50,Beaufort County,NC,PV2,690767184,0.3128,456528360,0.2067,1120058522,0.5071
001,100,Beaufort County,NC,PV1,1116879533,0.2349,700554644,0.1473,1895974276,0.3987
001,100,Beaufort County,NC,PV3,555029183,0.2172,349582830,0.1368,965692880,0.3778
001,100,Beaufort County,NC,PV2,563344119,0.2551,351688229,0.1592,934278263,0.4230
001,150,Beaufort County,NC,PV1,1051565383,0.2211,725778901,0.1526,1726191144,0.3630
001,150,Beaufort County,NC,PV3,541712773,0.2119,386720515,0.1513,895380045,0.3503
001,150,Beaufort County,NC,PV2,511447561,0.2316,340143005,0.1540,834725162,0.3779
001,200,Beaufort County,NC,PV1,935710183,0.1968,694326420,0.1460,1485133168,0.3123
001,200,Beaufort County,NC,PV3,490489261,0.1919,378904879,0.1482,765254887,0.2994
001,200,Beaufort County,NC,PV2,446953396,0.2024,316463308,0.1433,723644096,0.3276
001,300,Beaufort County,NC,PV1,655763665,0.1379,548503858,0.1153,1053794470,0.2216
001,300,Beaufort County,NC,PV3,334985901,0.1311,293060071,0.1147,521876133,0.2042
001,300,Beaufort County,NC,PV2,321822998,0.1457,256285336,0.1160,534681845,0.2421
102,0,Beaufort County,NC,PV1,989198954,0.2080,1057694185,0.2224,941727080,0.1980
102,0,Beaufort County,NC,PV3,511236946,0.2000,539579320,0.2111,526319318,0.2059
102,0,Beaufort County,NC,PV2,479525593,0.2171,519168779,0.2351,417122017,0.1889
102,25,Beaufort County,NC,PV1,953877186,0.2006,975804607,0.2052,876916540,0.1844
102,25,Beaufort County,NC,PV3,506215560,0.1981,510453791,0.1997,496790335,0.1944
102,25,Beaufort County,NC,PV2,449184806,0.2034,466436152,0.2112,381780131,0.1729
102,50,Beaufort County,NC,PV1,864804898,0.1819,952357485,0.2003,793734017,0.1669
102,50,Beaufort County,NC,PV3,457371382,0.1789,514414090,0.2013,453545887,0.1774
102,50,Beaufort County,NC,PV2,409012626,0.1852,439115612,0.1988,341801543,0.1548
102,100,Beaufort County,NC,PV1,766615800,0.1612,836622814,0.1759,690183500,0.1451
102,100,Beaufort County,NC,PV3,429171171,0.1679,455902209,0.1784,401889628,0.1572
102,100,Beaufort County,NC,PV2,338667599,0.1533,381911287,0.1729,289830093,0.1312
102,150,Beaufort County,NC,PV1,643169332,0.1353,707444078,0.1488,605624014,0.1274
102,150,Beaufort County,NC,PV3,369222454,0.1445,392813906,0.1537,355494657,0.1391
102,150,Beaufort County,NC,PV2,275044999,0.1245,315607752,0.1429,251561172,0.1139
102,200,Beaufort County,NC,PV1,499305317,0.1050,558367386,0.1174,544834830,0.1146
102,200,Beaufort County,NC,PV3,275667271,0.1079,299883666,0.1173,314064151,0.1229
102,200,Beaufort County,NC,PV2,224427338,0.1016,259431986,0.1175,232163409,0.1051
102,300,Beaufort County,NC,PV1,262708388,0.0552,261577599,0.0550,416426671,0.0876
102,300,Beaufort County,NC,PV3,139845326,0.0547,136229907,0.0533,247110100,0.0967
102,300,Beaufort County,NC,PV2,123560282,0.0559,125907914,0.0570,170674984,0.0773
205,0,Beaufort County,NC,PV1,1350865863,0.2841,1306580536,0.2748,1076460496,0.2264
205,0,Beaufort County,NC,PV3,754970079,0.2954,730244372,0.2857,669973753,0.2621
205,0,Beaufort County,NC,PV2,599371174,0.2714,578699485,0.2620,409022326,0.1852
205,25,Beaufort County,NC,PV1,1251025100,0.2631,1195472540,0.2514,1060219289,0.2230
205,25,Beaufort County,NC,PV3,702012188,0.2747,671395141,0.2627,661608145,0.2589
205,25,Beaufort County,NC,PV2,552419000,0.2501,526293033,0.2383,401134184,0.1816
