GW,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,0,Beaufort County,NC,RL1,1,0.0069,1,0.0069,1,0.0069
111,25,Beaufort County,NC,RL1,1,0.0122,1,0.0122,1,0.0122
111,50,Beaufort County,NC,RL1,4,0.0318,4,0.0318,4,0.0318
111,100,Beaufort County,NC,RL1,9,0.0735,9,0.0735,9,0.0735
111,150,Beaufort County,NC,RL1,10,0.0893,10,0.0893,10,0.0893
111,200,Beaufort County,NC,RL1,12,0.0996,12,0.0996,12,0.0996
111,300,Beaufort County,NC,RL1,19,0.1631,19,0.1631,19,0.1631
000,0,Beaufort County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,25,Beaufort County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,50,Beaufort County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,100,Beaufort County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,150,Beaufort County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,200,Beaufort County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,300,Beaufort County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,0,Beaufort County,NC,RL1,17,0.1474,7,0.0618,47,0.3965
001,25,Beaufort County,NC,RL1,17,0.1487,9,0.0726,46,0.3945
001,50,Beaufort County,NC,RL1,16,0.1341,7,0.0612,44,0.3789
001,100,Beaufort County,NC,RL1,12,0.1027,4,0.0320,41,0.3514
001,150,Beaufort County,NC,RL1,13,0.1107,5,0.0442,43,0.3644
001,200,Beaufort County,NC,RL1,18,0.1546,9,0.0808,44,0.3761
001,300,Beaufort County,NC,RL1,22,0.1875,18,0.1521,41,0.3517
102,0,Beaufort County,NC,RL1,15,0.1258,12,0.1002,28,0.2370
102,25,Beaufort County,NC,RL1,14,0.1200,10,0.0886,28,0.2387
102,50,Beaufort County,NC,RL1,14,0.1209,10,0.0894,28,0.2368
102,100,Beaufort County,NC,RL1,19,0.1591,14,0.1202,27,0.2337
102,150,Beaufort County,NC,RL1,20,0.1667,18,0.1569,25,0.2157
102,200,Beaufort County,NC,RL1,16,0.1393,17,0.1483,25,0.2089
102,300,Beaufort County,NC,RL1,13,0.1137,12,0.1017,26,0.2245
205,0,Beaufort County,NC,RL1,52,0.4445,36,0.3052,40,0.3400
205,25,Beaufort County,NC,RL1,53,0.4555,33,0.2836,40,0.3375
205,50,Beaufort County,NC,RL1,54,0.4628,36,0.3081,39,0.3361
205,100,Beaufort County,NC,RL1,51,0.4329,35,0.2965,38,0.3274
205,150,Beaufort County,NC,RL1,53,0.4535,28,0.2413,37,0.3188
205,200,Beaufort County,NC,RL1,44,0.3743,25,0.2151,36,0.3069
205,300,Beaufort County,NC,RL1,38,0.3280,19,0.1589,30,0.2544
111,0,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,25,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,50,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,100,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,150,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,200,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,300,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,0,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,25,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,50,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,100,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,150,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,200,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,300,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,0,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,25,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,50,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,100,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,150,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,200,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,300,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
102,0,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
102,25,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
102,50,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
102,100,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
102,150,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
102,200,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
102,300,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
205,0,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
205,25,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
205,50,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
205,100,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
205,150,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
205,200,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
205,300,Bertie County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,0,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,25,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,50,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,100,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,150,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,200,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
111,300,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,0,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,25,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,50,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,100,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,150,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,200,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,300,Bladen County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,0,Bladen County,NC,RL1,11,0.2971,0,0.0000,12,0.3069
001,25,Bladen County,NC,RL1,11,0.2971,0,0.0000,12,0.3069
001,50,Bladen County,NC,RL1,11,0.2971,0,0.0000,12,0.3069
001,100,Bladen County,NC,RL1,11,0.2971,0,0.0000,12,0.3069
001,150,Bladen County,NC,RL1,11,0.2971,0,0.0000,12,0.3069
001,200,Bladen County,NC,RL1,11,0.2971,0,0.0000,12,0.3069
001,300,Bladen County,NC,RL1,11,0.2971,0,0.0000,12,0.3069
102,0,Bladen County,NC,RL1,0,0.0090,0,0.0000,0,0.0067
102,25,Bladen County,NC,RL1,0,0.0090,0,0.0000,0,0.0067
102,50,Bladen County,NC,RL1,0,0.0090,0,0.0000,0,0.0067
102,100,Bladen County,NC,RL1,0,0.0090,0,0.0000,0,0.0067
102,150,Bladen County,NC,RL1,0,0.0090,0,0.0000,0,0.0067
102,200,Bladen County,NC,RL1,0,0.0090,0,0.0000,0,0.0067
102,300,Bladen County,NC,RL1,0,0.0090,0,0.0000,0,0.0067
205,0,Bladen County,NC,RL1,0,0.0072,11,0.2908,0,0.0079
205,25,Bladen County,NC,RL1,0,0.0072,11,0.2908,0,0.0079
205,50,Bladen County,NC,RL1,0,0.0072,11,0.2908,0,0.0079
205,100,Bladen County,NC,RL1,0,0.0072,11,0.2908,0,0.0079
205,150,Bladen County,NC,RL1,0,0.0072,11,0.2908,0,0.0079
205,200,Bladen County,NC,RL1,0,0.0072,11,0.2908,0,0.0079
205,300,Bladen County,NC,RL1,0,0.0072,11,0.2908,0,0.0079
111,0,Brunswick County,NC,RL1,0,0.0033,0,0.0033,0,0.0033
111,25,Brunswick County,NC,RL1,0,0.0041,0,0.0041,0,0.0041
111,50,Brunswick County,NC,RL1,0,0.0045,0,0.0045,0,0.0045
111,100,Brunswick County,NC,RL1,1,0.0062,1,0.0062,1,0.0062
111,150,Brunswick County,NC,RL1,1,0.0066,1,0.0066,1,0.0066
111,200,Brunswick County,NC,RL1,1,0.0085,1,0.0085,1,0.0085
111,300,Brunswick County,NC,RL1,1,0.0183,1,0.0183,1,0.0183
000,0,Brunswick County,NC,RL1,0,0.0002,0,0.0002,1,0.0129
000,25,Brunswick County,NC,RL1,0,0.0002,0,0.0002,1,0.0127
000,50,Brunswick County,NC,RL1,0,0.0002,0,0.0002,1,0.0104
000,100,Brunswick County,NC,RL1,0,0.0000,0,0.0000,1,0.0124
000,150,Brunswick County,NC,RL1,0,0.0000,0,0.0000,1,0.0124
000,200,Brunswick County,NC,RL1,0,0.0000,0,0.0000,1,0.0125
000,300,Brunswick County,NC,RL1,0,0.0000,0,0.0000,1,0.0125
001,0,Brunswick County,NC,RL1,59,0.7236,0,0.0035,76,0.9372
001,25,Brunswick County,NC,RL1,59,0.7234,0,0.0031,76,0.9376
001,50,Brunswick County,NC,RL1,59,0.7238,0,0.0032,77,0.9400
001,100,Brunswick County,NC,RL1,59,0.7243,0,0.0026,76,0.9365
001,150,Brunswick County,NC,RL1,59,0.7282,0,0.0051,76,0.9362
001,200,Brunswick County,NC,RL1,60,0.7309,1,0.0077,76,0.9354
001,300,Brunswick County,NC,RL1,59,0.7201,1,0.0168,76,0.9334
102,0,Brunswick County,NC,RL1,10,0.1259,3,0.0324,3,0.0325
102,25,Brunswick County,NC,RL1,10,0.1258,3,0.0334,3,0.0316
102,50,Brunswick County,NC,RL1,10,0.1254,3,0.0340,3,0.0314
102,100,Brunswick County,NC,RL1,10,0.1281,3,0.0357,3,0.0317
102,150,Brunswick County,NC,RL1,11,0.1301,3,0.0387,3,0.0324
102,200,Brunswick County,NC,RL1,11,0.1357,4,0.0464,3,0.0312
102,300,Brunswick County,NC,RL1,12,0.1441,7,0.0868,2,0.0274
205,0,Brunswick County,NC,RL1,11,0.1380,56,0.6885,1,0.0140
205,25,Brunswick County,NC,RL1,11,0.1380,56,0.6926,1,0.0140
205,50,Brunswick County,NC,RL1,11,0.1380,56,0.6918,1,0.0136
205,100,Brunswick County,NC,RL1,11,0.1337,62,0.7597,1,0.0131
205,150,Brunswick County,NC,RL1,10,0.1274,55,0.6801,1,0.0123
205,200,Brunswick County,NC,RL1,10,0.1173,55,0.6796,1,0.0122
205,300,Brunswick County,NC,RL1,9,0.1102,53,0.6443,1,0.0083
111,0,Camden County,NC,RL1,0,0.0139,0,0.0139,0,0.0139
111,25,Camden County,NC,RL1,0,0.0728,0,0.0728,0,0.0728
111,50,Camden County,NC,RL1,0,0.0786,0,0.0786,0,0.0786
111,100,Camden County,NC,RL1,2,0.2634,2,0.2634,2,0.2634
111,150,Camden County,NC,RL1,3,0.5378,3,0.5378,3,0.5378
111,200,Camden County,NC,RL1,6,0.9679,6,0.9679,6,0.9679
111,300,Camden County,NC,RL1,6,1.0000,6,1.0000,6,1.0000
000,0,Camden County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,25,Camden County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,50,Camden County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,100,Camden County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,150,Camden County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,200,Camden County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
000,300,Camden County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
001,0,Camden County,NC,RL1,2,0.2926,1,0.2322,5,0.7873
001,25,Camden County,NC,RL1,2,0.3533,2,0.2748,4,0.7595
001,50,Camden County,NC,RL1,3,0.4544,2,0.4052,5,0.8278
001,100,Camden County,NC,RL1,3,0.6031,3,0.5387,4,0.7260
001,150,Camden County,NC,RL1,3,0.4564,3,0.4471,3,0.4622
001,200,Camden County,NC,RL1,0,0.0321,0,0.0321,0,0.0321
001,300,Camden County,NC,RL1,0,0.0000,0,0.0000,0,0.0000
