GW,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,0,Beaufort County,NC,RO1,6,0.0034,6,0.0034,6,0.0034
111,0,Beaufort County,NC,RO2,1,0.0256,1,0.0256,1,0.0256
111,0,Beaufort County,NC,RO3,4,0.0183,4,0.0183,4,0.0183
111,0,Beaufort County,NC,RO4,1,0.0005,1,0.0005,1,0.0005
111,25,Beaufort County,NC,RO1,12,0.0073,12,0.0073,12,0.0073
111,25,Beaufort County,NC,RO2,3,0.0855,3,0.0855,3,0.0855
111,25,Beaufort County,NC,RO3,5,0.0210,5,0.0210,5,0.0210
111,25,Beaufort County,NC,RO4,5,0.0032,5,0.0032,5,0.0032
111,50,Beaufort County,NC,RO1,39,0.0233,39,0.0233,39,0.0233
111,50,Beaufort County,NC,RO2,4,0.1073,4,0.1073,4,0.1073
111,50,Beaufort County,NC,RO3,8,0.0360,8,0.0360,8,0.0360
111,50,Beaufort County,NC,RO4,27,0.0191,27,0.0191,27,0.0191
111,100,Beaufort County,NC,RO1,156,0.0925,156,0.0925,156,0.0925
111,100,Beaufort County,NC,RO2,5,0.1430,5,0.1430,5,0.1430
111,100,Beaufort County,NC,RO3,24,0.1098,24,0.1098,24,0.1098
111,100,Beaufort County,NC,RO4,126,0.0885,126,0.0885,126,0.0885
111,150,Beaufort County,NC,RO1,257,0.1531,257,0.1531,257,0.1531
111,150,Beaufort County,NC,RO2,5,0.1440,5,0.1440,5,0.1440
111,150,Beaufort County,NC,RO3,37,0.1666,37,0.1666,37,0.1666
111,150,Beaufort County,NC,RO4,215,0.1512,215,0.1512,215,0.1512
111,200,Beaufort County,NC,RO1,350,0.2081,350,0.2081,350,0.2081
111,200,Beaufort County,NC,RO2,5,0.1471,5,0.1471,5,0.1471
111,200,Beaufort County,NC,RO3,51,0.2304,51,0.2304,51,0.2304
111,200,Beaufort County,NC,RO4,294,0.2063,294,0.2063,294,0.2063
111,300,Beaufort County,NC,RO1,535,0.3180,535,0.3180,535,0.3180
111,300,Beaufort County,NC,RO2,6,0.1560,6,0.1560,6,0.1560
111,300,Beaufort County,NC,RO3,82,0.3743,82,0.3743,82,0.3743
111,300,Beaufort County,NC,RO4,446,0.3136,446,0.3136,446,0.3136
000,0,Beaufort County,NC,RO1,1,0.0004,1,0.0004,1,0.0007
000,0,Beaufort County,NC,RO2,0,0.0000,0,0.0000,0,0.0003
000,0,Beaufort County,NC,RO3,0,0.0000,0,0.0000,0,0.0002
000,0,Beaufort County,NC,RO4,1,0.0005,1,0.0004,1,0.0007
000,25,Beaufort County,NC,RO1,1,0.0004,1,0.0004,1,0.0007
000,25,Beaufort County,NC,RO2,0,0.0000,0,0.0000,0,0.0003
000,25,Beaufort County,NC,RO3,0,0.0000,0,0.0000,0,0.0002
000,25,Beaufort County,NC,RO4,1,0.0005,1,0.0004,1,0.0007
000,50,Beaufort County,NC,RO1,1,0.0004,1,0.0004,1,0.0007
000,50,Beaufort County,NC,RO2,0,0.0000,0,0.0000,0,0.0003
000,50,Beaufort County,NC,RO3,0,0.0000,0,0.0000,0,0.0002
