Community,County,State,DBcode,Tot_value,Tot_pct
Aurora,Beaufort County,NC,EM1,117,1.0000
Aurora,Beaufort County,NC,EM2,58,1.0000
Aurora,Beaufort County,NC,EM3,23,1.0000
Aurora,Beaufort County,NC,EM4,22,1.0000
Aurora,Beaufort County,NC,EM5,6,1.0000
Aurora,Beaufort County,NC,EM6,8,1.0000
Bath,Beaufort County,NC,EM1,153,1.0000
Bath,Beaufort County,NC,EM2,78,1.0000
Bath,Beaufort County,NC,EM3,11,1.0000
Bath,Beaufort County,NC,EM4,59,1.0000
Bath,Beaufort County,NC,EM5,0,1.0000
Bath,Beaufort County,NC,EM6,5,1.0000
Bayview,Beaufort County,NC,EM1,82,1.0000
Bayview,Beaufort County,NC,EM2,0,1.0000
Bayview,Beaufort County,NC,EM3,4,1.0000
Bayview,Beaufort County,NC,EM4,75,1.0000
Bayview,Beaufort County,NC,EM5,3,1.0000
Bayview,Beaufort County,NC,EM6,0,1.0000
Belhaven,Beaufort County,NC,EM1,560,1.0000
Belhaven,Beaufort County,NC,EM2,198,1.0000
Belhaven,Beaufort County,NC,EM3,37,1.0000
Belhaven,Beaufort County,NC,EM4,225,1.0000
Belhaven,Beaufort County,NC,EM5,0,1.0000
Belhaven,Beaufort County,NC,EM6,100,1.0000
Chocowinity,Beaufort County,NC,EM1,311,1.0000
Chocowinity,Beaufort County,NC,EM2,139,1.0000
Chocowinity,Beaufort County,NC,EM3,14,1.0000
Chocowinity,Beaufort County,NC,EM4,94,1.0000
Chocowinity,Beaufort County,NC,EM5,0,1.0000
Chocowinity,Beaufort County,NC,EM6,64,1.0000
Cypress Landing,Beaufort County,NC,EM1,72,1.0000
Cypress Landing,Beaufort County,NC,EM2,15,1.0000
Cypress Landing,Beaufort County,NC,EM3,2,1.0000
Cypress Landing,Beaufort County,NC,EM4,44,1.0000
Cypress Landing,Beaufort County,NC,EM5,2,1.0000
Cypress Landing,Beaufort County,NC,EM6,9,1.0000
Pantego,Beaufort County,NC,EM1,276,1.0000
Pantego,Beaufort County,NC,EM2,60,1.0000
Pantego,Beaufort County,NC,EM3,170,1.0000
Pantego,Beaufort County,NC,EM4,14,1.0000
Pantego,Beaufort County,NC,EM5,28,1.0000
Pantego,Beaufort County,NC,EM6,4,1.0000
Pinetown,Beaufort County,NC,EM1,9,1.0000
Pinetown,Beaufort County,NC,EM2,0,1.0000
Pinetown,Beaufort County,NC,EM3,6,1.0000
Pinetown,Beaufort County,NC,EM4,3,1.0000
Pinetown,Beaufort County,NC,EM5,0,1.0000
Pinetown,Beaufort County,NC,EM6,0,1.0000
River Road,Beaufort County,NC,EM1,542,1.0000
River Road,Beaufort County,NC,EM2,45,1.0000
River Road,Beaufort County,NC,EM3,133,1.0000
River Road,Beaufort County,NC,EM4,213,1.0000
River Road,Beaufort County,NC,EM5,3,1.0000
River Road,Beaufort County,NC,EM6,148,1.0000
Unincorporated Beaufort,Beaufort County,NC,EM1,6271,1.0000
Unincorporated Beaufort,Beaufort County,NC,EM2,1833,1.0000
Unincorporated Beaufort,Beaufort County,NC,EM3,1217,1.0000
Unincorporated Beaufort,Beaufort County,NC,EM4,1275,1.0000
Unincorporated Beaufort,Beaufort County,NC,EM5,444,1.0000
Unincorporated Beaufort,Beaufort County,NC,EM6,1502,1.0000
Washington,Beaufort County,NC,EM1,11346,1.0000
Washington,Beaufort County,NC,EM2,4503,1.0000
Washington,Beaufort County,NC,EM3,2094,1.0000
Washington,Beaufort County,NC,EM4,2858,1.0000
Washington,Beaufort County,NC,EM5,15,1.0000
Washington,Beaufort County,NC,EM6,1876,1.0000
Washington Park,Beaufort County,NC,EM1,32,1.0000
Washington Park,Beaufort County,NC,EM2,4,1.0000
Washington Park,Beaufort County,NC,EM3,19,1.0000
Washington Park,Beaufort County,NC,EM4,7,1.0000
Washington Park,Beaufort County,NC,EM5,0,1.0000
Washington Park,Beaufort County,NC,EM6,2,1.0000
Askewville,Bertie County,NC,EM1,73,1.0000
Askewville,Bertie County,NC,EM2,39,1.0000
Askewville,Bertie County,NC,EM3,2,1.0000
Askewville,Bertie County,NC,EM4,7,1.0000
Askewville,Bertie County,NC,EM5,21,1.0000
Askewville,Bertie County,NC,EM6,4,1.0000
Colerain,Bertie County,NC,EM1,104,1.0000
Colerain,Bertie County,NC,EM2,82,1.0000
Colerain,Bertie County,NC,EM3,8,1.0000
Colerain,Bertie County,NC,EM4,2,1.0000
Colerain,Bertie County,NC,EM5,0,1.0000
Colerain,Bertie County,NC,EM6,12,1.0000
Powellsville,Bertie County,NC,EM1,76,1.0000
Powellsville,Bertie County,NC,EM2,27,1.0000
Powellsville,Bertie County,NC,EM3,10,1.0000
Powellsville,Bertie County,NC,EM4,15,1.0000
Powellsville,Bertie County,NC,EM5,1,1.0000
Powellsville,Bertie County,NC,EM6,23,1.0000
Unincorporated Bertie,Bertie County,NC,EM1,4980,1.0000
Unincorporated Bertie,Bertie County,NC,EM2,1291,1.0000
Unincorporated Bertie,Bertie County,NC,EM3,293,1.0000
Unincorporated Bertie,Bertie County,NC,EM4,459,1.0000
Unincorporated Bertie,Bertie County,NC,EM5,2759,1.0000
Unincorporated Bertie,Bertie County,NC,EM6,178,1.0000
Windsor,Bertie County,NC,EM1,1815,1.0000
Windsor,Bertie County,NC,EM2,913,1.0000
Windsor,Bertie County,NC,EM3,55,1.0000
Windsor,Bertie County,NC,EM4,547,1.0000
Windsor,Bertie County,NC,EM5,66,1.0000
Windsor,Bertie County,NC,EM6,234,1.0000
East Arcadia,Bladen County,NC,EM1,48,1.0000
East Arcadia,Bladen County,NC,EM2,7,1.0000
East Arcadia,Bladen County,NC,EM3,32,1.0000
East Arcadia,Bladen County,NC,EM4,5,1.0000
East Arcadia,Bladen County,NC,EM5,0,1.0000
East Arcadia,Bladen County,NC,EM6,4,1.0000
Elizabethtown,Bladen County,NC,EM1,2244,1.0000
Elizabethtown,Bladen County,NC,EM2,983,1.0000
Elizabethtown,Bladen County,NC,EM3,316,1.0000
Elizabethtown,Bladen County,NC,EM4,466,1.0000
Elizabethtown,Bladen County,NC,EM5,34,1.0000
Elizabethtown,Bladen County,NC,EM6,445,1.0000
Kelly,Bladen County,NC,EM1,129,1.0000
Kelly,Bladen County,NC,EM2,21,1.0000
Kelly,Bladen County,NC,EM3,5,1.0000
Kelly,Bladen County,NC,EM4,60,1.0000
Kelly,Bladen County,NC,EM5,27,1.0000
Kelly,Bladen County,NC,EM6,16,1.0000
Unincorporated Bladen,Bladen County,NC,EM1,12952,1.0000
Unincorporated Bladen,Bladen County,NC,EM2,1548,1.0000
Unincorporated Bladen,Bladen County,NC,EM3,7658,1.0000
Unincorporated Bladen,Bladen County,NC,EM4,1945,1.0000
Unincorporated Bladen,Bladen County,NC,EM5,951,1.0000
Unincorporated Bladen,Bladen County,NC,EM6,850,1.0000
Bald Head Island,Brunswick County,NC,EM1,408,1.0000
Bald Head Island,Brunswick County,NC,EM2,63,1.0000
Bald Head Island,Brunswick County,NC,EM3,21,1.0000
Bald Head Island,Brunswick County,NC,EM4,284,1.0000
Bald Head Island,Brunswick County,NC,EM5,0,1.0000
Bald Head Island,Brunswick County,NC,EM6,40,1.0000
Belville,Brunswick County,NC,EM1,784,1.0000
