Community,County,State,DBcode,Tot_value,Tot_pct
Aurora,Beaufort County,NC,CR2,1,1.0000
Aurora,Beaufort County,NC,CR3,1,1.0000
Aurora,Beaufort County,NC,CR4,1,1.0000
Aurora,Beaufort County,NC,CR5,0,1.0000
Aurora,Beaufort County,NC,WW2,3,1.0000
Aurora,Beaufort County,NC,WW3,0,1.0000
Aurora,Beaufort County,NC,WW4,0,1.0000
Bath,Beaufort County,NC,CR2,0,1.0000
Bath,Beaufort County,NC,CR3,1,1.0000
Bath,Beaufort County,NC,CR4,1,1.0000
Bath,Beaufort County,NC,CR5,0,1.0000
Bath,Beaufort County,NC,WW2,3,1.0000
Bath,Beaufort County,NC,WW3,0,1.0000
Bath,Beaufort County,NC,WW4,0,1.0000
Bayview,Beaufort County,NC,CR2,0,0.0000
Bayview,Beaufort County,NC,CR3,0,0.0000
Bayview,Beaufort County,NC,CR4,0,0.0000
Bayview,Beaufort County,NC,CR5,0,0.0000
Bayview,Beaufort County,NC,WW2,0,0.0000
Bayview,Beaufort County,NC,WW3,0,0.0000
Bayview,Beaufort County,NC,WW4,0,0.0000
Belhaven,Beaufort County,NC,CR2,1,1.0000
Belhaven,Beaufort County,NC,CR3,1,1.0000
Belhaven,Beaufort County,NC,CR4,1,1.0000
Belhaven,Beaufort County,NC,CR5,0,1.0000
Belhaven,Beaufort County,NC,WW2,0,1.0000
Belhaven,Beaufort County,NC,WW3,1,1.0000
Belhaven,Beaufort County,NC,WW4,0,1.0000
Chocowinity,Beaufort County,NC,CR2,1,1.0000
Chocowinity,Beaufort County,NC,CR3,1,1.0000
Chocowinity,Beaufort County,NC,CR4,1,1.0000
Chocowinity,Beaufort County,NC,CR5,0,1.0000
Chocowinity,Beaufort County,NC,WW2,7,1.0000
Chocowinity,Beaufort County,NC,WW3,0,1.0000
Chocowinity,Beaufort County,NC,WW4,0,1.0000
Cypress Landing,Beaufort County,NC,CR2,0,0.0000
Cypress Landing,Beaufort County,NC,CR3,0,0.0000
Cypress Landing,Beaufort County,NC,CR4,0,0.0000
Cypress Landing,Beaufort County,NC,CR5,0,0.0000
Cypress Landing,Beaufort County,NC,WW2,0,0.0000
Cypress Landing,Beaufort County,NC,WW3,0,0.0000
Cypress Landing,Beaufort County,NC,WW4,0,0.0000
Pantego,Beaufort County,NC,CR2,0,1.0000
Pantego,Beaufort County,NC,CR3,1,1.0000
Pantego,Beaufort County,NC,CR4,0,1.0000
Pantego,Beaufort County,NC,CR5,0,1.0000
Pantego,Beaufort County,NC,WW2,0,1.0000
Pantego,Beaufort County,NC,WW3,0,1.0000
Pantego,Beaufort County,NC,WW4,0,1.0000
Pinetown,Beaufort County,NC,CR2,0,0.0000
Pinetown,Beaufort County,NC,CR3,0,0.0000
Pinetown,Beaufort County,NC,CR4,0,0.0000
Pinetown,Beaufort County,NC,CR5,0,0.0000
Pinetown,Beaufort County,NC,WW2,0,0.0000
Pinetown,Beaufort County,NC,WW3,0,0.0000
Pinetown,Beaufort County,NC,WW4,0,0.0000
River Road,Beaufort County,NC,CR2,0,1.0000
River Road,Beaufort County,NC,CR3,0,1.0000
River Road,Beaufort County,NC,CR4,0,1.0000
River Road,Beaufort County,NC,CR5,0,1.0000
River Road,Beaufort County,NC,WW2,2,1.0000
River Road,Beaufort County,NC,WW3,0,1.0000
River Road,Beaufort County,NC,WW4,0,1.0000
Unincorporated Beaufort,Beaufort County,NC,CR2,3,1.0000
Unincorporated Beaufort,Beaufort County,NC,CR3,11,1.0000
Unincorporated Beaufort,Beaufort County,NC,CR4,10,1.0000
Unincorporated Beaufort,Beaufort County,NC,CR5,0,1.0000
Unincorporated Beaufort,Beaufort County,NC,WW2,62,1.0000
Unincorporated Beaufort,Beaufort County,NC,WW3,1,1.0000
Unincorporated Beaufort,Beaufort County,NC,WW4,0,1.0000
Washington,Beaufort County,NC,CR2,2,1.0000
Washington,Beaufort County,NC,CR3,1,1.0000
Washington,Beaufort County,NC,CR4,6,1.0000
Washington,Beaufort County,NC,CR5,1,1.0000
Washington,Beaufort County,NC,WW2,0,1.0000
Washington,Beaufort County,NC,WW3,1,1.0000
Washington,Beaufort County,NC,WW4,1,1.0000
Washington Park,Beaufort County,NC,CR2,0,0.0000
Washington Park,Beaufort County,NC,CR3,0,0.0000
Washington Park,Beaufort County,NC,CR4,0,0.0000
Washington Park,Beaufort County,NC,CR5,0,0.0000
Washington Park,Beaufort County,NC,WW2,0,0.0000
Washington Park,Beaufort County,NC,WW3,0,0.0000
Washington Park,Beaufort County,NC,WW4,0,0.0000
Askewville,Bertie County,NC,CR2,0,1.0000
Askewville,Bertie County,NC,CR3,1,1.0000
Askewville,Bertie County,NC,CR4,1,1.0000
Askewville,Bertie County,NC,CR5,0,1.0000
Askewville,Bertie County,NC,WW2,0,1.0000
Askewville,Bertie County,NC,WW3,0,1.0000
Askewville,Bertie County,NC,WW4,0,1.0000
