Community,County,State,DBcode,Tot_value,Tot_pct
Aurora,Beaufort County,NC,PV1,31611206,1.0000
Aurora,Beaufort County,NC,PV3,24119250,1.0000
Aurora,Beaufort County,NC,PV2,7535520,1.0000
Bath,Beaufort County,NC,PV1,62782434,1.0000
Bath,Beaufort County,NC,PV3,33115490,1.0000
Bath,Beaufort County,NC,PV2,29666944,1.0000
Bayview,Beaufort County,NC,PV1,67281961,1.0000
Bayview,Beaufort County,NC,PV3,29123174,1.0000
Bayview,Beaufort County,NC,PV2,38235714,1.0000
Belhaven,Beaufort County,NC,PV1,104816537,1.0000
Belhaven,Beaufort County,NC,PV3,63748043,1.0000
Belhaven,Beaufort County,NC,PV2,41158237,1.0000
Chocowinity,Beaufort County,NC,PV1,57858261,1.0000
Chocowinity,Beaufort County,NC,PV3,40744826,1.0000
Chocowinity,Beaufort County,NC,PV2,17982403,1.0000
Cypress Landing,Beaufort County,NC,PV1,228398732,1.0000
Cypress Landing,Beaufort County,NC,PV3,169373784,1.0000
Cypress Landing,Beaufort County,NC,PV2,59054238,1.0000
Pantego,Beaufort County,NC,PV1,9096364,1.0000
Pantego,Beaufort County,NC,PV3,6635879,1.0000
Pantego,Beaufort County,NC,PV2,2474993,1.0000
Pinetown,Beaufort County,NC,PV1,5841370,1.0000
Pinetown,Beaufort County,NC,PV3,2998051,1.0000
Pinetown,Beaufort County,NC,PV2,2845997,1.0000
River Road,Beaufort County,NC,PV1,325707699,1.0000
River Road,Beaufort County,NC,PV3,179709923,1.0000
River Road,Beaufort County,NC,PV2,146500260,1.0000
Unincorporated Beaufort,Beaufort County,NC,PV1,2953597688,1.0000
Unincorporated Beaufort,Beaufort County,NC,PV3,1357846934,1.0000
Unincorporated Beaufort,Beaufort County,NC,PV2,1603174953,1.0000
Washington,Beaufort County,NC,PV1,857997694,1.0000
Washington,Beaufort County,NC,PV3,617417784,1.0000
Washington,Beaufort County,NC,PV2,241013820,1.0000
Washington Park,Beaufort County,NC,PV1,50141912,1.0000
Washington Park,Beaufort County,NC,PV3,31107684,1.0000
Washington Park,Beaufort County,NC,PV2,19034228,1.0000
Askewville,Bertie County,NC,PV1,12891863,1.0000
Askewville,Bertie County,NC,PV3,11402300,1.0000
Askewville,Bertie County,NC,PV2,1502513,1.0000
Colerain,Bertie County,NC,PV1,12153084,1.0000
Colerain,Bertie County,NC,PV3,9989258,1.0000
Colerain,Bertie County,NC,PV2,2163826,1.0000
Powellsville,Bertie County,NC,PV1,8459249,1.0000
Powellsville,Bertie County,NC,PV3,7047274,1.0000
Powellsville,Bertie County,NC,PV2,1411975,1.0000
Unincorporated Bertie,Bertie County,NC,PV1,1039775935,1.0000
Unincorporated Bertie,Bertie County,NC,PV3,501025122,1.0000
Unincorporated Bertie,Bertie County,NC,PV2,540241353,1.0000
Windsor,Bertie County,NC,PV1,170270141,1.0000
Windsor,Bertie County,NC,PV3,146539780,1.0000
Windsor,Bertie County,NC,PV2,23971871,1.0000
East Arcadia,Bladen County,NC,PV1,12890760,1.0000
East Arcadia,Bladen County,NC,PV3,9495290,1.0000
East Arcadia,Bladen County,NC,PV2,3395470,1.0000
Elizabethtown,Bladen County,NC,PV1,257921600,1.0000
Elizabethtown,Bladen County,NC,PV3,202439790,1.0000
Elizabethtown,Bladen County,NC,PV2,55491600,1.0000
Kelly,Bladen County,NC,PV1,26419170,1.0000
Kelly,Bladen County,NC,PV3,15972030,1.0000
Kelly,Bladen County,NC,PV2,10448750,1.0000
Unincorporated Bladen,Bladen County,NC,PV1,1586440720,1.0000
Unincorporated Bladen,Bladen County,NC,PV3,1029862470,1.0000
Unincorporated Bladen,Bladen County,NC,PV2,556937870,1.0000
Bald Head Island,Brunswick County,NC,PV1,1183831415,1.0000
Bald Head Island,Brunswick County,NC,PV3,668959536,1.0000
Bald Head Island,Brunswick County,NC,PV2,514925479,1.0000
Belville,Brunswick County,NC,PV1,214850040,1.0000
Belville,Brunswick County,NC,PV3,141499810,1.0000
Belville,Brunswick County,NC,PV2,73350230,1.0000
Boiling Spring Lakes,Brunswick County,NC,PV1,551979250,1.0000
Boiling Spring Lakes,Brunswick County,NC,PV3,413776750,1.0000
Boiling Spring Lakes,Brunswick County,NC,PV2,138272500,1.0000
Bolivia,Brunswick County,NC,PV1,21913040,1.0000
Bolivia,Brunswick County,NC,PV3,16477930,1.0000
Bolivia,Brunswick County,NC,PV2,5435110,1.0000
Calabash,Brunswick County,NC,PV1,313766740,1.0000
Calabash,Brunswick County,NC,PV3,180333360,1.0000
Calabash,Brunswick County,NC,PV2,133433380,1.0000
Carolina Shores,Brunswick County,NC,PV1,514461311,1.0000
Carolina Shores,Brunswick County,NC,PV3,431679581,1.0000
Carolina Shores,Brunswick County,NC,PV2,82781730,1.0000
Caswell Beach,Brunswick County,NC,PV1,217887390,1.0000
Caswell Beach,Brunswick County,NC,PV3,108297480,1.0000
Caswell Beach,Brunswick County,NC,PV2,109592660,1.0000
Holden Beach,Brunswick County,NC,PV1,1305248858,1.0000
Holden Beach,Brunswick County,NC,PV3,615464758,1.0000
Holden Beach,Brunswick County,NC,PV2,689784100,1.0000
Leland,Brunswick County,NC,PV1,3104731509,1.0000
Leland,Brunswick County,NC,PV3,2264764659,1.0000
Leland,Brunswick County,NC,PV2,839997650,1.0000
Navassa,Brunswick County,NC,PV1,118281310,1.0000
Navassa,Brunswick County,NC,PV3,72579020,1.0000
Navassa,Brunswick County,NC,PV2,45702290,1.0000
Northwest,Brunswick County,NC,PV1,52238196,1.0000
Northwest,Brunswick County,NC,PV3,26885830,1.0000
Northwest,Brunswick County,NC,PV2,25352366,1.0000
Oak Island,Brunswick County,NC,PV1,3224528056,1.0000
Oak Island,Brunswick County,NC,PV3,1721272198,1.0000
Oak Island,Brunswick County,NC,PV2,1503751498,1.0000
Ocean Isle Beach,Brunswick County,NC,PV1,1730188636,1.0000
Ocean Isle Beach,Brunswick County,NC,PV3,773366696,1.0000
Ocean Isle Beach,Brunswick County,NC,PV2,957060690,1.0000
Sandy Creek,Brunswick County,NC,PV1,15362960,1.0000
Sandy Creek,Brunswick County,NC,PV3,9508250,1.0000
Sandy Creek,Brunswick County,NC,PV2,5854710,1.0000
Shallotte,Brunswick County,NC,PV1,718896000,1.0000
Shallotte,Brunswick County,NC,PV3,511628290,1.0000
Shallotte,Brunswick County,NC,PV2,209096120,1.0000
Southport,Brunswick County,NC,PV1,946977397,1.0000
Southport,Brunswick County,NC,PV3,572370497,1.0000
Southport,Brunswick County,NC,PV2,374746610,1.0000
St. James,Brunswick County,NC,PV1,1858186870,1.0000
St. James,Brunswick County,NC,PV3,1379531280,1.0000
St. James,Brunswick County,NC,PV2,478953720,1.0000
Sunset Beach,Brunswick County,NC,PV1,1458710913,1.0000
Sunset Beach,Brunswick County,NC,PV3,879412053,1.0000
Sunset Beach,Brunswick County,NC,PV2,579699060,1.0000
Unincorporated Brunswick,Brunswick County,NC,PV1,8959970523,1.0000
Unincorporated Brunswick,Brunswick County,NC,PV3,5560260848,1.0000
Unincorporated Brunswick,Brunswick County,NC,PV2,3400308865,1.0000
Varnamtown,Brunswick County,NC,PV1,51583160,1.0000
Varnamtown,Brunswick County,NC,PV3,36236060,1.0000
Varnamtown,Brunswick County,NC,PV2,15512330,1.0000
Camden,Camden County,NC,PV1,69143563,1.0000
Camden,Camden County,NC,PV3,42092537,1.0000
Camden,Camden County,NC,PV2,27058179,1.0000
Elizabeth City,Camden County,NC,PV1,7097676,1.0000
Elizabeth City,Camden County,NC,PV3,4895429,1.0000
Elizabeth City,Camden County,NC,PV2,2202247,1.0000
South Mills,Camden County,NC,PV1,24035756,1.0000
South Mills,Camden County,NC,PV3,13371323,1.0000
South Mills,Camden County,NC,PV2,10664433,1.0000
Unincorporated Camden,Camden County,NC,PV1,1105045543,1.0000
Unincorporated Camden,Camden County,NC,PV3,587955425,1.0000
Unincorporated Camden,Camden County,NC,PV2,517642919,1.0000
Atlantic,Carteret County,NC,PV1,59085297,1.0000
Atlantic,Carteret County,NC,PV3,34870487,1.0000
Atlantic,Carteret County,NC,PV2,24214810,1.0000
Atlantic Beach,Carteret County,NC,PV1,1717165809,1.0000
Atlantic Beach,Carteret County,NC,PV3,930077769,1.0000
Atlantic Beach,Carteret County,NC,PV2,787088038,1.0000
Beaufort,Carteret County,NC,PV1,1116304685,1.0000
Beaufort,Carteret County,NC,PV3,517810519,1.0000
Beaufort,Carteret County,NC,PV2,598494166,1.0000
Bogue,Carteret County,NC,PV1,105203296,1.0000
Bogue,Carteret County,NC,PV3,43609564,1.0000
Bogue,Carteret County,NC,PV2,61593732,1.0000
Brandywine Bay,Carteret County,NC,PV1,165623269,1.0000
Brandywine Bay,Carteret County,NC,PV3,120925561,1.0000
Brandywine Bay,Carteret County,NC,PV2,44697708,1.0000
Broad Creek,Carteret County,NC,PV1,200634282,1.0000
Broad Creek,Carteret County,NC,PV3,111892903,1.0000
Broad Creek,Carteret County,NC,PV2,88741379,1.0000
Cape Carteret,Carteret County,NC,PV1,401790964,1.0000
Cape Carteret,Carteret County,NC,PV3,220645124,1.0000
Cape Carteret,Carteret County,NC,PV2,181145840,1.0000
Cedar Point,Carteret County,NC,PV1,385533678,1.0000
Cedar Point,Carteret County,NC,PV3,204963462,1.0000
Cedar Point,Carteret County,NC,PV2,180570216,1.0000
Davis,Carteret County,NC,PV1,43954321,1.0000
Davis,Carteret County,NC,PV3,22154025,1.0000
Davis,Carteret County,NC,PV2,21800296,1.0000
Emerald Isle,Carteret County,NC,PV1,2995417265,1.0000
Emerald Isle,Carteret County,NC,PV3,1543818394,1.0000
Emerald Isle,Carteret County,NC,PV2,1451719257,1.0000
Gloucester,Carteret County,NC,PV1,58186759,1.0000
Gloucester,Carteret County,NC,PV3,27634256,1.0000
Gloucester,Carteret County,NC,PV2,30552503,1.0000
Harkers Island,Carteret County,NC,PV1,316002622,1.0000
Harkers Island,Carteret County,NC,PV3,136317816,1.0000
Harkers Island,Carteret County,NC,PV2,179684806,1.0000
Indian Beach,Carteret County,NC,PV1,439765331,1.0000
Indian Beach,Carteret County,NC,PV3,342980517,1.0000
Indian Beach,Carteret County,NC,PV2,96784814,1.0000
Marshallberg,Carteret County,NC,PV1,51596188,1.0000
Marshallberg,Carteret County,NC,PV3,26150356,1.0000
Marshallberg,Carteret County,NC,PV2,25445832,1.0000
Morehead City,Carteret County,NC,PV1,2319001635,1.0000
Morehead City,Carteret County,NC,PV3,1269822727,1.0000
Morehead City,Carteret County,NC,PV2,1049178908,1.0000
Newport,Carteret County,NC,PV1,337913060,1.0000
Newport,Carteret County,NC,PV3,249045625,1.0000
Newport,Carteret County,NC,PV2,88867435,1.0000
Peletier,Carteret County,NC,PV1,88350066,1.0000
Peletier,Carteret County,NC,PV3,44718195,1.0000
Peletier,Carteret County,NC,PV2,43631871,1.0000
Pine Knoll Shores,Carteret County,NC,PV1,1020855427,1.0000
Pine Knoll Shores,Carteret County,NC,PV3,651699761,1.0000
Pine Knoll Shores,Carteret County,NC,PV2,369155666,1.0000
Unincorporated Carteret,Carteret County,NC,PV1,6160577580,1.0000
Unincorporated Carteret,Carteret County,NC,PV3,2055441111,1.0000
Unincorporated Carteret,Carteret County,NC,PV2,4105157174,1.0000
Arrowhead Beach,Chowan County,NC,PV1,60721750,1.0000
Arrowhead Beach,Chowan County,NC,PV3,30943090,1.0000
Arrowhead Beach,Chowan County,NC,PV2,29778660,1.0000
Cape Colony,Chowan County,NC,PV1,48799960,1.0000
Cape Colony,Chowan County,NC,PV3,28361900,1.0000
Cape Colony,Chowan County,NC,PV2,20448190,1.0000
Chowan Beach,Chowan County,NC,PV1,12446030,1.0000
Chowan Beach,Chowan County,NC,PV3,6225550,1.0000
Chowan Beach,Chowan County,NC,PV2,6251870,1.0000
Edenton,Chowan County,NC,PV1,530320352,1.0000
Edenton,Chowan County,NC,PV3,422464492,1.0000
Edenton,Chowan County,NC,PV2,108892000,1.0000
Unincorporated Chowan,Chowan County,NC,PV1,709209135,1.0000
Unincorporated Chowan,Chowan County,NC,PV3,435388225,1.0000
Unincorporated Chowan,Chowan County,NC,PV2,274742420,1.0000
Bolton,Columbus County,NC,PV1,17540900,1.0000
Bolton,Columbus County,NC,PV3,13461800,1.0000
Bolton,Columbus County,NC,PV2,4097600,1.0000
Brunswick,Columbus County,NC,PV1,17980800,1.0000
Brunswick,Columbus County,NC,PV3,12634500,1.0000
Brunswick,Columbus County,NC,PV2,5358000,1.0000
Delco,Columbus County,NC,PV1,13383100,1.0000
Delco,Columbus County,NC,PV3,10435500,1.0000
Delco,Columbus County,NC,PV2,2962800,1.0000
Hallsboro,Columbus County,NC,PV1,18951300,1.0000
Hallsboro,Columbus County,NC,PV3,13901000,1.0000
Hallsboro,Columbus County,NC,PV2,5114300,1.0000
Lake Waccamaw,Columbus County,NC,PV1,229417600,1.0000
Lake Waccamaw,Columbus County,NC,PV3,101470400,1.0000
Lake Waccamaw,Columbus County,NC,PV2,127957700,1.0000
Riegelwood,Columbus County,NC,PV1,57623300,1.0000
Riegelwood,Columbus County,NC,PV3,50182000,1.0000
Riegelwood,Columbus County,NC,PV2,7745300,1.0000
Sandyfield,Columbus County,NC,PV1,14723800,1.0000
Sandyfield,Columbus County,NC,PV3,10550900,1.0000
Sandyfield,Columbus County,NC,PV2,4242300,1.0000
Tabor City,Columbus County,NC,PV1,135347700,1.0000
Tabor City,Columbus County,NC,PV3,107628500,1.0000
Tabor City,Columbus County,NC,PV2,27788000,1.0000
Unincorporated Columbus,Columbus County,NC,PV1,1707862800,1.0000
Unincorporated Columbus,Columbus County,NC,PV3,1074519500,1.0000
Unincorporated Columbus,Columbus County,NC,PV2,636682100,1.0000
Brices Creek,Craven County,NC,PV1,384903131,1.0000
Brices Creek,Craven County,NC,PV3,271373281,1.0000
Brices Creek,Craven County,NC,PV2,113529850,1.0000
Bridgeton,Craven County,NC,PV1,54311190,1.0000
Bridgeton,Craven County,NC,PV3,28522640,1.0000
Bridgeton,Craven County,NC,PV2,25788550,1.0000
Cherry Branch,Craven County,NC,PV1,102571220,1.0000
Cherry Branch,Craven County,NC,PV3,73845220,1.0000
Cherry Branch,Craven County,NC,PV2,28726000,1.0000
Cove City,Craven County,NC,PV1,14061981,1.0000
Cove City,Craven County,NC,PV3,10503111,1.0000
Cove City,Craven County,NC,PV2,3558870,1.0000
Dover,Craven County,NC,PV1,14524194,1.0000
Dover,Craven County,NC,PV3,11117474,1.0000
Dover,Craven County,NC,PV2,3406720,1.0000
Fairfield Harbour,Craven County,NC,PV1,354032620,1.0000
Fairfield Harbour,Craven County,NC,PV3,273019260,1.0000
Fairfield Harbour,Craven County,NC,PV2,81446070,1.0000
Havelock,Craven County,NC,PV1,1653604384,1.0000
Havelock,Craven County,NC,PV3,1357223854,1.0000
Havelock,Craven County,NC,PV2,296380530,1.0000
James City,Craven County,NC,PV1,597292308,1.0000
James City,Craven County,NC,PV3,344007088,1.0000
James City,Craven County,NC,PV2,253285220,1.0000
Neuse Forest,Craven County,NC,PV1,181725800,1.0000
Neuse Forest,Craven County,NC,PV3,128793660,1.0000
Neuse Forest,Craven County,NC,PV2,52932140,1.0000
New Bern,Craven County,NC,PV1,3052141682,1.0000
New Bern,Craven County,NC,PV3,2209813522,1.0000
New Bern,Craven County,NC,PV2,845822220,1.0000
River Bend,Craven County,NC,PV1,277798482,1.0000
River Bend,Craven County,NC,PV3,196870162,1.0000
River Bend,Craven County,NC,PV2,80928320,1.0000
Trent Woods,Craven County,NC,PV1,537198242,1.0000
Trent Woods,Craven County,NC,PV3,341736942,1.0000
Trent Woods,Craven County,NC,PV2,195461300,1.0000
Unincorporated Craven,Craven County,NC,PV1,2024318685,1.0000
Unincorporated Craven,Craven County,NC,PV3,1214012914,1.0000
Unincorporated Craven,Craven County,NC,PV2,810463771,1.0000
Vanceboro,Craven County,NC,PV1,47054272,1.0000
Vanceboro,Craven County,NC,PV3,36450662,1.0000
Vanceboro,Craven County,NC,PV2,10603610,1.0000
Coinjock,Currituck County,NC,PV1,32425500,1.0000
Coinjock,Currituck County,NC,PV3,16169000,1.0000
Coinjock,Currituck County,NC,PV2,16256500,1.0000
Grandy,Currituck County,NC,PV1,262777900,1.0000
Grandy,Currituck County,NC,PV3,153653000,1.0000
Grandy,Currituck County,NC,PV2,109565900,1.0000
Moyock,Currituck County,NC,PV1,502170100,1.0000
Moyock,Currituck County,NC,PV3,338089800,1.0000
Moyock,Currituck County,NC,PV2,164196900,1.0000
Unincorporated Currituck,Currituck County,NC,PV1,5843774000,1.0000
Unincorporated Currituck,Currituck County,NC,PV3,2915724700,1.0000
Unincorporated Currituck,Currituck County,NC,PV2,2931157900,1.0000
Avon,Dare County,NC,PV1,725450173,1.0000
Avon,Dare County,NC,PV3,420525473,1.0000
Avon,Dare County,NC,PV2,304924700,1.0000
Buxton,Dare County,NC,PV1,638172650,1.0000
Buxton,Dare County,NC,PV3,229442750,1.0000
Buxton,Dare County,NC,PV2,408740400,1.0000
Duck,Dare County,NC,PV1,1932842170,1.0000
Duck,Dare County,NC,PV3,912907570,1.0000
Duck,Dare County,NC,PV2,1019934600,1.0000
Frisco,Dare County,NC,PV1,575693384,1.0000
Frisco,Dare County,NC,PV3,245650684,1.0000
Frisco,Dare County,NC,PV2,330042700,1.0000
Hatteras,Dare County,NC,PV1,507307809,1.0000
Hatteras,Dare County,NC,PV3,273973109,1.0000
Hatteras,Dare County,NC,PV2,233334700,1.0000
Kill Devil Hills,Dare County,NC,PV1,3086368008,1.0000
Kill Devil Hills,Dare County,NC,PV3,1643634308,1.0000
Kill Devil Hills,Dare County,NC,PV2,1443778800,1.0000
Kitty Hawk,Dare County,NC,PV1,1437124595,1.0000
Kitty Hawk,Dare County,NC,PV3,821652295,1.0000
Kitty Hawk,Dare County,NC,PV2,615473700,1.0000
Manns Harbor,Dare County,NC,PV1,77445563,1.0000
Manns Harbor,Dare County,NC,PV3,41321063,1.0000
Manns Harbor,Dare County,NC,PV2,36130000,1.0000
Manteo,Dare County,NC,PV1,799448100,1.0000
Manteo,Dare County,NC,PV3,467133500,1.0000
Manteo,Dare County,NC,PV2,332386300,1.0000
Nags Head,Dare County,NC,PV1,3271934241,1.0000
Nags Head,Dare County,NC,PV3,1607340741,1.0000
Nags Head,Dare County,NC,PV2,1664593500,1.0000
Rodanthe,Dare County,NC,PV1,258273183,1.0000
Rodanthe,Dare County,NC,PV3,157750483,1.0000
Rodanthe,Dare County,NC,PV2,100522700,1.0000
Salvo,Dare County,NC,PV1,359952989,1.0000
Salvo,Dare County,NC,PV3,202533289,1.0000
Salvo,Dare County,NC,PV2,157419700,1.0000
Southern Shores,Dare County,NC,PV1,1626030325,1.0000
Southern Shores,Dare County,NC,PV3,899518725,1.0000
Southern Shores,Dare County,NC,PV2,726705300,1.0000
Unincorporated Dare,Dare County,NC,PV1,2979290439,1.0000
Unincorporated Dare,Dare County,NC,PV3,1336737966,1.0000
Unincorporated Dare,Dare County,NC,PV2,1642709000,1.0000
Wanchese,Dare County,NC,PV1,177846415,1.0000
Wanchese,Dare County,NC,PV3,97419415,1.0000
Wanchese,Dare County,NC,PV2,80470300,1.0000
Waves,Dare County,NC,PV1,198286689,1.0000
Waves,Dare County,NC,PV3,118109989,1.0000
Waves,Dare County,NC,PV2,80176700,1.0000
Beulaville,Duplin County,NC,PV1,101155081,1.0000
Beulaville,Duplin County,NC,PV3,70685781,1.0000
Beulaville,Duplin County,NC,PV2,30509100,1.0000
Chinquapin,Duplin County,NC,PV1,6182194,1.0000
Chinquapin,Duplin County,NC,PV3,3653694,1.0000
Chinquapin,Duplin County,NC,PV2,2528500,1.0000
Greenevers,Duplin County,NC,PV1,14556974,1.0000
Greenevers,Duplin County,NC,PV3,9126874,1.0000
Greenevers,Duplin County,NC,PV2,5430100,1.0000
Harrells,Duplin County,NC,PV1,0,0.0000
Harrells,Duplin County,NC,PV3,0,0.0000
Harrells,Duplin County,NC,PV2,0,0.0000
Potters Hill,Duplin County,NC,PV1,15961659,1.0000
Potters Hill,Duplin County,NC,PV3,9827159,1.0000
Potters Hill,Duplin County,NC,PV2,6134500,1.0000
Rose Hill,Duplin County,NC,PV1,54420431,1.0000
Rose Hill,Duplin County,NC,PV3,40671231,1.0000
Rose Hill,Duplin County,NC,PV2,13749200,1.0000
Teachey,Duplin County,NC,PV1,19867798,1.0000
Teachey,Duplin County,NC,PV3,15026348,1.0000
Teachey,Duplin County,NC,PV2,4841450,1.0000
Unincorporated Duplin,Duplin County,NC,PV1,2307367050,1.0000
Unincorporated Duplin,Duplin County,NC,PV3,1457469940,1.0000
Unincorporated Duplin,Duplin County,NC,PV2,851374110,1.0000
Wallace,Duplin County,NC,PV1,211094086,1.0000
Wallace,Duplin County,NC,PV3,152228586,1.0000
Wallace,Duplin County,NC,PV2,58873500,1.0000
Conetoe,Edgecombe County,NC,PV1,0,1.0000
Conetoe,Edgecombe County,NC,PV3,0,1.0000
Conetoe,Edgecombe County,NC,PV2,0,1.0000
Pinetops,Edgecombe County,NC,PV1,0,1.0000
Pinetops,Edgecombe County,NC,PV3,0,1.0000
Pinetops,Edgecombe County,NC,PV2,0,1.0000
Princeville,Edgecombe County,NC,PV1,0,1.0000
Princeville,Edgecombe County,NC,PV3,0,1.0000
Princeville,Edgecombe County,NC,PV2,0,1.0000
Tarboro,Edgecombe County,NC,PV1,0,1.0000
Tarboro,Edgecombe County,NC,PV3,0,1.0000
Tarboro,Edgecombe County,NC,PV2,0,1.0000
Unincorporated Edgecombe,Edgecombe County,NC,PV1,0,1.0000
Unincorporated Edgecombe,Edgecombe County,NC,PV3,0,1.0000
Unincorporated Edgecombe,Edgecombe County,NC,PV2,0,1.0000
Gatesville,Gates County,NC,PV1,35893079,1.0000
Gatesville,Gates County,NC,PV3,28595584,1.0000
Gatesville,Gates County,NC,PV2,7311999,1.0000
Sunbury,Gates County,NC,PV1,29645986,1.0000
Sunbury,Gates County,NC,PV3,21724438,1.0000
Sunbury,Gates County,NC,PV2,7974569,1.0000
Unincorporated Gates,Gates County,NC,PV1,950459701,1.0000
Unincorporated Gates,Gates County,NC,PV3,629950496,1.0000
Unincorporated Gates,Gates County,NC,PV2,321082886,1.0000
Hookerton,Greene County,NC,PV1,15449974,1.0000
Hookerton,Greene County,NC,PV3,13124550,1.0000
Hookerton,Greene County,NC,PV2,2334364,1.0000
Maury,Greene County,NC,PV1,43136894,1.0000
Maury,Greene County,NC,PV3,39524180,1.0000
Maury,Greene County,NC,PV2,3621374,1.0000
Snow Hill,Greene County,NC,PV1,124926200,1.0000
Snow Hill,Greene County,NC,PV3,102866930,1.0000
Snow Hill,Greene County,NC,PV2,22059270,1.0000
Unincorporated Greene,Greene County,NC,PV1,1095661235,1.0000
Unincorporated Greene,Greene County,NC,PV3,620134934,1.0000
Unincorporated Greene,Greene County,NC,PV2,478759121,1.0000
Unincorporated Halifax,Halifax County,NC,PV1,1852132070,1.0000
Unincorporated Halifax,Halifax County,NC,PV3,1110075260,1.0000
Unincorporated Halifax,Halifax County,NC,PV2,742588610,1.0000
Ahoskie,Hertford County,NC,PV1,350476082,1.0000
Ahoskie,Hertford County,NC,PV3,0,1.0000
Ahoskie,Hertford County,NC,PV2,0,1.0000
Cofield,Hertford County,NC,PV1,20120296,1.0000
Cofield,Hertford County,NC,PV3,0,1.0000
Cofield,Hertford County,NC,PV2,0,1.0000
Como,Hertford County,NC,PV1,5923316,1.0000
Como,Hertford County,NC,PV3,0,1.0000
Como,Hertford County,NC,PV2,0,1.0000
Harrellsville,Hertford County,NC,PV1,5796552,1.0000
Harrellsville,Hertford County,NC,PV3,0,1.0000
