Community,County,State,DBcode,Tot_value,Tot_pct
Aurora,Beaufort County,NC,RL1,0.0000,0.0000
Bath,Beaufort County,NC,RL1,0.0000,0.0000
Bayview,Beaufort County,NC,RL1,0.0000,0.0000
Belhaven,Beaufort County,NC,RL1,1.9600,1.0000
Chocowinity,Beaufort County,NC,RL1,3.3624,1.0000
Cypress Landing,Beaufort County,NC,RL1,0.0468,1.0000
Pantego,Beaufort County,NC,RL1,0.9342,1.0000
Pinetown,Beaufort County,NC,RL1,1.2051,1.0000
River Road,Beaufort County,NC,RL1,1.3250,1.0000
Unincorporated Beaufort,Beaufort County,NC,RL1,106.4264,1.0000
Washington,Beaufort County,NC,RL1,2.0694,1.0000
Washington Park,Beaufort County,NC,RL1,0.0000,0.0000
Askewville,Bertie County,NC,RL1,0.0000,0.0000
Colerain,Bertie County,NC,RL1,0.0000,0.0000
Powellsville,Bertie County,NC,RL1,0.0000,0.0000
Unincorporated Bertie,Bertie County,NC,RL1,9.3264,1.0000
Windsor,Bertie County,NC,RL1,0.0000,0.0000
East Arcadia,Bladen County,NC,RL1,0.4167,1.0000
Elizabethtown,Bladen County,NC,RL1,0.0000,0.0000
Kelly,Bladen County,NC,RL1,0.0000,0.0000
Unincorporated Bladen,Bladen County,NC,RL1,38.2232,1.0000
Bald Head Island,Brunswick County,NC,RL1,0.0000,0.0000
Belville,Brunswick County,NC,RL1,0.0000,0.0000
Boiling Spring Lakes,Brunswick County,NC,RL1,5.4431,1.0000
Bolivia,Brunswick County,NC,RL1,0.0000,0.0000
Calabash,Brunswick County,NC,RL1,0.0000,0.0000
Carolina Shores,Brunswick County,NC,RL1,0.0000,0.0000
Caswell Beach,Brunswick County,NC,RL1,0.0000,0.0000
Holden Beach,Brunswick County,NC,RL1,0.0000,0.0000
Leland,Brunswick County,NC,RL1,4.3545,1.0000
Navassa,Brunswick County,NC,RL1,34.2147,1.0000
Northwest,Brunswick County,NC,RL1,3.2392,1.0000
Oak Island,Brunswick County,NC,RL1,0.0000,0.0000
Ocean Isle Beach,Brunswick County,NC,RL1,0.0000,0.0000
Sandy Creek,Brunswick County,NC,RL1,0.0000,0.0000
Shallotte,Brunswick County,NC,RL1,0.0000,0.0000
Southport,Brunswick County,NC,RL1,0.0238,1.0000
St. James,Brunswick County,NC,RL1,0.0000,0.0000
Sunset Beach,Brunswick County,NC,RL1,0.0000,0.0000
Unincorporated Brunswick,Brunswick County,NC,RL1,34.2325,1.0000
Varnamtown,Brunswick County,NC,RL1,0.0000,0.0000
Camden,Camden County,NC,RL1,2.3198,1.0000
Elizabeth City,Camden County,NC,RL1,0.0000,0.0000
South Mills,Camden County,NC,RL1,0.0000,0.0000
Unincorporated Camden,Camden County,NC,RL1,3.4419,1.0000
Atlantic,Carteret County,NC,RL1,0.0000,0.0000
Atlantic Beach,Carteret County,NC,RL1,0.0000,0.0000
Beaufort,Carteret County,NC,RL1,0.0000,0.0000
Bogue,Carteret County,NC,RL1,0.0000,0.0000
Brandywine Bay,Carteret County,NC,RL1,0.0000,0.0000
Broad Creek,Carteret County,NC,RL1,0.0000,0.0000
Cape Carteret,Carteret County,NC,RL1,0.0000,0.0000
Cedar Point,Carteret County,NC,RL1,0.0000,0.0000
Davis,Carteret County,NC,RL1,0.0000,0.0000
Emerald Isle,Carteret County,NC,RL1,0.0000,0.0000
Gloucester,Carteret County,NC,RL1,0.0000,0.0000
Harkers Island,Carteret County,NC,RL1,0.0000,0.0000
Indian Beach,Carteret County,NC,RL1,0.0000,0.0000
Marshallberg,Carteret County,NC,RL1,0.0000,0.0000
Morehead City,Carteret County,NC,RL1,21.3267,1.0000
Newport,Carteret County,NC,RL1,2.0109,1.0000
Peletier,Carteret County,NC,RL1,0.0000,0.0000
Pine Knoll Shores,Carteret County,NC,RL1,0.0000,0.0000
Unincorporated Carteret,Carteret County,NC,RL1,13.3693,1.0000
Arrowhead Beach,Chowan County,NC,RL1,0.0000,0.0000
Cape Colony,Chowan County,NC,RL1,0.0000,0.0000
Chowan Beach,Chowan County,NC,RL1,0.0000,0.0000
Edenton,Chowan County,NC,RL1,3.1339,1.0000
Unincorporated Chowan,Chowan County,NC,RL1,1.6512,1.0000
Bolton,Columbus County,NC,RL1,0.0000,0.0000
Brunswick,Columbus County,NC,RL1,0.0000,0.0000
Delco,Columbus County,NC,RL1,0.0000,0.0000
Hallsboro,Columbus County,NC,RL1,0.0000,0.0000
Lake Waccamaw,Columbus County,NC,RL1,0.0000,0.0000
Riegelwood,Columbus County,NC,RL1,13.2260,1.0000
Sandyfield,Columbus County,NC,RL1,1.3292,1.0000
Tabor City,Columbus County,NC,RL1,2.6527,1.0000
Unincorporated Columbus,Columbus County,NC,RL1,38.2708,1.0000
Brices Creek,Craven County,NC,RL1,0.0000,0.0000
Bridgeton,Craven County,NC,RL1,1.3746,1.0000
