Community,County,State,DBcode,Tot_value,Tot_pct
Aurora,Beaufort County,NC,RO1,11.0837,1.0000
Aurora,Beaufort County,NC,RO2,0.0000,1.0000
Aurora,Beaufort County,NC,RO3,1.9120,1.0000
Aurora,Beaufort County,NC,RO4,9.1717,1.0000
Bath,Beaufort County,NC,RO1,5.0010,1.0000
Bath,Beaufort County,NC,RO2,0.0000,1.0000
Bath,Beaufort County,NC,RO3,1.0377,1.0000
Bath,Beaufort County,NC,RO4,3.9633,1.0000
Bayview,Beaufort County,NC,RO1,8.0650,1.0000
Bayview,Beaufort County,NC,RO2,0.0000,1.0000
Bayview,Beaufort County,NC,RO3,0.0700,1.0000
Bayview,Beaufort County,NC,RO4,7.9950,1.0000
Belhaven,Beaufort County,NC,RO1,22.1203,1.0000
Belhaven,Beaufort County,NC,RO2,0.0000,1.0000
Belhaven,Beaufort County,NC,RO3,4.0367,1.0000
Belhaven,Beaufort County,NC,RO4,18.0836,1.0000
Chocowinity,Beaufort County,NC,RO1,11.2559,1.0000
Chocowinity,Beaufort County,NC,RO2,0.1634,1.0000
Chocowinity,Beaufort County,NC,RO3,3.0894,1.0000
Chocowinity,Beaufort County,NC,RO4,8.0030,1.0000
Cypress Landing,Beaufort County,NC,RO1,15.6425,1.0000
Cypress Landing,Beaufort County,NC,RO2,0.0000,1.0000
Cypress Landing,Beaufort County,NC,RO3,0.0000,1.0000
Cypress Landing,Beaufort County,NC,RO4,15.6425,1.0000
Pantego,Beaufort County,NC,RO1,3.7143,1.0000
Pantego,Beaufort County,NC,RO2,0.0000,1.0000
Pantego,Beaufort County,NC,RO3,1.3112,1.0000
Pantego,Beaufort County,NC,RO4,2.4031,1.0000
Pinetown,Beaufort County,NC,RO1,3.4632,1.0000
Pinetown,Beaufort County,NC,RO2,0.0000,1.0000
Pinetown,Beaufort County,NC,RO3,1.2365,1.0000
Pinetown,Beaufort County,NC,RO4,2.2267,1.0000
River Road,Beaufort County,NC,RO1,51.7104,1.0000
River Road,Beaufort County,NC,RO2,0.0000,1.0000
River Road,Beaufort County,NC,RO3,4.5137,1.0000
River Road,Beaufort County,NC,RO4,47.1967,1.0000
Unincorporated Beaufort,Beaufort County,NC,RO1,1445.1271,1.0000
Unincorporated Beaufort,Beaufort County,NC,RO2,36.0294,1.0000
Unincorporated Beaufort,Beaufort County,NC,RO3,188.0509,1.0000
Unincorporated Beaufort,Beaufort County,NC,RO4,1221.0468,1.0000
Washington,Beaufort County,NC,RO1,98.7471,1.0000
Washington,Beaufort County,NC,RO2,1.0889,1.0000
Washington,Beaufort County,NC,RO3,14.0264,1.0000
Washington,Beaufort County,NC,RO4,83.6318,1.0000
Washington Park,Beaufort County,NC,RO1,4.9262,1.0000
Washington Park,Beaufort County,NC,RO2,0.0000,1.0000
Washington Park,Beaufort County,NC,RO3,0.7947,1.0000
Washington Park,Beaufort County,NC,RO4,4.1314,1.0000
Askewville,Bertie County,NC,RO1,3.7882,1.0000
Askewville,Bertie County,NC,RO2,0.0000,1.0000
Askewville,Bertie County,NC,RO3,0.8806,1.0000
Askewville,Bertie County,NC,RO4,2.9076,1.0000
Colerain,Bertie County,NC,RO1,2.4779,1.0000
Colerain,Bertie County,NC,RO2,0.0000,1.0000
Colerain,Bertie County,NC,RO3,0.9440,1.0000
Colerain,Bertie County,NC,RO4,1.5339,1.0000
Powellsville,Bertie County,NC,RO1,3.7296,1.0000
Powellsville,Bertie County,NC,RO2,0.0768,1.0000
Powellsville,Bertie County,NC,RO3,0.8876,1.0000
Powellsville,Bertie County,NC,RO4,2.7652,1.0000
Unincorporated Bertie,Bertie County,NC,RO1,821.2906,1.0000
Unincorporated Bertie,Bertie County,NC,RO2,65.6055,1.0000
Unincorporated Bertie,Bertie County,NC,RO3,155.0438,1.0000
Unincorporated Bertie,Bertie County,NC,RO4,600.6413,1.0000
Windsor,Bertie County,NC,RO1,31.5839,1.0000
Windsor,Bertie County,NC,RO2,3.4861,1.0000
Windsor,Bertie County,NC,RO3,6.9999,1.0000
Windsor,Bertie County,NC,RO4,21.0979,1.0000
East Arcadia,Bladen County,NC,RO1,10.0973,1.0000
East Arcadia,Bladen County,NC,RO2,0.0000,1.0000
East Arcadia,Bladen County,NC,RO3,1.8878,1.0000
East Arcadia,Bladen County,NC,RO4,8.2094,1.0000
Elizabethtown,Bladen County,NC,RO1,48.5760,1.0000
Elizabethtown,Bladen County,NC,RO2,0.0000,1.0000
Elizabethtown,Bladen County,NC,RO3,14.9911,1.0000
Elizabethtown,Bladen County,NC,RO4,33.5849,1.0000
Kelly,Bladen County,NC,RO1,26.8004,1.0000
Kelly,Bladen County,NC,RO2,0.0000,1.0000
Kelly,Bladen County,NC,RO3,5.5180,1.0000
Kelly,Bladen County,NC,RO4,21.2823,1.0000
Unincorporated Bladen,Bladen County,NC,RO1,1380.6846,1.0000
Unincorporated Bladen,Bladen County,NC,RO2,0.0000,1.0000
