GW,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,0,Aurora,Beaufort County,NC,RO1,0.0453,0.0041,0.0453,0.0041,0.0453,0.0041
111,0,Aurora,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Aurora,Beaufort County,NC,RO3,0.0417,0.0218,0.0417,0.0218,0.0417,0.0218
111,0,Aurora,Beaufort County,NC,RO4,0.0036,0.0004,0.0036,0.0004,0.0036,0.0004
111,0,Bath,Beaufort County,NC,RO1,0.2333,0.0467,0.2333,0.0467,0.2333,0.0467
111,0,Bath,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Bath,Beaufort County,NC,RO3,0.2333,0.2249,0.2333,0.2249,0.2333,0.2249
111,0,Bath,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Bayview,Beaufort County,NC,RO1,0.2126,0.0264,0.2126,0.0264,0.2126,0.0264
111,0,Bayview,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Bayview,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Bayview,Beaufort County,NC,RO4,0.2126,0.0266,0.2126,0.0266,0.2126,0.0266
111,0,Belhaven,Beaufort County,NC,RO1,0.1491,0.0067,0.1491,0.0067,0.1491,0.0067
111,0,Belhaven,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Belhaven,Beaufort County,NC,RO3,0.1306,0.0323,0.1306,0.0323,0.1306,0.0323
111,0,Belhaven,Beaufort County,NC,RO4,0.0185,0.0010,0.0185,0.0010,0.0185,0.0010
111,0,Chocowinity,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Chocowinity,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Chocowinity,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Chocowinity,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Cypress Landing,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Cypress Landing,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Cypress Landing,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Cypress Landing,Beaufort County,NC,RO4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Pantego,Beaufort County,NC,RO1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Pantego,Beaufort County,NC,RO2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,0,Pantego,Beaufort County,NC,RO3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
