County,State,DBcode,Tot_value
Brunswick County,NC,RE1,81160
Brunswick County,NC,RE3,70599
Brunswick County,NC,RE4,7842
Brunswick County,NC,RE5,2207
Brunswick County,NC,RE6,659
Brunswick County,NC,RE7,114
Brunswick County,NC,RE8,4329
Brunswick County,NC,RE2,4803
Brunswick County,NC,RE20,59668
Brunswick County,NC,RE21,36277
Brunswick County,NC,RE22,23391
Carteret County,NC,RE1,37987
Carteret County,NC,RE3,35280
Carteret County,NC,RE4,1789
Carteret County,NC,RE5,931
Carteret County,NC,RE6,482
Carteret County,NC,RE7,80
Carteret County,NC,RE8,1525
Carteret County,NC,RE2,1649
Carteret County,NC,RE20,32395
Carteret County,NC,RE21,16513
Carteret County,NC,RE22,15882
Currituck County,NC,RE1,19833
Currituck County,NC,RE3,18376
Currituck County,NC,RE4,1166
Currituck County,NC,RE5,589
Currituck County,NC,RE6,302
Currituck County,NC,RE7,56
Currituck County,NC,RE8,758
Currituck County,NC,RE2,824
Currituck County,NC,RE20,12663
Currituck County,NC,RE21,7731
Currituck County,NC,RE22,4932
Dare County,NC,RE1,33003
Dare County,NC,RE3,30915
Dare County,NC,RE4,894
Dare County,NC,RE5,678
Dare County,NC,RE6,455
Dare County,NC,RE7,48
Dare County,NC,RE8,1993
Dare County,NC,RE2,2215
Dare County,NC,RE20,31717
Dare County,NC,RE21,14262
Dare County,NC,RE22,17455
Hyde County,NC,RE1,3709
Hyde County,NC,RE3,2590
Hyde County,NC,RE4,996
Hyde County,NC,RE5,50
Hyde County,NC,RE6,17
Hyde County,NC,RE7,1
Hyde County,NC,RE8,247
Hyde County,NC,RE2,265
Hyde County,NC,RE20,2604
Hyde County,NC,RE21,1442
Hyde County,NC,RE22,1162
New Hanover County,NC,RE1,31151
New Hanover County,NC,RE3,28765
New Hanover County,NC,RE4,1625
New Hanover County,NC,RE5,723
New Hanover County,NC,RE6,704
New Hanover County,NC,RE7,48
New Hanover County,NC,RE8,1304
New Hanover County,NC,RE2,1334
New Hanover County,NC,RE20,19929
New Hanover County,NC,RE21,13637
New Hanover County,NC,RE22,6292
Onslow County,NC,RE1,95319
Onslow County,NC,RE3,79854
Onslow County,NC,RE4,11470
Onslow County,NC,RE5,3384
Onslow County,NC,RE6,3065
Onslow County,NC,RE7,608
Onslow County,NC,RE8,7192
Onslow County,NC,RE2,9739
Onslow County,NC,RE20,43561
Onslow County,NC,RE21,34933
Onslow County,NC,RE22,8628
Pender County,NC,RE1,47452
Pender County,NC,RE3,38568
Pender County,NC,RE4,6667
Pender County,NC,RE5,1346
Pender County,NC,RE6,567
Pender County,NC,RE7,94
Pender County,NC,RE8,3266
Pender County,NC,RE2,3679
Pender County,NC,RE20,24519
Pender County,NC,RE21,18200
Pender County,NC,RE22,6319
