ER,SLR,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
000,000,Brunswick County,NC,RE1,11,0.0001,11,0.0001,11,0.0001,11,0.0001
000,000,Brunswick County,NC,RE3,10,0.0001,10,0.0001,11,0.0001,11,0.0001
000,000,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,RE2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,RE20,45,0.0008,45,0.0008,45,0.0008,45,0.0008
000,000,Brunswick County,NC,RE21,7,0.0002,7,0.0002,7,0.0002,7,0.0002
000,000,Brunswick County,NC,RE22,38,0.0016,38,0.0016,38,0.0016,38,0.0016
000,025,Brunswick County,NC,RE1,10,0.0001,12,0.0002,10,0.0001,13,0.0002
000,025,Brunswick County,NC,RE3,10,0.0001,12,0.0002,10,0.0001,13,0.0002
000,025,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,RE2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,RE20,42,0.0007,54,0.0009,45,0.0008,60,0.0010
000,025,Brunswick County,NC,RE21,6,0.0002,7,0.0002,6,0.0002,7,0.0002
000,025,Brunswick County,NC,RE22,36,0.0015,47,0.0020,39,0.0017,53,0.0023
000,050,Brunswick County,NC,RE1,40,0.0005,69,0.0009,46,0.0006,87,0.0011
000,050,Brunswick County,NC,RE3,39,0.0006,69,0.0010,45,0.0006,85,0.0012
000,050,Brunswick County,NC,RE4,0,0.0000,1,0.0001,0,0.0000,1,0.0001
000,050,Brunswick County,NC,RE5,0,0.0001,1,0.0003,0,0.0001,1,0.0004
000,050,Brunswick County,NC,RE6,0,0.0000,0,0.0002,0,0.0000,0,0.0003
000,050,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Brunswick County,NC,RE8,1,0.0002,1,0.0003,1,0.0002,2,0.0004
000,050,Brunswick County,NC,RE2,1,0.0001,1,0.0003,1,0.0002,2,0.0003
000,050,Brunswick County,NC,RE20,229,0.0038,391,0.0066,260,0.0044,487,0.0082
000,050,Brunswick County,NC,RE21,16,0.0004,33,0.0009,18,0.0005,39,0.0011
000,050,Brunswick County,NC,RE22,213,0.0091,358,0.0153,242,0.0104,448,0.0191
000,100,Brunswick County,NC,RE1,80,0.0010,81,0.0010,236,0.0029,409,0.0050
000,100,Brunswick County,NC,RE3,79,0.0011,80,0.0011,231,0.0033,400,0.0057
000,100,Brunswick County,NC,RE4,1,0.0001,1,0.0001,3,0.0003,5,0.0006
000,100,Brunswick County,NC,RE5,1,0.0004,1,0.0004,4,0.0018,8,0.0035
000,100,Brunswick County,NC,RE6,0,0.0003,0,0.0003,2,0.0025,4,0.0067
000,100,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0021
000,100,Brunswick County,NC,RE8,1,0.0003,1,0.0003,5,0.0012,8,0.0018
000,100,Brunswick County,NC,RE2,1,0.0003,1,0.0003,6,0.0012,10,0.0021
000,100,Brunswick County,NC,RE20,450,0.0075,458,0.0077,1222,0.0205,1943,0.0326
000,100,Brunswick County,NC,RE21,39,0.0011,40,0.0011,105,0.0029,199,0.0055
000,100,Brunswick County,NC,RE22,411,0.0176,419,0.0179,1116,0.0477,1744,0.0746
000,150,Brunswick County,NC,RE1,83,0.0010,82,0.0010,935,0.0115,1302,0.0160
000,150,Brunswick County,NC,RE3,82,0.0012,81,0.0011,900,0.0127,1258,0.0178
000,150,Brunswick County,NC,RE4,1,0.0001,1,0.0001,20,0.0025,27,0.0034
000,150,Brunswick County,NC,RE5,1,0.0004,1,0.0004,26,0.0118,35,0.0160
000,150,Brunswick County,NC,RE6,0,0.0003,0,0.0003,15,0.0222,21,0.0322
000,150,Brunswick County,NC,RE7,0,0.0000,0,0.0000,3,0.0221,3,0.0297
000,150,Brunswick County,NC,RE8,1,0.0003,1,0.0003,30,0.0070,41,0.0094
000,150,Brunswick County,NC,RE2,1,0.0003,1,0.0003,33,0.0068,45,0.0094
000,150,Brunswick County,NC,RE20,467,0.0078,464,0.0078,3554,0.0596,4501,0.0754
000,150,Brunswick County,NC,RE21,40,0.0011,40,0.0011,513,0.0142,714,0.0197
000,150,Brunswick County,NC,RE22,427,0.0182,424,0.0181,3040,0.1300,3787,0.1619
000,200,Brunswick County,NC,RE1,82,0.0010,82,0.0010,1602,0.0197,1943,0.0239
000,200,Brunswick County,NC,RE3,81,0.0011,81,0.0011,1550,0.0220,1884,0.0267
000,200,Brunswick County,NC,RE4,1,0.0001,1,0.0001,32,0.0041,36,0.0046
000,200,Brunswick County,NC,RE5,1,0.0004,1,0.0004,43,0.0194,48,0.0216
000,200,Brunswick County,NC,RE6,0,0.0003,0,0.0003,25,0.0386,28,0.0430
000,200,Brunswick County,NC,RE7,0,0.0000,0,0.0000,4,0.0362,5,0.0402
000,200,Brunswick County,NC,RE8,1,0.0003,1,0.0003,50,0.0115,57,0.0131
000,200,Brunswick County,NC,RE2,1,0.0003,1,0.0003,53,0.0111,59,0.0124
000,200,Brunswick County,NC,RE20,464,0.0078,464,0.0078,5301,0.0888,6063,0.1016
000,200,Brunswick County,NC,RE21,40,0.0011,40,0.0011,856,0.0236,1004,0.0277
000,200,Brunswick County,NC,RE22,424,0.0181,424,0.0181,4445,0.1900,5060,0.2163
000,300,Brunswick County,NC,RE1,82,0.0010,82,0.0010,2742,0.0338,3057,0.0377
000,300,Brunswick County,NC,RE3,81,0.0011,81,0.0011,2665,0.0378,2972,0.0421
000,300,Brunswick County,NC,RE4,1,0.0001,1,0.0001,46,0.0058,50,0.0064
000,300,Brunswick County,NC,RE5,1,0.0004,1,0.0004,62,0.0283,68,0.0310
000,300,Brunswick County,NC,RE6,0,0.0003,0,0.0003,35,0.0530,37,0.0564
000,300,Brunswick County,NC,RE7,0,0.0000,0,0.0000,7,0.0650,9,0.0765
000,300,Brunswick County,NC,RE8,1,0.0003,1,0.0003,73,0.0170,78,0.0180
000,300,Brunswick County,NC,RE2,1,0.0003,1,0.0003,74,0.0154,79,0.0164
000,300,Brunswick County,NC,RE20,464,0.0078,464,0.0078,8002,0.1341,8629,0.1446
000,300,Brunswick County,NC,RE21,40,0.0011,40,0.0011,1385,0.0382,1557,0.0429
000,300,Brunswick County,NC,RE22,424,0.0181,424,0.0181,6618,0.2829,7072,0.3023
100,000,Brunswick County,NC,RE1,11,0.0001,11,0.0001,11,0.0001,11,0.0001
100,000,Brunswick County,NC,RE3,11,0.0002,11,0.0002,11,0.0002,11,0.0002
100,000,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,RE2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,RE20,47,0.0008,47,0.0008,47,0.0008,47,0.0008
100,000,Brunswick County,NC,RE21,7,0.0002,7,0.0002,7,0.0002,7,0.0002
100,000,Brunswick County,NC,RE22,40,0.0017,40,0.0017,40,0.0017,40,0.0017
100,025,Brunswick County,NC,RE1,11,0.0001,17,0.0002,12,0.0002,19,0.0002
100,025,Brunswick County,NC,RE3,11,0.0002,17,0.0002,12,0.0002,18,0.0003
100,025,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,025,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,025,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,025,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,025,Brunswick County,NC,RE8,0,0.0000,0,0.0001,0,0.0000,0,0.0001
100,025,Brunswick County,NC,RE2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,025,Brunswick County,NC,RE20,53,0.0009,81,0.0014,59,0.0010,89,0.0015
100,025,Brunswick County,NC,RE21,7,0.0002,9,0.0002,7,0.0002,9,0.0003
100,025,Brunswick County,NC,RE22,46,0.0020,72,0.0031,52,0.0022,80,0.0034
100,050,Brunswick County,NC,RE1,49,0.0006,82,0.0010,56,0.0007,99,0.0012
100,050,Brunswick County,NC,RE3,49,0.0007,81,0.0011,55,0.0008,98,0.0014
100,050,Brunswick County,NC,RE4,0,0.0001,1,0.0001,0,0.0001,1,0.0001
100,050,Brunswick County,NC,RE5,0,0.0002,1,0.0004,0,0.0002,1,0.0004
100,050,Brunswick County,NC,RE6,0,0.0000,0,0.0003,0,0.0000,0,0.0003
100,050,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,050,Brunswick County,NC,RE8,1,0.0002,1,0.0003,1,0.0003,2,0.0004
100,050,Brunswick County,NC,RE2,1,0.0002,1,0.0003,1,0.0002,2,0.0004
100,050,Brunswick County,NC,RE20,281,0.0047,459,0.0077,315,0.0053,557,0.0093
100,050,Brunswick County,NC,RE21,20,0.0006,38,0.0011,22,0.0006,45,0.0012
100,050,Brunswick County,NC,RE22,261,0.0112,421,0.0180,293,0.0125,512,0.0219
100,100,Brunswick County,NC,RE1,92,0.0011,94,0.0012,258,0.0032,445,0.0055
100,100,Brunswick County,NC,RE3,91,0.0013,92,0.0013,252,0.0036,434,0.0062
100,100,Brunswick County,NC,RE4,1,0.0001,1,0.0001,3,0.0004,6,0.0007
100,100,Brunswick County,NC,RE5,1,0.0004,1,0.0004,5,0.0021,8,0.0038
100,100,Brunswick County,NC,RE6,0,0.0004,0,0.0004,2,0.0031,5,0.0078
100,100,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0027
100,100,Brunswick County,NC,RE8,2,0.0004,2,0.0003,6,0.0013,9,0.0021
100,100,Brunswick County,NC,RE2,2,0.0003,2,0.0003,6,0.0013,11,0.0024
100,100,Brunswick County,NC,RE20,519,0.0087,529,0.0089,1309,0.0219,2060,0.0345
100,100,Brunswick County,NC,RE21,45,0.0012,46,0.0013,117,0.0032,219,0.0060
100,100,Brunswick County,NC,RE22,474,0.0203,484,0.0207,1192,0.0510,1841,0.0787
100,150,Brunswick County,NC,RE1,96,0.0012,94,0.0012,971,0.0120,1341,0.0165
100,150,Brunswick County,NC,RE3,94,0.0013,93,0.0013,934,0.0132,1295,0.0183
100,150,Brunswick County,NC,RE4,1,0.0001,1,0.0001,20,0.0026,27,0.0035
100,150,Brunswick County,NC,RE5,1,0.0004,1,0.0004,27,0.0123,36,0.0164
100,150,Brunswick County,NC,RE6,0,0.0004,0,0.0004,15,0.0232,22,0.0332
100,150,Brunswick County,NC,RE7,0,0.0000,0,0.0000,3,0.0237,4,0.0312
100,150,Brunswick County,NC,RE8,2,0.0004,2,0.0004,32,0.0073,42,0.0097
100,150,Brunswick County,NC,RE2,2,0.0003,2,0.0003,34,0.0070,46,0.0096
100,150,Brunswick County,NC,RE20,538,0.0090,535,0.0090,3653,0.0612,4593,0.0770
100,150,Brunswick County,NC,RE21,46,0.0013,46,0.0013,534,0.0147,733,0.0202
100,150,Brunswick County,NC,RE22,492,0.0210,489,0.0209,3120,0.1334,3861,0.1651
100,200,Brunswick County,NC,RE1,95,0.0012,94,0.0012,1636,0.0202,1976,0.0243
100,200,Brunswick County,NC,RE3,93,0.0013,93,0.0013,1584,0.0224,1916,0.0271
100,200,Brunswick County,NC,RE4,1,0.0001,1,0.0001,32,0.0041,37,0.0047
100,200,Brunswick County,NC,RE5,1,0.0004,1,0.0004,43,0.0197,48,0.0218
100,200,Brunswick County,NC,RE6,0,0.0004,0,0.0004,26,0.0392,29,0.0436
100,200,Brunswick County,NC,RE7,0,0.0000,0,0.0000,4,0.0364,5,0.0414
100,200,Brunswick County,NC,RE8,2,0.0004,2,0.0004,51,0.0117,57,0.0132
100,200,Brunswick County,NC,RE2,2,0.0003,2,0.0003,54,0.0112,60,0.0125
100,200,Brunswick County,NC,RE20,535,0.0090,535,0.0090,5385,0.0902,6140,0.1029
100,200,Brunswick County,NC,RE21,46,0.0013,46,0.0013,872,0.0240,1018,0.0280
100,200,Brunswick County,NC,RE22,489,0.0209,489,0.0209,4512,0.1929,5122,0.2190
100,300,Brunswick County,NC,RE1,94,0.0012,94,0.0012,2772,0.0342,3089,0.0381
100,300,Brunswick County,NC,RE3,93,0.0013,93,0.0013,2695,0.0382,3003,0.0425
100,300,Brunswick County,NC,RE4,1,0.0001,1,0.0001,46,0.0059,50,0.0064
100,300,Brunswick County,NC,RE5,1,0.0004,1,0.0004,63,0.0285,69,0.0313
100,300,Brunswick County,NC,RE6,0,0.0004,0,0.0004,35,0.0533,37,0.0567
100,300,Brunswick County,NC,RE7,0,0.0000,0,0.0000,8,0.0660,9,0.0775
100,300,Brunswick County,NC,RE8,2,0.0004,2,0.0004,74,0.0171,78,0.0181
100,300,Brunswick County,NC,RE2,2,0.0003,2,0.0003,75,0.0155,79,0.0164
100,300,Brunswick County,NC,RE20,535,0.0090,535,0.0090,8067,0.1352,8689,0.1456
100,300,Brunswick County,NC,RE21,46,0.0013,46,0.0013,1401,0.0386,1575,0.0434
100,300,Brunswick County,NC,RE22,489,0.0209,489,0.0209,6665,0.2850,7114,0.3041
000,000,Carteret County,NC,RE1,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Carteret County,NC,RE3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Carteret County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Carteret County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
