County,State,DBcode,Tot_value
Brunswick County,NC,EM1,46621
Brunswick County,NC,EM2,13682
Brunswick County,NC,EM3,6000
Brunswick County,NC,EM4,18541
Brunswick County,NC,EM5,285
Brunswick County,NC,EM6,8113
Carteret County,NC,EM1,43312
Carteret County,NC,EM2,9917
Carteret County,NC,EM3,3830
Carteret County,NC,EM4,22354
Carteret County,NC,EM5,187
Carteret County,NC,EM6,7024
Currituck County,NC,EM1,9567
Currituck County,NC,EM2,2295
Currituck County,NC,EM3,1395
Currituck County,NC,EM4,4144
Currituck County,NC,EM5,61
Currituck County,NC,EM6,1672
Dare County,NC,EM1,27309
Dare County,NC,EM2,6131
Dare County,NC,EM3,2855
Dare County,NC,EM4,12805
Dare County,NC,EM5,140
Dare County,NC,EM6,5378
Hyde County,NC,EM1,3046
Hyde County,NC,EM2,1105
Hyde County,NC,EM3,169
Hyde County,NC,EM4,772
Hyde County,NC,EM5,305
Hyde County,NC,EM6,695
New Hanover County,NC,EM1,148157
New Hanover County,NC,EM2,45871
New Hanover County,NC,EM3,24942
New Hanover County,NC,EM4,52020
New Hanover County,NC,EM5,330
New Hanover County,NC,EM6,24994
Onslow County,NC,EM1,62079
Onslow County,NC,EM2,22226
Onslow County,NC,EM3,7298
Onslow County,NC,EM4,20187
Onslow County,NC,EM5,463
Onslow County,NC,EM6,11905
Pender County,NC,EM1,21160
Pender County,NC,EM2,7564
Pender County,NC,EM3,3823
Pender County,NC,EM4,5558
Pender County,NC,EM5,569
Pender County,NC,EM6,3646
