ER,SLR,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
000,000,Brunswick County,NC,EM1,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,EM2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,EM3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,EM4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,EM5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,EM6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,EM1,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,EM2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,EM3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,EM4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,EM5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,EM6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Brunswick County,NC,EM1,0,0.0000,9,0.0002,2,0.0000,17,0.0004
000,050,Brunswick County,NC,EM2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Brunswick County,NC,EM3,0,0.0000,0,0.0000,0,0.0000,3,0.0005
000,050,Brunswick County,NC,EM4,0,0.0000,9,0.0005,0,0.0000,12,0.0006
000,050,Brunswick County,NC,EM5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Brunswick County,NC,EM6,0,0.0000,0,0.0000,2,0.0002,2,0.0002
000,100,Brunswick County,NC,EM1,69,0.0015,69,0.0015,170,0.0036,288,0.0062
000,100,Brunswick County,NC,EM2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,100,Brunswick County,NC,EM3,0,0.0000,0,0.0000,9,0.0015,20,0.0033
000,100,Brunswick County,NC,EM4,69,0.0037,69,0.0037,144,0.0078,211,0.0114
000,100,Brunswick County,NC,EM5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,100,Brunswick County,NC,EM6,0,0.0000,0,0.0000,17,0.0021,57,0.0070
000,150,Brunswick County,NC,EM1,69,0.0015,69,0.0015,466,0.0100,562,0.0121
000,150,Brunswick County,NC,EM2,0,0.0000,0,0.0000,36,0.0026,77,0.0056
000,150,Brunswick County,NC,EM3,0,0.0000,0,0.0000,32,0.0053,42,0.0070
000,150,Brunswick County,NC,EM4,69,0.0037,69,0.0037,305,0.0165,340,0.0183
000,150,Brunswick County,NC,EM5,0,0.0000,0,0.0000,10,0.0351,10,0.0351
000,150,Brunswick County,NC,EM6,0,0.0000,0,0.0000,83,0.0102,93,0.0115
000,200,Brunswick County,NC,EM1,69,0.0015,69,0.0015,686,0.0147,951,0.0204
000,200,Brunswick County,NC,EM2,0,0.0000,0,0.0000,85,0.0062,204,0.0149
