County,State,DBcode,Tot_value
Brunswick County,NC,CR2,8
Brunswick County,NC,CR3,19
Brunswick County,NC,CR4,16
Brunswick County,NC,CR5,2
Brunswick County,NC,WW2,54
Brunswick County,NC,WW3,2
Brunswick County,NC,WW4,3
Carteret County,NC,CR2,4
Carteret County,NC,CR3,15
Carteret County,NC,CR4,5
Carteret County,NC,CR5,0
Carteret County,NC,WW2,166
Carteret County,NC,WW3,1
Carteret County,NC,WW4,0
Currituck County,NC,CR2,1
Currituck County,NC,CR3,10
Currituck County,NC,CR4,10
Currituck County,NC,CR5,0
Currituck County,NC,WW2,48
Currituck County,NC,WW3,0
Currituck County,NC,WW4,3
Dare County,NC,CR2,9
Dare County,NC,CR3,16
Dare County,NC,CR4,9
Dare County,NC,CR5,1
Dare County,NC,WW2,36
Dare County,NC,WW3,0
Dare County,NC,WW4,2
Hyde County,NC,CR2,1
Hyde County,NC,CR3,2
Hyde County,NC,CR4,4
Hyde County,NC,CR5,0
Hyde County,NC,WW2,18
Hyde County,NC,WW3,0
Hyde County,NC,WW4,0
New Hanover County,NC,CR2,4
New Hanover County,NC,CR3,3
New Hanover County,NC,CR4,9
New Hanover County,NC,CR5,0
New Hanover County,NC,WW2,61
New Hanover County,NC,WW3,3
New Hanover County,NC,WW4,2
Onslow County,NC,CR2,3
Onslow County,NC,CR3,19
Onslow County,NC,CR4,23
Onslow County,NC,CR5,0
Onslow County,NC,WW2,79
Onslow County,NC,WW3,1
Onslow County,NC,WW4,2
Pender County,NC,CR2,2
Pender County,NC,CR3,8
Pender County,NC,CR4,12
Pender County,NC,CR5,0
Pender County,NC,WW2,115
Pender County,NC,WW3,0
Pender County,NC,WW4,1
