County,State,DBcode,Tot_value
Brunswick County,NC,LC2,40
Brunswick County,NC,LC3,52
Brunswick County,NC,LC4,220
Brunswick County,NC,LC5,68
Brunswick County,NC,LC6,331
Brunswick County,NC,LC7,42
Carteret County,NC,LC2,17
Carteret County,NC,LC3,82
Carteret County,NC,LC4,77
Carteret County,NC,LC5,16
Carteret County,NC,LC6,254
Carteret County,NC,LC7,27
Currituck County,NC,LC2,9
Currituck County,NC,LC3,65
Currituck County,NC,LC4,13
Currituck County,NC,LC5,2
Currituck County,NC,LC6,138
Currituck County,NC,LC7,13
Dare County,NC,LC2,22
Dare County,NC,LC3,8
Dare County,NC,LC4,7
Dare County,NC,LC5,2
Dare County,NC,LC6,309
Dare County,NC,LC7,21
Hyde County,NC,LC2,5
Hyde County,NC,LC3,144
Hyde County,NC,LC4,32
Hyde County,NC,LC5,6
Hyde County,NC,LC6,400
Hyde County,NC,LC7,10
New Hanover County,NC,LC2,13
New Hanover County,NC,LC3,1
New Hanover County,NC,LC4,12
New Hanover County,NC,LC5,4
New Hanover County,NC,LC6,38
New Hanover County,NC,LC7,8
Onslow County,NC,LC2,26
Onslow County,NC,LC3,89
Onslow County,NC,LC4,221
Onslow County,NC,LC5,52
Onslow County,NC,LC6,255
Onslow County,NC,LC7,33
Pender County,NC,LC2,15
Pender County,NC,LC3,89
Pender County,NC,LC4,224
Pender County,NC,LC5,58
Pender County,NC,LC6,411
Pender County,NC,LC7,25
