ER,SLR,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
000,000,Brunswick County,NC,LC2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Brunswick County,NC,LC7,1,0.0141,1,0.0141,1,0.0141,1,0.0141
000,025,Brunswick County,NC,LC2,0,0.0001,0,0.0002,0,0.0001,0,0.0002
000,025,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Brunswick County,NC,LC7,1,0.0170,1,0.0168,1,0.0186,1,0.0185
000,050,Brunswick County,NC,LC2,0,0.0007,0,0.0012,0,0.0012,0,0.0025
000,050,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Brunswick County,NC,LC7,1,0.0227,1,0.0244,1,0.0266,1,0.0298
000,100,Brunswick County,NC,LC2,0,0.0015,0,0.0015,0,0.0120,1,0.0223
000,100,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,100,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0001,0,0.0001
000,100,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0003,0,0.0004
000,100,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0002,0,0.0002
000,100,Brunswick County,NC,LC7,1,0.0271,1,0.0265,2,0.0428,2,0.0491
000,150,Brunswick County,NC,LC2,0,0.0015,0,0.0015,2,0.0439,2,0.0565
000,150,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,150,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0003,0,0.0004
000,150,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0014,0,0.0019
000,150,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0009,0,0.0013
000,150,Brunswick County,NC,LC7,1,0.0269,1,0.0267,2,0.0572,3,0.0618
000,200,Brunswick County,NC,LC2,0,0.0015,0,0.0015,3,0.0665,3,0.0773
000,200,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,200,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0006,0,0.0007
000,200,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0023,0,0.0026
000,200,Brunswick County,NC,LC6,0,0.0000,0,0.0000,1,0.0024,1,0.0032
000,200,Brunswick County,NC,LC7,1,0.0267,1,0.0267,3,0.0653,3,0.0689
000,300,Brunswick County,NC,LC2,0,0.0015,0,0.0015,4,0.0980,4,0.1045
000,300,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,300,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0013,0,0.0016
000,300,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0033,0,0.0035
000,300,Brunswick County,NC,LC6,0,0.0000,0,0.0000,2,0.0074,3,0.0086
000,300,Brunswick County,NC,LC7,1,0.0267,1,0.0267,3,0.0743,3,0.0767
100,000,Brunswick County,NC,LC2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,000,Brunswick County,NC,LC7,1,0.0151,1,0.0151,1,0.0151,1,0.0151
100,025,Brunswick County,NC,LC2,0,0.0002,0,0.0003,0,0.0002,0,0.0003
100,025,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,025,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,025,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,025,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,025,Brunswick County,NC,LC7,1,0.0191,1,0.0190,1,0.0205,1,0.0204
100,050,Brunswick County,NC,LC2,0,0.0011,0,0.0018,0,0.0017,0,0.0031
100,050,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,050,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,050,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,050,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,050,Brunswick County,NC,LC7,1,0.0247,1,0.0265,1,0.0286,1,0.0317
100,100,Brunswick County,NC,LC2,0,0.0021,0,0.0021,1,0.0131,1,0.0239
100,100,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,100,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0001,0,0.0001
100,100,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0004,0,0.0005
100,100,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0002,0,0.0002
100,100,Brunswick County,NC,LC7,1,0.0291,1,0.0286,2,0.0439,2,0.0498
100,150,Brunswick County,NC,LC2,0,0.0021,0,0.0021,2,0.0454,2,0.0577
100,150,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,150,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0003,0,0.0004
100,150,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0015,0,0.0019
100,150,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0010,0,0.0014
100,150,Brunswick County,NC,LC7,1,0.0289,1,0.0287,2,0.0577,3,0.0626
100,200,Brunswick County,NC,LC2,0,0.0021,0,0.0021,3,0.0676,3,0.0781
100,200,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,200,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0006,0,0.0007
100,200,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0024,0,0.0026
100,200,Brunswick County,NC,LC6,0,0.0000,0,0.0000,1,0.0025,1,0.0033
100,200,Brunswick County,NC,LC7,1,0.0287,1,0.0287,3,0.0656,3,0.0692
100,300,Brunswick County,NC,LC2,0,0.0021,0,0.0021,4,0.0985,4,0.1050
100,300,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,300,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0013,0,0.0016
100,300,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0034,0,0.0035
