County,State,DBcode,Tot_value
Brunswick County,NC,PV1,18080365791
Brunswick County,NC,PV3,10327033569
Brunswick County,NC,PV2,7755122352
Carteret County,NC,PV1,12333781412
Carteret County,NC,PV3,5524017552
Carteret County,NC,PV2,6809904949
Currituck County,NC,PV1,5843774000
Currituck County,NC,PV3,2915724700
Currituck County,NC,PV2,2931157900
Dare County,NC,PV1,17596726655
Dare County,NC,PV3,8869777382
Dare County,NC,PV2,8728356500
Hyde County,NC,PV1,877834248
Hyde County,NC,PV3,285212478
Hyde County,NC,PV2,597909287
New Hanover County,NC,PV1,9160723024
New Hanover County,NC,PV3,5218891921
New Hanover County,NC,PV2,3938167003
Onslow County,NC,PV1,7744256576
Onslow County,NC,PV3,4839626144
Onslow County,NC,PV2,2910500953
Pender County,NC,PV1,6866965547
Pender County,NC,PV3,3331194683
Pender County,NC,PV2,3536017911
