ER,SLR,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
000,000,Brunswick County,NC,PV1,4273406,0.0002,4273406,0.0002,3909226,0.0002,3909226,0.0002
000,000,Brunswick County,NC,PV3,1752489,0.0002,1752489,0.0002,1565223,0.0002,1565223,0.0002
000,000,Brunswick County,NC,PV2,2520917,0.0003,2520917,0.0003,2344003,0.0003,2344003,0.0003
000,025,Brunswick County,NC,PV1,7506850,0.0004,7972079,0.0004,25622763,0.0014,26106424,0.0014
000,025,Brunswick County,NC,PV3,3268773,0.0003,3542680,0.0003,10781215,0.0010,11070497,0.0011
000,025,Brunswick County,NC,PV2,4238077,0.0005,4429399,0.0006,14841549,0.0019,15035927,0.0019
000,050,Brunswick County,NC,PV1,57728556,0.0032,113100782,0.0063,128241796,0.0071,245885550,0.0136
000,050,Brunswick County,NC,PV3,21904031,0.0021,41675994,0.0040,50955307,0.0049,94215264,0.0091
000,050,Brunswick County,NC,PV2,35824525,0.0046,71424789,0.0092,77286489,0.0100,151670286,0.0196
000,100,Brunswick County,NC,PV1,123499595,0.0068,125131675,0.0069,763823337,0.0422,1253806512,0.0693
000,100,Brunswick County,NC,PV3,45052150,0.0044,45378484,0.0044,305739300,0.0296,495009910,0.0479
000,100,Brunswick County,NC,PV2,78447445,0.0101,79753192,0.0103,458084304,0.0591,758797365,0.0978
000,150,Brunswick County,NC,PV1,125175878,0.0069,125175878,0.0069,2274092676,0.1258,2815854604,0.1557
000,150,Brunswick County,NC,PV3,45392697,0.0044,45392697,0.0044,977063087,0.0946,1247775797,0.1208
000,150,Brunswick County,NC,PV2,79783182,0.0103,79783182,0.0103,1297030404,0.1672,1568079651,0.2022
000,200,Brunswick County,NC,PV1,125188990,0.0069,125188990,0.0069,3245843571,0.1795,3739872032,0.2068
000,200,Brunswick County,NC,PV3,45392697,0.0044,45392697,0.0044,1468707377,0.1422,1725065437,0.1670
000,200,Brunswick County,NC,PV2,79796294,0.0103,79796294,0.0103,1777177501,0.2292,2015045445,0.2598
000,300,Brunswick County,NC,PV1,125188990,0.0069,125188990,0.0069,4617013917,0.2554,4915496235,0.2719
000,300,Brunswick County,NC,PV3,45392697,0.0044,45392697,0.0044,2174160320,0.2105,2328021151,0.2254
000,300,Brunswick County,NC,PV2,79796294,0.0103,79796294,0.0103,2443120785,0.3150,2587779581,0.3337
100,000,Brunswick County,NC,PV1,5838738,0.0003,5838738,0.0003,5080741,0.0003,5080741,0.0003
100,000,Brunswick County,NC,PV3,2490152,0.0002,2490152,0.0002,2156191,0.0002,2156191,0.0002
100,000,Brunswick County,NC,PV2,3348586,0.0004,3348586,0.0004,2924550,0.0004,2924550,0.0004
100,025,Brunswick County,NC,PV1,10028149,0.0006,11222522,0.0006,31004856,0.0017,31994440,0.0018
100,025,Brunswick County,NC,PV3,4430486,0.0004,4961897,0.0005,13026397,0.0013,13484717,0.0013
100,025,Brunswick County,NC,PV2,5597663,0.0007,6260626,0.0008,17978458,0.0023,18509723,0.0024
100,050,Brunswick County,NC,PV1,87801432,0.0049,155425747,0.0086,159180272,0.0088,292462869,0.0162
100,050,Brunswick County,NC,PV3,33434818,0.0032,57781924,0.0056,62720868,0.0061,111990593,0.0108
100,050,Brunswick County,NC,PV2,54366613,0.0070,97643823,0.0126,96459404,0.0124,180472276,0.0233
100,100,Brunswick County,NC,PV1,168651053,0.0093,170743768,0.0094,826497083,0.0457,1329303039,0.0735
100,100,Brunswick County,NC,PV3,62241009,0.0060,62665623,0.0061,331885901,0.0321,526731012,0.0510
100,100,Brunswick County,NC,PV2,106410049,0.0137,108078152,0.0139,494611549,0.0638,802572793,0.1035
100,150,Brunswick County,NC,PV1,170835953,0.0094,170835953,0.0094,2331053137,0.1289,2864399945,0.1584
100,150,Brunswick County,NC,PV3,62707760,0.0061,62707760,0.0061,1005466849,0.0974,1272479157,0.1232
100,150,Brunswick County,NC,PV2,108128199,0.0139,108128199,0.0139,1325587106,0.1709,1591921636,0.2053
100,200,Brunswick County,NC,PV1,170849066,0.0094,170849066,0.0094,3289178533,0.1819,3783339302,0.2093
100,200,Brunswick County,NC,PV3,62707760,0.0061,62707760,0.0061,1491191079,0.1444,1747928942,0.1693
100,200,Brunswick County,NC,PV2,108141313,0.0139,108141313,0.0139,1798043719,0.2319,2035649210,0.2625
100,300,Brunswick County,NC,PV1,170849066,0.0094,170849066,0.0094,4644994950,0.2569,4943002808,0.2734
100,300,Brunswick County,NC,PV3,62707760,0.0061,62707760,0.0061,2188914951,0.2120,2342727179,0.2269
100,300,Brunswick County,NC,PV2,108141313,0.0139,108141313,0.0139,2456352776,0.3167,2600580189,0.3353
000,000,Carteret County,NC,PV1,71159025,0.0058,71159025,0.0058,71730625,0.0058,71730625,0.0058
000,000,Carteret County,NC,PV3,258791,0.0000,258791,0.0000,341675,0.0001,341675,0.0001
000,000,Carteret County,NC,PV2,70900234,0.0104,70900234,0.0104,71388950,0.0105,71388950,0.0105
000,025,Carteret County,NC,PV1,177119451,0.0144,184663238,0.0150,193247234,0.0157,200620571,0.0163
000,025,Carteret County,NC,PV3,3367677,0.0006,6628319,0.0012,3569201,0.0006,6670412,0.0012
000,025,Carteret County,NC,PV2,173751774,0.0255,178034919,0.0261,189678034,0.0279,193950159,0.0285
000,050,Carteret County,NC,PV1,237864381,0.0193,296488582,0.0240,317999153,0.0258,410362922,0.0333
000,050,Carteret County,NC,PV3,13809986,0.0025,33911206,0.0061,14176095,0.0026,56660544,0.0103
000,050,Carteret County,NC,PV2,224054395,0.0329,262577375,0.0386,303823058,0.0446,353702378,0.0519
000,100,Carteret County,NC,PV1,361613724,0.0293,377486920,0.0306,883535870,0.0716,1699203257,0.1378
000,100,Carteret County,NC,PV3,45111729,0.0082,45654732,0.0083,231967985,0.0420,717751481,0.1299
000,100,Carteret County,NC,PV2,316501995,0.0465,331832188,0.0487,651568267,0.0957,981572162,0.1441
000,150,Carteret County,NC,PV1,390848797,0.0317,396944682,0.0322,2525805167,0.2048,3096792740,0.2511
000,150,Carteret County,NC,PV3,45776514,0.0083,46079129,0.0083,1110243810,0.2010,1404816825,0.2543
000,150,Carteret County,NC,PV2,345072283,0.0507,350865553,0.0515,1415681743,0.2079,1692096301,0.2485
000,200,Carteret County,NC,PV1,401122731,0.0325,407413997,0.0330,3462739479,0.2808,3892137289,0.3156
000,200,Carteret County,NC,PV3,46122358,0.0083,46248005,0.0084,1531509264,0.2772,1785467268,0.3232
000,200,Carteret County,NC,PV2,355000373,0.0521,361165991,0.0530,1931350601,0.2836,2106790406,0.3094
000,300,Carteret County,NC,PV1,407323223,0.0330,413713414,0.0335,4771178904,0.3868,5003220111,0.4057
000,300,Carteret County,NC,PV3,46268833,0.0084,46276815,0.0084,2164756596,0.3919,2280575912,0.4128
000,300,Carteret County,NC,PV2,361054390,0.0530,367436599,0.0540,2606542694,0.3828,2722766640,0.3998
100,000,Carteret County,NC,PV1,89413508,0.0072,89413508,0.0072,90239306,0.0073,90239306,0.0073
100,000,Carteret County,NC,PV3,399890,0.0001,399890,0.0001,464897,0.0001,464897,0.0001
100,000,Carteret County,NC,PV2,89013618,0.0131,89013618,0.0131,89774409,0.0132,89774409,0.0132
100,025,Carteret County,NC,PV1,202868530,0.0164,216933999,0.0176,218876502,0.0177,233921332,0.0190
100,025,Carteret County,NC,PV3,6332851,0.0011,12051980,0.0022,6275275,0.0011,12001841,0.0022
100,025,Carteret County,NC,PV2,196535678,0.0289,204882018,0.0301,212601227,0.0312,221919491,0.0326
100,050,Carteret County,NC,PV1,278385553,0.0226,365617164,0.0296,359465725,0.0291,493573173,0.0400
100,050,Carteret County,NC,PV3,22446463,0.0041,50196907,0.0091,23327916,0.0042,83421000,0.0151
100,050,Carteret County,NC,PV2,255939090,0.0376,315420256,0.0463,336137809,0.0494,410152174,0.0602
100,100,Carteret County,NC,PV1,439011986,0.0356,456822881,0.0370,1066495149,0.0865,1865992346,0.1513
100,100,Carteret County,NC,PV3,64477198,0.0117,65530862,0.0119,339031529,0.0614,806899870,0.1461
100,100,Carteret County,NC,PV2,374534788,0.0550,391292019,0.0575,727524041,0.1068,1059212862,0.1555
100,150,Carteret County,NC,PV1,470111966,0.0381,476829002,0.0387,2654384621,0.2152,3193406600,0.2589
100,150,Carteret County,NC,PV3,65741115,0.0119,66066867,0.0120,1171752805,0.2121,1446040066,0.2618
100,150,Carteret County,NC,PV2,404370851,0.0594,410762136,0.0603,1482752202,0.2177,1747486920,0.2566
100,200,Carteret County,NC,PV1,480670549,0.0390,487470845,0.0395,3548325482,0.2877,3979372304,0.3226
100,200,Carteret County,NC,PV3,66109625,0.0120,66235782,0.0120,1568354828,0.2839,1826855610,0.3307
100,200,Carteret County,NC,PV2,414560924,0.0609,421235063,0.0619,1980091039,0.2908,2152637081,0.3161
100,300,Carteret County,NC,PV1,487138524,0.0395,493781590,0.0400,4829995365,0.3916,5058186635,0.4101
100,300,Carteret County,NC,PV3,66254142,0.0120,66269817,0.0120,2190032086,0.3965,2303958603,0.4171
100,300,Carteret County,NC,PV2,420884383,0.0618,427511772,0.0628,2640083665,0.3877,2754351279,0.4045
000,000,Currituck County,NC,PV1,70982113,0.0121,70982113,0.0121,63947147,0.0109,63947147,0.0109
000,000,Currituck County,NC,PV3,25208441,0.0086,25208441,0.0086,22743047,0.0078,22743047,0.0078
000,000,Currituck County,NC,PV2,45773672,0.0156,45773672,0.0156,41204100,0.0141,41204100,0.0141
000,025,Currituck County,NC,PV1,229624492,0.0393,230241871,0.0394,456144746,0.0781,467188481,0.0799
000,025,Currituck County,NC,PV3,78631381,0.0270,78844561,0.0270,167081848,0.0573,171134453,0.0587
000,025,Currituck County,NC,PV2,150993112,0.0515,151397310,0.0517,289062899,0.0986,296054028,0.1010
000,050,Currituck County,NC,PV1,243885847,0.0417,243959990,0.0417,881096817,0.1508,905643338,0.1550
000,050,Currituck County,NC,PV3,83149886,0.0285,83169982,0.0285,320345415,0.1099,329849211,0.1131
000,050,Currituck County,NC,PV2,160735961,0.0548,160790008,0.0549,560751401,0.1913,575794126,0.1964
000,100,Currituck County,NC,PV1,250346046,0.0428,250376426,0.0428,1404954605,0.2404,1443309383,0.2470
000,100,Currituck County,NC,PV3,84828396,0.0291,84837352,0.0291,560849476,0.1924,577239215,0.1980
000,100,Currituck County,NC,PV2,165517650,0.0565,165539074,0.0565,844105130,0.2880,866070168,0.2955
000,150,Currituck County,NC,PV1,253105483,0.0433,253116723,0.0433,1930337460,0.3303,1954675395,0.3345
000,150,Currituck County,NC,PV3,85486900,0.0293,85488902,0.0293,828254520,0.2841,840840189,0.2884
000,150,Currituck County,NC,PV2,167618582,0.0572,167627821,0.0572,1102082940,0.3760,1113835206,0.3800
000,200,Currituck County,NC,PV1,253717856,0.0434,253717856,0.0434,2212535822,0.3786,2224258263,0.3806
000,200,Currituck County,NC,PV3,85622998,0.0294,85622998,0.0294,977995123,0.3354,983005625,0.3371
000,200,Currituck County,NC,PV2,168094858,0.0573,168094858,0.0573,1234680699,0.4212,1241392638,0.4235
000,300,Currituck County,NC,PV1,253717856,0.0434,253717856,0.0434,2627795663,0.4497,2635991264,0.4511
000,300,Currituck County,NC,PV3,85622998,0.0294,85622998,0.0294,1206046729,0.4136,1209500825,0.4148
000,300,Currituck County,NC,PV2,168094858,0.0573,168094858,0.0573,1422165416,0.4852,1426906781,0.4868
100,000,Currituck County,NC,PV1,135785544,0.0232,135785544,0.0232,125709529,0.0215,125709529,0.0215
100,000,Currituck County,NC,PV3,47034784,0.0161,47034784,0.0161,43657710,0.0150,43657710,0.0150
100,000,Currituck County,NC,PV2,88750760,0.0303,88750760,0.0303,82051819,0.0280,82051819,0.0280
100,025,Currituck County,NC,PV1,309288520,0.0529,309977613,0.0530,549608531,0.0941,560855595,0.0960
100,025,Currituck County,NC,PV3,106866100,0.0367,107114008,0.0367,200546073,0.0688,204696908,0.0702
100,025,Currituck County,NC,PV2,202422420,0.0691,202863605,0.0692,349062458,0.1191,356158687,0.1215
100,050,Currituck County,NC,PV1,325056739,0.0556,325190322,0.0556,963808019,0.1649,988500631,0.1692
100,050,Currituck County,NC,PV3,112235457,0.0385,112285050,0.0385,353637174,0.1213,363592250,0.1247
100,050,Currituck County,NC,PV2,212821283,0.0726,212905272,0.0726,610170845,0.2082,624908381,0.2132
100,100,Currituck County,NC,PV1,331532686,0.0567,331563727,0.0567,1471828147,0.2519,1508278595,0.2581
100,100,Currituck County,NC,PV3,114028837,0.0391,114037519,0.0391,594030611,0.2037,609637423,0.2091
100,100,Currituck County,NC,PV2,217503850,0.0742,217526209,0.0742,877797536,0.2995,898641172,0.3066
100,150,Currituck County,NC,PV1,334243413,0.0572,334254417,0.0572,1974796769,0.3379,1997698225,0.3419
100,150,Currituck County,NC,PV3,114643400,0.0393,114645253,0.0393,851594481,0.2921,863331287,0.2961
100,150,Currituck County,NC,PV2,219600014,0.0749,219609164,0.0749,1123202287,0.3832,1134366938,0.3870
100,200,Currituck County,NC,PV1,334837714,0.0573,334837714,0.0573,2243137087,0.3839,2254585648,0.3858
100,200,Currituck County,NC,PV3,114765820,0.0394,114765820,0.0394,994196265,0.3410,999137831,0.3427
100,200,Currituck County,NC,PV2,220071893,0.0751,220071893,0.0751,1249080822,0.4261,1255587816,0.4284
100,300,Currituck County,NC,PV1,334837714,0.0573,334837714,0.0573,2659026355,0.4550,2667101314,0.4564
100,300,Currituck County,NC,PV3,114765820,0.0394,114765820,0.0394,1225899297,0.4204,1228989153,0.4215
100,300,Currituck County,NC,PV2,220071893,0.0751,220071893,0.0751,1433648165,0.4891,1438633118,0.4908
000,000,Dare County,NC,PV1,416938540,0.0237,416938540,0.0237,414918635,0.0236,414918635,0.0236
