County,State,DBcode,Tot_value
Brunswick County,NC,RO1,1904
Brunswick County,NC,RO2,98
Brunswick County,NC,RO3,249
Brunswick County,NC,RO4,1556
Carteret County,NC,RO1,779
Carteret County,NC,RO2,0
Carteret County,NC,RO3,136
Carteret County,NC,RO4,642
Currituck County,NC,RO1,491
Currituck County,NC,RO2,0
Currituck County,NC,RO3,71
Currituck County,NC,RO4,420
Dare County,NC,RO1,833
Dare County,NC,RO2,0
Dare County,NC,RO3,160
Dare County,NC,RO4,673
Hyde County,NC,RO1,499
Hyde County,NC,RO2,0
Hyde County,NC,RO3,148
Hyde County,NC,RO4,351
New Hanover County,NC,RO1,372
New Hanover County,NC,RO2,26
New Hanover County,NC,RO3,39
New Hanover County,NC,RO4,306
Onslow County,NC,RO1,1267
Onslow County,NC,RO2,80
Onslow County,NC,RO3,165
Onslow County,NC,RO4,1021
Pender County,NC,RO1,1153
Pender County,NC,RO2,70
Pender County,NC,RO3,168
Pender County,NC,RO4,915
