Community,County,State,DBcode,Tot_value,Tot_pct
Bald Head Island,Brunswick County,NC,RE1,268,1.0000
Bald Head Island,Brunswick County,NC,RE2,9,1.0000
Bald Head Island,Brunswick County,NC,RE3,253,1.0000
Bald Head Island,Brunswick County,NC,RE4,11,1.0000
Bald Head Island,Brunswick County,NC,RE5,4,1.0000
Bald Head Island,Brunswick County,NC,RE6,7,1.0000
Bald Head Island,Brunswick County,NC,RE7,0,0.0000
Bald Head Island,Brunswick County,NC,RE8,4,1.0000
Bald Head Island,Brunswick County,NC,RE20,1050,1.0000
Bald Head Island,Brunswick County,NC,RE21,142,1.0000
Bald Head Island,Brunswick County,NC,RE22,908,1.0000
Caswell Beach,Brunswick County,NC,RE1,395,1.0000
Caswell Beach,Brunswick County,NC,RE2,2,1.0000
Caswell Beach,Brunswick County,NC,RE3,392,1.0000
Caswell Beach,Brunswick County,NC,RE4,1,1.0000
Caswell Beach,Brunswick County,NC,RE5,6,1.0000
Caswell Beach,Brunswick County,NC,RE6,3,1.0000
Caswell Beach,Brunswick County,NC,RE7,0,0.0000
Caswell Beach,Brunswick County,NC,RE8,4,1.0000
Caswell Beach,Brunswick County,NC,RE20,681,1.0000
Caswell Beach,Brunswick County,NC,RE21,209,1.0000
Caswell Beach,Brunswick County,NC,RE22,472,1.0000
Holden Beach,Brunswick County,NC,RE1,921,1.0000
Holden Beach,Brunswick County,NC,RE2,21,1.0000
Holden Beach,Brunswick County,NC,RE3,900,1.0000
Holden Beach,Brunswick County,NC,RE4,17,1.0000
Holden Beach,Brunswick County,NC,RE5,15,1.0000
Holden Beach,Brunswick County,NC,RE6,6,1.0000
Holden Beach,Brunswick County,NC,RE7,1,1.0000
Holden Beach,Brunswick County,NC,RE8,26,1.0000
Holden Beach,Brunswick County,NC,RE20,2303,1.0000
Holden Beach,Brunswick County,NC,RE21,458,1.0000
Holden Beach,Brunswick County,NC,RE22,1845,1.0000
Oak Island,Brunswick County,NC,RE1,8396,1.0000
Oak Island,Brunswick County,NC,RE2,146,1.0000
Oak Island,Brunswick County,NC,RE3,8166,1.0000
Oak Island,Brunswick County,NC,RE4,118,1.0000
Oak Island,Brunswick County,NC,RE5,201,1.0000
Oak Island,Brunswick County,NC,RE6,77,1.0000
Oak Island,Brunswick County,NC,RE7,12,1.0000
Oak Island,Brunswick County,NC,RE8,192,1.0000
Oak Island,Brunswick County,NC,RE20,9910,1.0000
Oak Island,Brunswick County,NC,RE21,4237,1.0000
Oak Island,Brunswick County,NC,RE22,5673,1.0000
Ocean Isle Beach,Brunswick County,NC,RE1,867,1.0000
Ocean Isle Beach,Brunswick County,NC,RE2,15,1.0000
Ocean Isle Beach,Brunswick County,NC,RE3,850,1.0000
Ocean Isle Beach,Brunswick County,NC,RE4,6,1.0000
Ocean Isle Beach,Brunswick County,NC,RE5,17,1.0000
Ocean Isle Beach,Brunswick County,NC,RE6,12,1.0000
Ocean Isle Beach,Brunswick County,NC,RE7,2,1.0000
Ocean Isle Beach,Brunswick County,NC,RE8,14,1.0000
Ocean Isle Beach,Brunswick County,NC,RE20,3045,1.0000
Ocean Isle Beach,Brunswick County,NC,RE21,454,1.0000
Ocean Isle Beach,Brunswick County,NC,RE22,2591,1.0000
