ER,SLR,Community,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
000,000,Bald Head Island,Brunswick County,NC,RE1,3,0.0103,3,0.0103,3,0.0105,3,0.0105
000,000,Bald Head Island,Brunswick County,NC,RE2,0,0.0074,0,0.0074,0,0.0075,0,0.0075
000,000,Bald Head Island,Brunswick County,NC,RE3,3,0.0104,3,0.0104,3,0.0106,3,0.0106
000,000,Bald Head Island,Brunswick County,NC,RE4,0,0.0120,0,0.0120,0,0.0123,0,0.0123
000,000,Bald Head Island,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Bald Head Island,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Bald Head Island,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Bald Head Island,Brunswick County,NC,RE8,0,0.0166,0,0.0166,0,0.0170,0,0.0170
000,000,Bald Head Island,Brunswick County,NC,RE20,12,0.0117,12,0.0117,13,0.0120,13,0.0120
000,000,Bald Head Island,Brunswick County,NC,RE21,2,0.0147,2,0.0147,2,0.0151,2,0.0151
000,000,Bald Head Island,Brunswick County,NC,RE22,10,0.0113,10,0.0113,10,0.0115,10,0.0115
000,000,Caswell Beach,Brunswick County,NC,RE1,0,0.0001,0,0.0001,0,0.0001,0,0.0001
000,000,Caswell Beach,Brunswick County,NC,RE2,0,0.0005,0,0.0005,0,0.0005,0,0.0005
000,000,Caswell Beach,Brunswick County,NC,RE3,0,0.0001,0,0.0001,0,0.0001,0,0.0001
000,000,Caswell Beach,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,RE6,0,0.0003,0,0.0003,0,0.0003,0,0.0003
000,000,Caswell Beach,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,RE20,0,0.0003,0,0.0003,0,0.0003,0,0.0003
000,000,Caswell Beach,Brunswick County,NC,RE21,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,RE22,0,0.0005,0,0.0005,0,0.0005,0,0.0005
000,000,Holden Beach,Brunswick County,NC,RE1,4,0.0045,4,0.0045,4,0.0046,4,0.0046
000,000,Holden Beach,Brunswick County,NC,RE2,0,0.0026,0,0.0026,0,0.0026,0,0.0026
000,000,Holden Beach,Brunswick County,NC,RE3,4,0.0046,4,0.0046,4,0.0047,4,0.0047
000,000,Holden Beach,Brunswick County,NC,RE4,0,0.0004,0,0.0004,0,0.0004,0,0.0004
000,000,Holden Beach,Brunswick County,NC,RE5,0,0.0008,0,0.0008,0,0.0008,0,0.0008
000,000,Holden Beach,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,RE8,0,0.0013,0,0.0013,0,0.0013,0,0.0013
000,000,Holden Beach,Brunswick County,NC,RE20,15,0.0063,15,0.0063,15,0.0064,15,0.0064
000,000,Holden Beach,Brunswick County,NC,RE21,2,0.0054,2,0.0054,2,0.0055,2,0.0055
000,000,Holden Beach,Brunswick County,NC,RE22,12,0.0066,12,0.0066,12,0.0066,12,0.0066
000,000,Oak Island,Brunswick County,NC,RE1,4,0.0004,4,0.0004,4,0.0004,4,0.0004
000,000,Oak Island,Brunswick County,NC,RE2,0,0.0001,0,0.0001,0,0.0001,0,0.0001
000,000,Oak Island,Brunswick County,NC,RE3,4,0.0004,4,0.0004,4,0.0004,4,0.0004
000,000,Oak Island,Brunswick County,NC,RE4,0,0.0005,0,0.0005,0,0.0005,0,0.0005
000,000,Oak Island,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Oak Island,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Oak Island,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Oak Island,Brunswick County,NC,RE8,0,0.0001,0,0.0001,0,0.0001,0,0.0001
000,000,Oak Island,Brunswick County,NC,RE20,18,0.0018,18,0.0018,18,0.0018,18,0.0018
000,000,Oak Island,Brunswick County,NC,RE21,2,0.0006,2,0.0006,2,0.0006,2,0.0006
000,000,Oak Island,Brunswick County,NC,RE22,15,0.0027,15,0.0027,15,0.0027,15,0.0027
000,000,Ocean Isle Beach,Brunswick County,NC,RE1,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE20,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE21,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,RE22,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE1,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE20,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE21,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Sunset Beach,Brunswick County,NC,RE22,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE1,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE20,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE21,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,RE22,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Bald Head Island,Brunswick County,NC,RE1,1,0.0053,2,0.0061,2,0.0064,2,0.0072
000,025,Bald Head Island,Brunswick County,NC,RE2,0,0.0035,0,0.0041,0,0.0035,0,0.0040
000,025,Bald Head Island,Brunswick County,NC,RE3,1,0.0053,2,0.0061,2,0.0066,2,0.0074
000,025,Bald Head Island,Brunswick County,NC,RE4,0,0.0058,0,0.0068,0,0.0056,0,0.0066
000,025,Bald Head Island,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Bald Head Island,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Bald Head Island,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Bald Head Island,Brunswick County,NC,RE8,0,0.0080,0,0.0093,0,0.0078,0,0.0091
000,025,Bald Head Island,Brunswick County,NC,RE20,6,0.0060,7,0.0069,8,0.0073,9,0.0082
000,025,Bald Head Island,Brunswick County,NC,RE21,1,0.0073,1,0.0085,1,0.0080,1,0.0091
000,025,Bald Head Island,Brunswick County,NC,RE22,5,0.0058,6,0.0067,7,0.0072,7,0.0080
000,025,Caswell Beach,Brunswick County,NC,RE1,0,0.0001,0,0.0001,0,0.0001,0,0.0001
000,025,Caswell Beach,Brunswick County,NC,RE2,0,0.0005,0,0.0005,0,0.0005,0,0.0005
000,025,Caswell Beach,Brunswick County,NC,RE3,0,0.0001,0,0.0001,0,0.0001,0,0.0001
000,025,Caswell Beach,Brunswick County,NC,RE4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Caswell Beach,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Caswell Beach,Brunswick County,NC,RE6,0,0.0003,0,0.0003,0,0.0003,0,0.0003
000,025,Caswell Beach,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Caswell Beach,Brunswick County,NC,RE8,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Caswell Beach,Brunswick County,NC,RE20,0,0.0003,0,0.0003,0,0.0003,0,0.0003
000,025,Caswell Beach,Brunswick County,NC,RE21,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Caswell Beach,Brunswick County,NC,RE22,0,0.0005,0,0.0005,0,0.0005,0,0.0005
000,025,Holden Beach,Brunswick County,NC,RE1,4,0.0047,4,0.0048,4,0.0047,4,0.0048
000,025,Holden Beach,Brunswick County,NC,RE2,0,0.0027,0,0.0028,0,0.0027,0,0.0028
000,025,Holden Beach,Brunswick County,NC,RE3,4,0.0048,4,0.0049,4,0.0048,4,0.0049
000,025,Holden Beach,Brunswick County,NC,RE4,0,0.0004,0,0.0005,0,0.0004,0,0.0005
000,025,Holden Beach,Brunswick County,NC,RE5,0,0.0008,0,0.0009,0,0.0008,0,0.0009
000,025,Holden Beach,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Holden Beach,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Holden Beach,Brunswick County,NC,RE8,0,0.0014,0,0.0014,0,0.0014,0,0.0014
000,025,Holden Beach,Brunswick County,NC,RE20,15,0.0065,16,0.0068,15,0.0065,15,0.0067
000,025,Holden Beach,Brunswick County,NC,RE21,3,0.0056,3,0.0057,3,0.0056,3,0.0057
000,025,Holden Beach,Brunswick County,NC,RE22,12,0.0067,13,0.0070,12,0.0067,13,0.0069
000,025,Oak Island,Brunswick County,NC,RE1,4,0.0005,6,0.0007,4,0.0005,7,0.0008
000,025,Oak Island,Brunswick County,NC,RE2,0,0.0001,0,0.0002,0,0.0002,0,0.0003
000,025,Oak Island,Brunswick County,NC,RE3,4,0.0005,6,0.0007,4,0.0005,7,0.0008
000,025,Oak Island,Brunswick County,NC,RE4,0,0.0005,0,0.0006,0,0.0005,0,0.0006
000,025,Oak Island,Brunswick County,NC,RE5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Oak Island,Brunswick County,NC,RE6,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Oak Island,Brunswick County,NC,RE7,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Oak Island,Brunswick County,NC,RE8,0,0.0001,0,0.0005,0,0.0001,0,0.0006
000,025,Oak Island,Brunswick County,NC,RE20,20,0.0020,30,0.0031,22,0.0022,36,0.0036
000,025,Oak Island,Brunswick County,NC,RE21,2,0.0006,3,0.0007,2,0.0006,3,0.0008
000,025,Oak Island,Brunswick County,NC,RE22,18,0.0031,27,0.0048,19,0.0034,33,0.0057
000,025,Ocean Isle Beach,Brunswick County,NC,RE1,0,0.0001,0,0.0001,0,0.0000,0,0.0001
