Community,County,State,DBcode,Tot_value,Tot_pct
Bald Head Island,Brunswick County,NC,CR2,1,1.0000
Bald Head Island,Brunswick County,NC,CR3,1,1.0000
Bald Head Island,Brunswick County,NC,CR4,0,1.0000
Bald Head Island,Brunswick County,NC,CR5,0,1.0000
Bald Head Island,Brunswick County,NC,WW2,8,1.0000
Bald Head Island,Brunswick County,NC,WW3,0,1.0000
Bald Head Island,Brunswick County,NC,WW4,0,1.0000
Caswell Beach,Brunswick County,NC,CR2,1,1.0000
Caswell Beach,Brunswick County,NC,CR3,0,1.0000
Caswell Beach,Brunswick County,NC,CR4,0,1.0000
Caswell Beach,Brunswick County,NC,CR5,0,1.0000
Caswell Beach,Brunswick County,NC,WW2,0,1.0000
Caswell Beach,Brunswick County,NC,WW3,0,1.0000
Caswell Beach,Brunswick County,NC,WW4,0,1.0000
Holden Beach,Brunswick County,NC,CR2,1,1.0000
Holden Beach,Brunswick County,NC,CR3,1,1.0000
Holden Beach,Brunswick County,NC,CR4,0,1.0000
Holden Beach,Brunswick County,NC,CR5,0,1.0000
Holden Beach,Brunswick County,NC,WW2,0,1.0000
Holden Beach,Brunswick County,NC,WW3,0,1.0000
Holden Beach,Brunswick County,NC,WW4,0,1.0000
Oak Island,Brunswick County,NC,CR2,1,1.0000
Oak Island,Brunswick County,NC,CR3,4,1.0000
Oak Island,Brunswick County,NC,CR4,1,1.0000
Oak Island,Brunswick County,NC,CR5,0,1.0000
Oak Island,Brunswick County,NC,WW2,4,1.0000
Oak Island,Brunswick County,NC,WW3,0,1.0000
Oak Island,Brunswick County,NC,WW4,0,1.0000
Ocean Isle Beach,Brunswick County,NC,CR2,1,1.0000
Ocean Isle Beach,Brunswick County,NC,CR3,1,1.0000
Ocean Isle Beach,Brunswick County,NC,CR4,0,1.0000
Ocean Isle Beach,Brunswick County,NC,CR5,0,1.0000
Ocean Isle Beach,Brunswick County,NC,WW2,0,1.0000
Ocean Isle Beach,Brunswick County,NC,WW3,0,1.0000
Ocean Isle Beach,Brunswick County,NC,WW4,0,1.0000
Sunset Beach,Brunswick County,NC,CR2,1,1.0000
Sunset Beach,Brunswick County,NC,CR3,1,1.0000
Sunset Beach,Brunswick County,NC,CR4,0,1.0000
Sunset Beach,Brunswick County,NC,CR5,0,1.0000
Sunset Beach,Brunswick County,NC,WW2,0,1.0000
Sunset Beach,Brunswick County,NC,WW3,0,1.0000
Sunset Beach,Brunswick County,NC,WW4,0,1.0000
Unincorporated Brunswick,Brunswick County,NC,CR2,2,1.0000
Unincorporated Brunswick,Brunswick County,NC,CR3,11,1.0000
Unincorporated Brunswick,Brunswick County,NC,CR4,15,1.0000
Unincorporated Brunswick,Brunswick County,NC,CR5,2,1.0000
Unincorporated Brunswick,Brunswick County,NC,WW2,42,1.0000
Unincorporated Brunswick,Brunswick County,NC,WW3,2,1.0000
Unincorporated Brunswick,Brunswick County,NC,WW4,3,1.0000
Atlantic Beach,Carteret County,NC,CR2,1,1.0000
Atlantic Beach,Carteret County,NC,CR3,1,1.0000
Atlantic Beach,Carteret County,NC,CR4,0,1.0000
Atlantic Beach,Carteret County,NC,CR5,0,1.0000
Atlantic Beach,Carteret County,NC,WW2,7,1.0000
Atlantic Beach,Carteret County,NC,WW3,0,1.0000
Atlantic Beach,Carteret County,NC,WW4,0,1.0000
Emerald Isle,Carteret County,NC,CR2,1,1.0000
Emerald Isle,Carteret County,NC,CR3,2,1.0000
Emerald Isle,Carteret County,NC,CR4,0,1.0000
Emerald Isle,Carteret County,NC,CR5,0,1.0000
Emerald Isle,Carteret County,NC,WW2,17,1.0000
Emerald Isle,Carteret County,NC,WW3,0,1.0000
Emerald Isle,Carteret County,NC,WW4,0,1.0000
Indian Beach,Carteret County,NC,CR2,1,1.0000
Indian Beach,Carteret County,NC,CR3,1,1.0000
Indian Beach,Carteret County,NC,CR4,0,1.0000
Indian Beach,Carteret County,NC,CR5,0,1.0000
Indian Beach,Carteret County,NC,WW2,6,1.0000
Indian Beach,Carteret County,NC,WW3,0,1.0000
Indian Beach,Carteret County,NC,WW4,0,1.0000
Pine Knoll Shores,Carteret County,NC,CR2,1,1.0000
Pine Knoll Shores,Carteret County,NC,CR3,1,1.0000
Pine Knoll Shores,Carteret County,NC,CR4,0,1.0000
Pine Knoll Shores,Carteret County,NC,CR5,0,1.0000
Pine Knoll Shores,Carteret County,NC,WW2,14,1.0000
Pine Knoll Shores,Carteret County,NC,WW3,0,1.0000
Pine Knoll Shores,Carteret County,NC,WW4,0,1.0000
Unincorporated Carteret,Carteret County,NC,CR2,0,1.0000
Unincorporated Carteret,Carteret County,NC,CR3,10,1.0000
Unincorporated Carteret,Carteret County,NC,CR4,5,1.0000
Unincorporated Carteret,Carteret County,NC,CR5,0,1.0000
Unincorporated Carteret,Carteret County,NC,WW2,122,1.0000
Unincorporated Carteret,Carteret County,NC,WW3,1,1.0000
Unincorporated Carteret,Carteret County,NC,WW4,0,1.0000
Unincorporated Currituck,Currituck County,NC,CR2,1,1.0000
Unincorporated Currituck,Currituck County,NC,CR3,10,1.0000
Unincorporated Currituck,Currituck County,NC,CR4,10,1.0000
Unincorporated Currituck,Currituck County,NC,CR5,0,1.0000
Unincorporated Currituck,Currituck County,NC,WW2,48,1.0000
Unincorporated Currituck,Currituck County,NC,WW3,0,1.0000
