ER,SLR,Community,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
000,000,Bald Head Island,Brunswick County,NC,CR2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Bald Head Island,Brunswick County,NC,CR3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Bald Head Island,Brunswick County,NC,CR4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Bald Head Island,Brunswick County,NC,CR5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Bald Head Island,Brunswick County,NC,WW2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Bald Head Island,Brunswick County,NC,WW3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Bald Head Island,Brunswick County,NC,WW4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,CR2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,CR3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,CR4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,CR5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,WW2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,WW3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,WW4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,CR2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,CR3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,CR4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,CR5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,WW2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,WW3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,WW4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Oak Island,Brunswick County,NC,CR2,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Oak Island,Brunswick County,NC,CR3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Oak Island,Brunswick County,NC,CR4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Oak Island,Brunswick County,NC,CR5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
