Community,County,State,DBcode,Tot_value,Tot_pct
Bald Head Island,Brunswick County,NC,LC2,0.4406,1.0000
Bald Head Island,Brunswick County,NC,LC3,0.0000,1.0000
Bald Head Island,Brunswick County,NC,LC4,0.8437,1.0000
Bald Head Island,Brunswick County,NC,LC5,0.0653,1.0000
Bald Head Island,Brunswick County,NC,LC6,1.5915,1.0000
Bald Head Island,Brunswick County,NC,LC7,1.1026,1.0000
Caswell Beach,Brunswick County,NC,LC2,0.2571,1.0000
Caswell Beach,Brunswick County,NC,LC3,0.0000,1.0000
Caswell Beach,Brunswick County,NC,LC4,0.0664,1.0000
Caswell Beach,Brunswick County,NC,LC5,0.0480,1.0000
Caswell Beach,Brunswick County,NC,LC6,2.2750,1.0000
Caswell Beach,Brunswick County,NC,LC7,0.2394,1.0000
Holden Beach,Brunswick County,NC,LC2,1.1158,1.0000
Holden Beach,Brunswick County,NC,LC3,0.0000,1.0000
Holden Beach,Brunswick County,NC,LC4,0.0473,1.0000
Holden Beach,Brunswick County,NC,LC5,0.0500,1.0000
Holden Beach,Brunswick County,NC,LC6,1.1717,1.0000
Holden Beach,Brunswick County,NC,LC7,0.6828,1.0000
Oak Island,Brunswick County,NC,LC2,4.2794,1.0000
Oak Island,Brunswick County,NC,LC3,0.2286,1.0000
Oak Island,Brunswick County,NC,LC4,5.1752,1.0000
Oak Island,Brunswick County,NC,LC5,0.9591,1.0000
Oak Island,Brunswick County,NC,LC6,6.2966,1.0000
Oak Island,Brunswick County,NC,LC7,2.3247,1.0000
Ocean Isle Beach,Brunswick County,NC,LC2,1.4341,1.0000
Ocean Isle Beach,Brunswick County,NC,LC3,0.1564,1.0000
Ocean Isle Beach,Brunswick County,NC,LC4,0.5713,1.0000
Ocean Isle Beach,Brunswick County,NC,LC5,0.1119,1.0000
Ocean Isle Beach,Brunswick County,NC,LC6,1.0731,1.0000
Ocean Isle Beach,Brunswick County,NC,LC7,0.3770,1.0000
Sunset Beach,Brunswick County,NC,LC2,2.3258,1.0000
Sunset Beach,Brunswick County,NC,LC3,0.0438,1.0000
Sunset Beach,Brunswick County,NC,LC4,0.4649,1.0000
Sunset Beach,Brunswick County,NC,LC5,0.2005,1.0000
Sunset Beach,Brunswick County,NC,LC6,1.8372,1.0000
Sunset Beach,Brunswick County,NC,LC7,2.0481,1.0000
Unincorporated Brunswick,Brunswick County,NC,LC2,30.0883,1.0000
Unincorporated Brunswick,Brunswick County,NC,LC3,52.0306,1.0000
Unincorporated Brunswick,Brunswick County,NC,LC4,213.1289,1.0000
Unincorporated Brunswick,Brunswick County,NC,LC5,66.5728,1.0000
Unincorporated Brunswick,Brunswick County,NC,LC6,316.6846,1.0000
Unincorporated Brunswick,Brunswick County,NC,LC7,35.4442,1.0000
Atlantic Beach,Carteret County,NC,LC2,1.5658,1.0000
Atlantic Beach,Carteret County,NC,LC3,0.0000,1.0000
Atlantic Beach,Carteret County,NC,LC4,0.0361,1.0000
Atlantic Beach,Carteret County,NC,LC5,0.0090,1.0000
Atlantic Beach,Carteret County,NC,LC6,0.6283,1.0000
Atlantic Beach,Carteret County,NC,LC7,0.1699,1.0000
Emerald Isle,Carteret County,NC,LC2,3.3828,1.0000
Emerald Isle,Carteret County,NC,LC3,0.0000,1.0000
Emerald Isle,Carteret County,NC,LC4,0.2717,1.0000
Emerald Isle,Carteret County,NC,LC5,0.0976,1.0000
Emerald Isle,Carteret County,NC,LC6,0.4827,1.0000
Emerald Isle,Carteret County,NC,LC7,0.6648,1.0000
Indian Beach,Carteret County,NC,LC2,0.3590,1.0000
Indian Beach,Carteret County,NC,LC3,0.0000,1.0000
Indian Beach,Carteret County,NC,LC4,0.0716,1.0000
Indian Beach,Carteret County,NC,LC5,0.0188,1.0000
Indian Beach,Carteret County,NC,LC6,0.0577,1.0000
Indian Beach,Carteret County,NC,LC7,0.0625,1.0000
Pine Knoll Shores,Carteret County,NC,LC2,0.7263,1.0000
Pine Knoll Shores,Carteret County,NC,LC3,0.0024,1.0000
Pine Knoll Shores,Carteret County,NC,LC4,0.4962,1.0000
Pine Knoll Shores,Carteret County,NC,LC5,0.0601,1.0000
Pine Knoll Shores,Carteret County,NC,LC6,0.4761,1.0000
Pine Knoll Shores,Carteret County,NC,LC7,0.5911,1.0000
Unincorporated Carteret,Carteret County,NC,LC2,11.4102,1.0000
Unincorporated Carteret,Carteret County,NC,LC3,81.7860,1.0000
Unincorporated Carteret,Carteret County,NC,LC4,75.6997,1.0000
Unincorporated Carteret,Carteret County,NC,LC5,15.5781,1.0000
Unincorporated Carteret,Carteret County,NC,LC6,251.8999,1.0000
Unincorporated Carteret,Carteret County,NC,LC7,25.5014,1.0000
Unincorporated Currituck,Currituck County,NC,LC2,9.1953,1.0000
Unincorporated Currituck,Currituck County,NC,LC3,64.8107,1.0000
Unincorporated Currituck,Currituck County,NC,LC4,12.5365,1.0000
Unincorporated Currituck,Currituck County,NC,LC5,1.8327,1.0000
Unincorporated Currituck,Currituck County,NC,LC6,137.9817,1.0000
Unincorporated Currituck,Currituck County,NC,LC7,12.8794,1.0000
Avon,Dare County,NC,LC2,1.2169,1.0000
Avon,Dare County,NC,LC3,0.0042,1.0000
Avon,Dare County,NC,LC4,0.0257,1.0000
Avon,Dare County,NC,LC5,0.0414,1.0000
Avon,Dare County,NC,LC6,0.6422,1.0000
Avon,Dare County,NC,LC7,0.2780,1.0000
Buxton,Dare County,NC,LC2,0.9076,1.0000
Buxton,Dare County,NC,LC3,0.0000,1.0000
Buxton,Dare County,NC,LC4,1.8108,1.0000
Buxton,Dare County,NC,LC5,0.1810,1.0000
Buxton,Dare County,NC,LC6,3.7376,1.0000
Buxton,Dare County,NC,LC7,1.0296,1.0000
Duck,Dare County,NC,LC2,1.7455,1.0000
Duck,Dare County,NC,LC3,0.0146,1.0000
Duck,Dare County,NC,LC4,0.0184,1.0000
Duck,Dare County,NC,LC5,0.0313,1.0000
Duck,Dare County,NC,LC6,0.0831,1.0000
Duck,Dare County,NC,LC7,0.4868,1.0000
Frisco,Dare County,NC,LC2,0.7294,1.0000
Frisco,Dare County,NC,LC3,0.0122,1.0000
Frisco,Dare County,NC,LC4,1.0115,1.0000
Frisco,Dare County,NC,LC5,0.2707,1.0000
Frisco,Dare County,NC,LC6,2.1103,1.0000
Frisco,Dare County,NC,LC7,0.7221,1.0000
Hatteras,Dare County,NC,LC2,0.7127,1.0000
Hatteras,Dare County,NC,LC3,0.0000,1.0000
Hatteras,Dare County,NC,LC4,0.0069,1.0000
Hatteras,Dare County,NC,LC5,0.0208,1.0000
Hatteras,Dare County,NC,LC6,0.6126,1.0000
Hatteras,Dare County,NC,LC7,0.1936,1.0000
Kill Devil Hills,Dare County,NC,LC2,3.4350,1.0000
Kill Devil Hills,Dare County,NC,LC3,0.0208,1.0000
Kill Devil Hills,Dare County,NC,LC4,0.4868,1.0000
Kill Devil Hills,Dare County,NC,LC5,0.0497,1.0000
Kill Devil Hills,Dare County,NC,LC6,0.6206,1.0000
Kill Devil Hills,Dare County,NC,LC7,0.9837,1.0000
Kitty Hawk,Dare County,NC,LC2,1.9369,1.0000
Kitty Hawk,Dare County,NC,LC3,0.0108,1.0000
Kitty Hawk,Dare County,NC,LC4,0.2106,1.0000
Kitty Hawk,Dare County,NC,LC5,0.0292,1.0000
Kitty Hawk,Dare County,NC,LC6,4.7440,1.0000
Kitty Hawk,Dare County,NC,LC7,1.0866,1.0000
Nags Head,Dare County,NC,LC2,3.5698,1.0000
Nags Head,Dare County,NC,LC3,0.0007,1.0000
Nags Head,Dare County,NC,LC4,0.5880,1.0000
Nags Head,Dare County,NC,LC5,0.0480,1.0000
Nags Head,Dare County,NC,LC6,1.1036,1.0000
Nags Head,Dare County,NC,LC7,1.2214,1.0000
Rodanthe,Dare County,NC,LC2,0.4879,1.0000
Rodanthe,Dare County,NC,LC3,0.0052,1.0000
Rodanthe,Dare County,NC,LC4,0.0010,1.0000
Rodanthe,Dare County,NC,LC5,0.0295,1.0000
Rodanthe,Dare County,NC,LC6,0.1592,1.0000
Rodanthe,Dare County,NC,LC7,0.1314,1.0000
Salvo,Dare County,NC,LC2,0.4834,1.0000
Salvo,Dare County,NC,LC3,0.0028,1.0000
Salvo,Dare County,NC,LC4,0.0104,1.0000
Salvo,Dare County,NC,LC5,0.0261,1.0000
