Community,County,State,DBcode,Tot_value,Tot_pct
Bald Head Island,Brunswick County,NC,PV1,1183831415,1.0000
Bald Head Island,Brunswick County,NC,PV3,668959536,1.0000
Bald Head Island,Brunswick County,NC,PV2,514925479,1.0000
Caswell Beach,Brunswick County,NC,PV1,217887390,1.0000
Caswell Beach,Brunswick County,NC,PV3,108297480,1.0000
Caswell Beach,Brunswick County,NC,PV2,109592660,1.0000
Holden Beach,Brunswick County,NC,PV1,1305248858,1.0000
Holden Beach,Brunswick County,NC,PV3,615464758,1.0000
Holden Beach,Brunswick County,NC,PV2,689784100,1.0000
Oak Island,Brunswick County,NC,PV1,3224528056,1.0000
Oak Island,Brunswick County,NC,PV3,1721272198,1.0000
Oak Island,Brunswick County,NC,PV2,1503751498,1.0000
Ocean Isle Beach,Brunswick County,NC,PV1,1730188636,1.0000
Ocean Isle Beach,Brunswick County,NC,PV3,773366696,1.0000
Ocean Isle Beach,Brunswick County,NC,PV2,957060690,1.0000
Sunset Beach,Brunswick County,NC,PV1,1458710913,1.0000
Sunset Beach,Brunswick County,NC,PV3,879412053,1.0000
Sunset Beach,Brunswick County,NC,PV2,579699060,1.0000
Unincorporated Brunswick,Brunswick County,NC,PV1,8959970523,1.0000
Unincorporated Brunswick,Brunswick County,NC,PV3,5560260848,1.0000
Unincorporated Brunswick,Brunswick County,NC,PV2,3400308865,1.0000
Atlantic Beach,Carteret County,NC,PV1,1717165809,1.0000
Atlantic Beach,Carteret County,NC,PV3,930077769,1.0000
Atlantic Beach,Carteret County,NC,PV2,787088038,1.0000
Emerald Isle,Carteret County,NC,PV1,2995417265,1.0000
Emerald Isle,Carteret County,NC,PV3,1543818394,1.0000
Emerald Isle,Carteret County,NC,PV2,1451719257,1.0000
Indian Beach,Carteret County,NC,PV1,439765331,1.0000
Indian Beach,Carteret County,NC,PV3,342980517,1.0000
Indian Beach,Carteret County,NC,PV2,96784814,1.0000
Pine Knoll Shores,Carteret County,NC,PV1,1020855427,1.0000
Pine Knoll Shores,Carteret County,NC,PV3,651699761,1.0000
Pine Knoll Shores,Carteret County,NC,PV2,369155666,1.0000
Unincorporated Carteret,Carteret County,NC,PV1,6160577580,1.0000
Unincorporated Carteret,Carteret County,NC,PV3,2055441111,1.0000
Unincorporated Carteret,Carteret County,NC,PV2,4105157174,1.0000
Unincorporated Currituck,Currituck County,NC,PV1,5843774000,1.0000
Unincorporated Currituck,Currituck County,NC,PV3,2915724700,1.0000
Unincorporated Currituck,Currituck County,NC,PV2,2931157900,1.0000
Avon,Dare County,NC,PV1,725450173,1.0000
Avon,Dare County,NC,PV3,420525473,1.0000
Avon,Dare County,NC,PV2,304924700,1.0000
Buxton,Dare County,NC,PV1,638172650,1.0000
Buxton,Dare County,NC,PV3,229442750,1.0000
Buxton,Dare County,NC,PV2,408740400,1.0000
Duck,Dare County,NC,PV1,1932842170,1.0000
Duck,Dare County,NC,PV3,912907570,1.0000
Duck,Dare County,NC,PV2,1019934600,1.0000
Frisco,Dare County,NC,PV1,575693384,1.0000
Frisco,Dare County,NC,PV3,245650684,1.0000
Frisco,Dare County,NC,PV2,330042700,1.0000
Hatteras,Dare County,NC,PV1,507307809,1.0000
Hatteras,Dare County,NC,PV3,273973109,1.0000
Hatteras,Dare County,NC,PV2,233334700,1.0000
Kill Devil Hills,Dare County,NC,PV1,3086368008,1.0000
Kill Devil Hills,Dare County,NC,PV3,1643634308,1.0000
Kill Devil Hills,Dare County,NC,PV2,1443778800,1.0000
Kitty Hawk,Dare County,NC,PV1,1437124595,1.0000
Kitty Hawk,Dare County,NC,PV3,821652295,1.0000
Kitty Hawk,Dare County,NC,PV2,615473700,1.0000
Nags Head,Dare County,NC,PV1,3271934241,1.0000
Nags Head,Dare County,NC,PV3,1607340741,1.0000
Nags Head,Dare County,NC,PV2,1664593500,1.0000
Rodanthe,Dare County,NC,PV1,258273183,1.0000
Rodanthe,Dare County,NC,PV3,157750483,1.0000
Rodanthe,Dare County,NC,PV2,100522700,1.0000
Salvo,Dare County,NC,PV1,359952989,1.0000
Salvo,Dare County,NC,PV3,202533289,1.0000
Salvo,Dare County,NC,PV2,157419700,1.0000
Southern Shores,Dare County,NC,PV1,1626030325,1.0000
Southern Shores,Dare County,NC,PV3,899518725,1.0000
Southern Shores,Dare County,NC,PV2,726705300,1.0000
Unincorporated Dare,Dare County,NC,PV1,2979290439,1.0000
Unincorporated Dare,Dare County,NC,PV3,1336737966,1.0000
Unincorporated Dare,Dare County,NC,PV2,1642709000,1.0000
Waves,Dare County,NC,PV1,198286689,1.0000
Waves,Dare County,NC,PV3,118109989,1.0000
Waves,Dare County,NC,PV2,80176700,1.0000
Ocracoke,Hyde County,NC,PV1,336020008,1.0000
Ocracoke,Hyde County,NC,PV3,137903962,1.0000
Ocracoke,Hyde County,NC,PV2,200880969,1.0000
Unincorporated Hyde,Hyde County,NC,PV1,541814240,1.0000
Unincorporated Hyde,Hyde County,NC,PV3,147308516,1.0000
Unincorporated Hyde,Hyde County,NC,PV2,397028318,1.0000
Carolina Beach,New Hanover County,NC,PV1,1913224721,1.0000
Carolina Beach,New Hanover County,NC,PV3,1322834393,1.0000
Carolina Beach,New Hanover County,NC,PV2,590141028,1.0000
Kure Beach,New Hanover County,NC,PV1,902126100,1.0000
Kure Beach,New Hanover County,NC,PV3,522074900,1.0000
Kure Beach,New Hanover County,NC,PV2,380051200,1.0000
Unincorporated New Hanover,New Hanover County,NC,PV1,3720159803,1.0000
Unincorporated New Hanover,New Hanover County,NC,PV3,2093508928,1.0000
Unincorporated New Hanover,New Hanover County,NC,PV2,1624390675,1.0000
Wrightsville Beach,New Hanover County,NC,PV1,2625212400,1.0000
Wrightsville Beach,New Hanover County,NC,PV3,1280473700,1.0000
Wrightsville Beach,New Hanover County,NC,PV2,1343584100,1.0000
North Topsail Beach,Onslow County,NC,PV1,942758035,1.0000
North Topsail Beach,Onslow County,NC,PV3,538342505,1.0000
North Topsail Beach,Onslow County,NC,PV2,405014500,1.0000
Surf City,Onslow County,NC,PV1,275075410,1.0000
Surf City,Onslow County,NC,PV3,121893210,1.0000
Surf City,Onslow County,NC,PV2,153312200,1.0000
Unincorporated Onslow,Onslow County,NC,PV1,6526423131,1.0000
Unincorporated Onslow,Onslow County,NC,PV3,4179390429,1.0000
Unincorporated Onslow,Onslow County,NC,PV2,2352174253,1.0000
Surf City,Pender County,NC,PV1,1296907736,1.0000
Surf City,Pender County,NC,PV3,586720852,1.0000
Surf City,Pender County,NC,PV2,710186884,1.0000
Topsail Beach,Pender County,NC,PV1,743370545,1.0000
Topsail Beach,Pender County,NC,PV3,266840458,1.0000
Topsail Beach,Pender County,NC,PV2,476530087,1.0000
Unincorporated Pender,Pender County,NC,PV1,4826687266,1.0000
Unincorporated Pender,Pender County,NC,PV3,2477633373,1.0000
Unincorporated Pender,Pender County,NC,PV2,2349300940,1.0000
