ER,SLR,Community,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
000,000,Bald Head Island,Brunswick County,NC,PV1,3483581,0.0029,3483581,0.0029,3123151,0.0026,3123151,0.0026
000,000,Bald Head Island,Brunswick County,NC,PV3,1472187,0.0022,1472187,0.0022,1286625,0.0019,1286625,0.0019
000,000,Bald Head Island,Brunswick County,NC,PV2,2011394,0.0039,2011394,0.0039,1836526,0.0036,1836526,0.0036
000,000,Caswell Beach,Brunswick County,NC,PV1,25,0.0000,25,0.0000,25,0.0000,25,0.0000
000,000,Caswell Beach,Brunswick County,NC,PV3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Caswell Beach,Brunswick County,NC,PV2,25,0.0000,25,0.0000,25,0.0000,25,0.0000
000,000,Holden Beach,Brunswick County,NC,PV1,5472,0.0000,5472,0.0000,5428,0.0000,5428,0.0000
000,000,Holden Beach,Brunswick County,NC,PV3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Holden Beach,Brunswick County,NC,PV2,5472,0.0000,5472,0.0000,5428,0.0000,5428,0.0000
000,000,Oak Island,Brunswick County,NC,PV1,281845,0.0001,281845,0.0001,277804,0.0001,277804,0.0001
000,000,Oak Island,Brunswick County,NC,PV3,169206,0.0001,169206,0.0001,167501,0.0001,167501,0.0001
000,000,Oak Island,Brunswick County,NC,PV2,112639,0.0001,112639,0.0001,110303,0.0001,110303,0.0001
000,000,Ocean Isle Beach,Brunswick County,NC,PV1,7373,0.0000,7373,0.0000,7503,0.0000,7503,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,PV3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Ocean Isle Beach,Brunswick County,NC,PV2,7373,0.0000,7373,0.0000,7503,0.0000,7503,0.0000
000,000,Sunset Beach,Brunswick County,NC,PV1,493818,0.0003,493818,0.0003,493818,0.0003,493818,0.0003
000,000,Sunset Beach,Brunswick County,NC,PV3,111096,0.0001,111096,0.0001,111096,0.0001,111096,0.0001
000,000,Sunset Beach,Brunswick County,NC,PV2,382722,0.0007,382722,0.0007,382722,0.0007,382722,0.0007
000,000,Unincorporated Brunswick,Brunswick County,NC,PV1,1292,0.0000,1292,0.0000,1496,0.0000,1496,0.0000
000,000,Unincorporated Brunswick,Brunswick County,NC,PV3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
