Community,County,State,DBcode,Tot_value,Tot_pct
Bald Head Island,Brunswick County,NC,RL1,0.0000,0.0000
Caswell Beach,Brunswick County,NC,RL1,0.0000,0.0000
Holden Beach,Brunswick County,NC,RL1,0.0000,0.0000
Oak Island,Brunswick County,NC,RL1,0.0000,0.0000
Ocean Isle Beach,Brunswick County,NC,RL1,0.0000,0.0000
Sunset Beach,Brunswick County,NC,RL1,0.0000,0.0000
Unincorporated Brunswick,Brunswick County,NC,RL1,34.2325,1.0000
Atlantic Beach,Carteret County,NC,RL1,0.0000,0.0000
Emerald Isle,Carteret County,NC,RL1,0.0000,0.0000
Indian Beach,Carteret County,NC,RL1,0.0000,0.0000
Pine Knoll Shores,Carteret County,NC,RL1,0.0000,0.0000
Unincorporated Carteret,Carteret County,NC,RL1,13.3693,1.0000
Unincorporated Currituck,Currituck County,NC,RL1,10.6721,1.0000
Carolina Beach,New Hanover County,NC,RL1,0.0000,0.0000
Kure Beach,New Hanover County,NC,RL1,0.0000,0.0000
Unincorporated New Hanover,New Hanover County,NC,RL1,33.4684,1.0000
Wrightsville Beach,New Hanover County,NC,RL1,0.0000,0.0000
North Topsail Beach,Onslow County,NC,RL1,0.0000,0.0000
Surf City,Onslow County,NC,RL1,0.0000,0.0000
Unincorporated Onslow,Onslow County,NC,RL1,8.4117,1.0000
