Community,County,State,DBcode,Tot_value,Tot_pct
Bald Head Island,Brunswick County,NC,RO1,29.2596,1.0000
Bald Head Island,Brunswick County,NC,RO2,0.0000,1.0000
Bald Head Island,Brunswick County,NC,RO3,0.0000,1.0000
Bald Head Island,Brunswick County,NC,RO4,29.2596,1.0000
Caswell Beach,Brunswick County,NC,RO1,7.9880,1.0000
Caswell Beach,Brunswick County,NC,RO2,0.0000,1.0000
Caswell Beach,Brunswick County,NC,RO3,0.5347,1.0000
Caswell Beach,Brunswick County,NC,RO4,7.4533,1.0000
Holden Beach,Brunswick County,NC,RO1,23.7483,1.0000
Holden Beach,Brunswick County,NC,RO2,0.0000,1.0000
Holden Beach,Brunswick County,NC,RO3,0.0431,1.0000
Holden Beach,Brunswick County,NC,RO4,23.7052,1.0000
Oak Island,Brunswick County,NC,RO1,139.7628,1.0000
Oak Island,Brunswick County,NC,RO2,0.0000,1.0000
Oak Island,Brunswick County,NC,RO3,15.5036,1.0000
Oak Island,Brunswick County,NC,RO4,124.2592,1.0000
Ocean Isle Beach,Brunswick County,NC,RO1,30.6423,1.0000
Ocean Isle Beach,Brunswick County,NC,RO2,0.0000,1.0000
Ocean Isle Beach,Brunswick County,NC,RO3,1.4886,1.0000
Ocean Isle Beach,Brunswick County,NC,RO4,29.1537,1.0000
Sunset Beach,Brunswick County,NC,RO1,64.2407,1.0000
Sunset Beach,Brunswick County,NC,RO2,0.0000,1.0000
Sunset Beach,Brunswick County,NC,RO3,6.1505,1.0000
Sunset Beach,Brunswick County,NC,RO4,58.0902,1.0000
Unincorporated Brunswick,Brunswick County,NC,RO1,1608.1841,1.0000
Unincorporated Brunswick,Brunswick County,NC,RO2,98.4341,1.0000
Unincorporated Brunswick,Brunswick County,NC,RO3,225.2250,1.0000
Unincorporated Brunswick,Brunswick County,NC,RO4,1284.5250,1.0000
Atlantic Beach,Carteret County,NC,RO1,31.2617,1.0000
Atlantic Beach,Carteret County,NC,RO2,0.0000,1.0000
Atlantic Beach,Carteret County,NC,RO3,3.3969,1.0000
Atlantic Beach,Carteret County,NC,RO4,27.8649,1.0000
Emerald Isle,Carteret County,NC,RO1,78.2293,1.0000
Emerald Isle,Carteret County,NC,RO2,0.0000,1.0000
Emerald Isle,Carteret County,NC,RO3,9.4517,1.0000
